# Sensor: ADPD2140, Rotationstage: ELL18M
Datetime,Stage Angle,xL,xR,yL,yR,X,Y
28.08.2021 16:37:28,-60.009,469.390,897.033,829.009,824.737,0.409,-49.598
28.08.2021 16:37:29,-59.893,470.581,898.407,830.444,826.232,0.402,-49.526
28.08.2021 16:37:30,-59.808,472.106,901.092,833.160,828.979,0.398,-49.508
28.08.2021 16:37:31,-59.692,473.480,903.350,834.594,831.207,0.322,-49.479
28.08.2021 16:37:32,-59.601,475.311,906.402,837.616,833.496,0.390,-49.444
28.08.2021 16:37:33,-59.509,476.684,908.630,839.782,835.723,0.383,-49.414
28.08.2021 16:37:34,-59.393,478.271,910.614,841.949,838.043,0.368,-49.332
28.08.2021 16:37:35,-59.305,479.705,913.513,844.177,840.118,0.381,-49.345
28.08.2021 16:37:36,-59.192,481.140,914.764,845.642,841.400,0.398,-49.229
28.08.2021 16:37:37,-59.107,483.215,918.579,848.815,844.818,0.374,-49.219
28.08.2021 16:37:38,-58.996,484.252,920.623,850.433,846.679,0.350,-49.225
28.08.2021 16:37:39,-58.893,485.992,923.309,853.515,849.395,0.383,-49.177
28.08.2021 16:37:40,-58.792,487.365,924.987,855.010,851.470,0.328,-49.105
28.08.2021 16:37:41,-58.707,489.501,928.710,857.940,854.156,0.350,-49.079
28.08.2021 16:37:42,-58.591,490.325,930.084,859.619,855.957,0.338,-49.064
28.08.2021 16:37:43,-58.493,492.523,933.563,862.030,858.520,0.323,-49.012
28.08.2021 16:37:44,-58.393,494.323,935.943,864.379,860.229,0.381,-48.933
28.08.2021 16:37:45,-58.302,495.330,938.232,865.753,862.701,0.279,-48.962
28.08.2021 16:37:46,-58.192,496.307,939.605,868.011,863.678,0.396,-48.925
28.08.2021 16:37:47,-58.094,497.985,942.565,869.750,866.088,0.334,-48.909
28.08.2021 16:37:48,-58.006,500.762,945.983,873.077,869.537,0.321,-48.770
28.08.2021 16:37:49,-57.906,501.739,947.753,874.969,871.185,0.343,-48.764
28.08.2021 16:37:50,-57.792,503.509,950.591,877.502,873.382,0.372,-48.726
28.08.2021 16:37:51,-57.692,504.669,952.087,879.333,875.335,0.361,-48.674
28.08.2021 16:37:52,-57.607,506.347,955.200,881.286,877.929,0.302,-48.669
28.08.2021 16:37:53,-57.493,508.209,957.183,883.270,879.547,0.334,-48.555
28.08.2021 16:37:54,-57.395,509.521,959.900,885.498,882.415,0.276,-48.573
28.08.2021 16:37:55,-57.300,511.260,961.547,887.390,883.880,0.314,-48.452
28.08.2021 16:37:56,-57.192,513.061,964.355,889.831,886.444,0.302,-48.409
28.08.2021 16:37:57,-57.091,514.862,966.857,892.700,889.129,0.317,-48.343
28.08.2021 16:37:58,-56.996,515.899,969.207,894.470,890.533,0.349,-48.373
28.08.2021 16:37:59,-56.898,517.883,971.191,895.996,892.913,0.273,-48.244
28.08.2021 16:38:00,-56.800,519.195,973.999,898.956,895.019,0.347,-48.270
28.08.2021 16:38:01,-56.692,520.172,976.104,900.299,896.362,0.347,-48.290
28.08.2021 16:38:02,-56.591,521.820,977.386,902.282,898.620,0.322,-48.157
28.08.2021 16:38:03,-56.498,523.193,979.736,903.869,900.482,0.297,-48.140
28.08.2021 16:38:04,-56.395,524.475,981.933,906.158,902.343,0.334,-48.125
28.08.2021 16:38:05,-56.292,525.817,984.527,908.050,904.968,0.269,-48.131
28.08.2021 16:38:06,-56.199,527.008,986.633,909.973,906.677,0.287,-48.122
28.08.2021 16:38:07,-56.101,529.479,989.501,913.513,909.973,0.307,-47.995
28.08.2021 16:38:08,-55.993,529.907,990.875,914.032,911.010,0.262,-48.036
28.08.2021 16:38:09,-55.895,531.707,992.584,916.137,912.536,0.312,-47.916
28.08.2021 16:38:10,-55.795,532.836,995.208,918.090,914.947,0.271,-47.954
28.08.2021 16:38:11,-55.699,534.118,996.704,920.013,916.381,0.313,-47.889
28.08.2021 16:38:12,-55.594,535.308,999.298,921.783,918.518,0.281,-47.916
28.08.2021 16:38:13,-55.496,536.834,1001.617,924.438,921.142,0.283,-47.878
28.08.2021 16:38:14,-55.395,538.421,1003.997,926.330,922.668,0.313,-47.836
28.08.2021 16:38:15,-55.292,539.886,1007.110,928.680,925.354,0.284,-47.863
28.08.2021 16:38:16,-55.192,541.168,1008.697,930.694,927.246,0.294,-47.806
28.08.2021 16:38:17,-55.099,543.212,1012.146,933.563,929.901,0.311,-47.780
28.08.2021 16:38:18,-55.009,544.128,1013.946,935.241,932.464,0.235,-47.787
28.08.2021 16:38:19,-54.893,545.318,1015.441,937.561,933.227,0.367,-47.736
28.08.2021 16:38:20,-54.808,546.966,1018.615,939.880,936.584,0.278,-47.743
28.08.2021 16:38:21,-54.705,548.095,1020.752,941.864,938.720,0.264,-47.745
28.08.2021 16:38:22,-54.601,549.560,1023.071,944.580,941.009,0.300,-47.717
28.08.2021 16:38:23,-54.496,549.865,1024.169,944.427,941.497,0.246,-47.754
28.08.2021 16:38:24,-54.408,551.574,1027.008,947.967,944.244,0.311,-47.730
28.08.2021 16:38:25,-54.305,553.192,1030.426,951.232,947.662,0.297,-47.758
28.08.2021 16:38:26,-54.205,554.748,1032.348,953.491,949.676,0.317,-47.690
28.08.2021 16:38:27,-54.107,555.938,1034.545,955.413,951.873,0.294,-47.689
28.08.2021 16:38:28,-53.993,556.732,1036.560,956.573,953.216,0.278,-47.726
28.08.2021 16:38:29,-53.906,558.197,1039.093,959.472,955.810,0.303,-47.713
28.08.2021 16:38:30,-53.808,559.783,1041.595,962.219,958.190,0.332,-47.681
28.08.2021 16:38:31,-53.705,561.492,1044.189,964.111,960.662,0.283,-47.641
28.08.2021 16:38:32,-53.607,562.469,1047.576,966.857,962.829,0.330,-47.749
28.08.2021 16:38:33,-53.506,564.270,1049.255,968.688,965.331,0.275,-47.634
28.08.2021 16:38:34,-53.403,565.307,1051.513,971.374,967.651,0.304,-47.657
28.08.2021 16:38:35,-53.305,566.680,1054.229,973.846,970.764,0.251,-47.668
28.08.2021 16:38:36,-53.205,568.298,1056.457,976.287,972.961,0.270,-47.615
28.08.2021 16:38:37,-53.104,569.854,1059.295,978.332,974.945,0.274,-47.611
28.08.2021 16:38:38,-53.006,571.044,1061.889,980.743,977.539,0.259,-47.637
28.08.2021 16:38:39,-52.908,572.509,1063.903,983.367,979.736,0.293,-47.589
28.08.2021 16:38:40,-52.802,573.608,1066.650,985.534,982.635,0.233,-47.636
28.08.2021 16:38:41,-52.705,575.775,1068.939,988.220,984.649,0.286,-47.519
28.08.2021 16:38:42,-52.604,576.934,1072.204,991.577,987.548,0.322,-47.594
28.08.2021 16:38:43,-52.509,578.063,1074.371,992.889,989.440,0.275,-47.598
28.08.2021 16:38:44,-52.408,579.742,1076.293,995.666,991.882,0.301,-47.518
28.08.2021 16:38:45,-52.305,580.932,1079.223,998.809,995.056,0.298,-47.566
28.08.2021 16:38:46,-52.207,582.550,1081.512,1001.007,997.619,0.268,-47.519
28.08.2021 16:38:47,-52.104,583.160,1084.106,1003.509,999.664,0.304,-47.616
28.08.2021 16:38:48,-52.009,585.357,1086.883,1005.737,1002.685,0.240,-47.529
28.08.2021 16:38:49,-51.906,586.181,1088.897,1008.117,1004.852,0.257,-47.561
28.08.2021 16:38:50,-51.800,588.104,1092.193,1011.200,1007.873,0.261,-47.543
28.08.2021 16:38:51,-51.699,588.989,1093.505,1013.488,1010.375,0.243,-47.521
28.08.2021 16:38:52,-51.599,590.087,1094.116,1014.190,1011.199,0.234,-47.427
28.08.2021 16:38:53,-51.493,590.942,1097.106,1016.784,1013.488,0.257,-47.520
28.08.2021 16:38:54,-51.406,593.261,1100.860,1020.111,1017.181,0.227,-47.483
28.08.2021 16:38:55,-51.305,594.451,1103.332,1022.735,1019.653,0.239,-47.501
28.08.2021 16:38:56,-51.207,595.733,1105.865,1024.993,1021.759,0.250,-47.511
28.08.2021 16:38:58,-51.107,597.381,1108.276,1027.954,1024.352,0.278,-47.469
28.08.2021 16:38:59,-51.009,598.419,1110.809,1030.700,1026.977,0.286,-47.508
28.08.2021 16:39:00,-50.898,599.273,1112.792,1032.012,1028.961,0.234,-47.534
28.08.2021 16:39:01,-50.808,601.043,1115.600,1034.850,1031.341,0.269,-47.503
28.08.2021 16:39:02,-50.705,602.203,1117.736,1036.865,1033.752,0.238,-47.502
28.08.2021 16:39:03,-50.599,604.095,1120.422,1039.733,1036.651,0.235,-47.449
28.08.2021 16:39:04,-50.506,604.888,1122.314,1042.053,1038.543,0.267,-47.476
28.08.2021 16:39:05,-50.406,606.140,1125.122,1043.762,1040.527,0.245,-47.507
28.08.2021 16:39:06,-50.308,607.604,1127.380,1047.027,1043.579,0.261,-47.477
28.08.2021 16:39:07,-50.205,608.795,1129.852,1049.316,1045.715,0.272,-47.494
28.08.2021 16:39:08,-50.104,609.954,1131.744,1051.269,1048.065,0.241,-47.478
28.08.2021 16:39:09,-50.006,611.816,1134.490,1053.710,1050.933,0.209,-47.433
28.08.2021 16:39:10,-49.903,612.792,1136.505,1055.633,1053.039,0.194,-47.445
28.08.2021 16:39:11,-49.808,614.410,1138.946,1057.922,1054.992,0.219,-47.410
28.08.2021 16:39:12,-49.705,615.631,1140.777,1060.394,1057.373,0.226,-47.383
28.08.2021 16:39:13,-49.607,616.821,1143.676,1063.018,1059.387,0.271,-47.427
28.08.2021 16:39:14,-49.506,618.408,1145.355,1065.124,1061.798,0.247,-47.347
28.08.2021 16:39:15,-49.400,619.812,1147.583,1066.864,1064.819,0.152,-47.324
28.08.2021 16:39:16,-49.295,620.941,1150.299,1069.305,1066.467,0.210,-47.363
28.08.2021 16:39:17,-49.199,622.253,1152.526,1071.228,1068.908,0.171,-47.350
28.08.2021 16:39:18,-49.104,624.145,1154.388,1073.913,1071.502,0.178,-47.247
28.08.2021 16:39:19,-49.009,625.213,1157.013,1076.355,1073.059,0.243,-47.288
28.08.2021 16:39:20,-48.903,626.953,1159.179,1078.613,1076.141,0.181,-47.222
28.08.2021 16:39:21,-48.795,627.838,1160.675,1080.902,1077.484,0.250,-47.214
28.08.2021 16:39:22,-48.694,628.936,1162.689,1082.183,1079.589,0.190,-47.213
28.08.2021 16:39:23,-48.604,631.347,1165.863,1085.693,1082.824,0.209,-47.133
28.08.2021 16:39:24,-48.506,632.873,1167.968,1088.134,1085.449,0.195,-47.089
28.08.2021 16:39:25,-48.403,634.185,1169.891,1090.393,1087.280,0.226,-47.058
28.08.2021 16:39:26,-48.305,635.650,1171.875,1091.918,1089.416,0.181,-47.014
28.08.2021 16:39:27,-48.202,637.390,1174.682,1094.360,1091.705,0.192,-46.990
28.08.2021 16:39:28,-48.104,638.122,1176.513,1096.405,1093.414,0.216,-47.019
28.08.2021 16:39:29,-48.006,640.014,1178.436,1098.388,1096.038,0.169,-46.923
28.08.2021 16:39:30,-47.895,641.326,1180.511,1101.287,1097.991,0.237,-46.902
28.08.2021 16:39:31,-47.802,643.310,1182.617,1103.057,1101.226,0.131,-46.808
28.08.2021 16:39:32,-47.699,644.744,1184.906,1105.407,1103.210,0.157,-46.787
28.08.2021 16:39:33,-47.604,646.270,1186.706,1107.452,1105.163,0.163,-46.725
28.08.2021 16:39:34,-47.501,648.071,1189.209,1109.008,1107.147,0.133,-46.677
28.08.2021 16:39:35,-47.406,649.383,1191.131,1111.877,1109.222,0.189,-46.647
28.08.2021 16:39:36,-47.302,651.367,1193.115,1113.739,1111.175,0.182,-46.547
28.08.2021 16:39:37,-47.207,652.770,1195.190,1115.447,1113.769,0.119,-46.517
28.08.2021 16:39:38,-47.104,654.327,1196.502,1117.218,1115.081,0.151,-46.424
28.08.2021 16:39:39,-47.004,656.005,1198.516,1119.720,1117.492,0.157,-46.360
28.08.2021 16:39:40,-46.906,657.531,1200.958,1121.795,1119.506,0.161,-46.339
