# Sensor: ADPD2140, Rotationstage: ELL18M
Datetime,Stage Angle,xL,xR,yL,yR,X,Y
28.08.2021 17:20:56,-60.004,834.289,824.188,500.701,927.154,-47.332,0.965
28.08.2021 17:20:57,-59.906,838.836,827.880,502.197,929.779,-47.321,1.041
28.08.2021 17:20:58,-59.798,840.545,830.200,503.417,931.030,-47.242,0.981
28.08.2021 17:20:59,-59.693,844.146,833.770,504.821,934.082,-47.278,0.980
28.08.2021 17:21:00,-59.595,848.480,838.134,506.988,936.676,-47.169,0.972
28.08.2021 17:21:01,-59.497,852.264,841.918,508.544,940.063,-47.208,0.967
28.08.2021 17:21:03,-59.406,855.102,844.665,510.131,942.657,-47.182,0.973
28.08.2021 17:21:04,-59.308,858.093,848.052,511.077,944.702,-47.205,0.932
28.08.2021 17:21:05,-59.193,860.809,850.006,512.573,945.953,-47.089,1.000
28.08.2021 17:21:06,-59.100,864.105,853.576,513.763,948.913,-47.147,0.971
28.08.2021 17:21:07,-59.002,866.638,857.208,515.777,951.934,-47.094,0.866
28.08.2021 17:21:08,-58.896,870.330,860.473,517.700,953.949,-46.978,0.902
28.08.2021 17:21:09,-58.798,874.572,864.257,519.805,957.855,-46.980,0.940
28.08.2021 17:21:10,-58.703,876.312,865.844,520.111,959.014,-47.025,0.952
28.08.2021 17:21:11,-58.597,878.692,868.591,521.667,961.242,-46.977,0.916
28.08.2021 17:21:12,-58.499,882.934,872.863,523.742,965.209,-46.988,0.908
28.08.2021 17:21:13,-58.401,885.833,875.549,525.726,967.346,-46.874,0.925
28.08.2021 17:21:14,-58.301,888.702,878.417,527.038,969.879,-46.883,0.922
28.08.2021 17:21:15,-58.198,891.143,881.439,528.442,972.106,-46.857,0.867
28.08.2021 17:21:16,-58.100,892.852,883.178,529.144,974.212,-46.917,0.863
28.08.2021 17:21:17,-57.999,895.263,885.437,531.066,975.952,-46.784,0.874
28.08.2021 17:21:18,-57.904,898.590,889.038,533.325,979.705,-46.755,0.846
28.08.2021 17:21:19,-57.798,901.062,890.960,534.179,981.719,-46.787,0.893
28.08.2021 17:21:20,-57.700,902.526,893.524,535.736,984.161,-46.756,0.794
28.08.2021 17:21:21,-57.597,904.693,895.904,536.987,986.297,-46.745,0.773
28.08.2021 17:21:22,-57.504,906.463,897.552,538.696,988.708,-46.691,0.782
28.08.2021 17:21:23,-57.406,908.355,899.322,540.191,990.783,-46.642,0.791
28.08.2021 17:21:24,-57.303,910.797,902.007,541.717,993.743,-46.654,0.768
28.08.2021 17:21:25,-57.205,912.658,903.961,542.663,995.483,-46.655,0.758
28.08.2021 17:21:26,-57.100,913.452,904.724,543.731,996.856,-46.612,0.760
28.08.2021 17:21:27,-57.004,916.046,907.226,545.410,999.786,-46.601,0.766
28.08.2021 17:21:28,-56.904,917.907,909.149,546.752,1002.624,-46.628,0.759
28.08.2021 17:21:29,-56.803,920.043,911.621,548.095,1004.913,-46.616,0.728
28.08.2021 17:21:30,-56.708,921.112,912.933,549.591,1006.988,-46.568,0.706
28.08.2021 17:21:31,-56.597,922.973,914.886,550.445,1008.453,-46.561,0.697
28.08.2021 17:21:32,-56.492,925.506,917.236,551.788,1011.260,-46.586,0.711
28.08.2021 17:21:33,-56.396,927.154,918.884,552.917,1013.305,-46.584,0.709
28.08.2021 17:21:34,-56.306,929.321,920.410,554.809,1015.106,-46.465,0.763
28.08.2021 17:21:35,-56.208,931.732,923.736,556.060,1018.920,-46.574,0.682
28.08.2021 17:21:36,-56.107,934.722,925.536,557.342,1020.721,-46.535,0.782
28.08.2021 17:21:37,-56.002,936.859,928.314,559.265,1023.284,-46.467,0.726
28.08.2021 17:21:38,-55.901,938.964,930.114,560.119,1025.024,-46.479,0.750
28.08.2021 17:21:39,-55.806,942.566,933.349,561.798,1027.923,-46.467,0.778
28.08.2021 17:21:40,-55.693,943.450,934.905,562.805,1030.181,-46.497,0.720
28.08.2021 17:21:41,-55.600,946.197,937.316,564.270,1032.623,-46.480,0.747
28.08.2021 17:21:42,-55.507,950.347,941.528,565.979,1035.583,-46.468,0.738
28.08.2021 17:21:43,-55.399,952.423,942.932,567.108,1037.750,-46.475,0.793
28.08.2021 17:21:44,-55.303,955.688,946.685,568.878,1040.740,-46.458,0.749
28.08.2021 17:21:45,-55.205,958.526,949.493,569.702,1042.816,-46.497,0.750
28.08.2021 17:21:46,-55.095,960.479,951.446,570.861,1045.349,-46.526,0.748
28.08.2021 17:21:47,-55.002,965.454,956.207,572.631,1048.736,-46.536,0.762
28.08.2021 17:21:48,-54.899,967.285,957.824,573.089,1050.323,-46.587,0.778
28.08.2021 17:21:49,-54.793,970.642,961.425,575.103,1052.795,-46.504,0.755
28.08.2021 17:21:50,-54.708,974.243,964.507,576.141,1055.786,-46.578,0.795
28.08.2021 17:21:51,-54.592,976.318,966.339,577.209,1057.098,-46.534,0.814
28.08.2021 17:21:52,-54.507,980.499,971.038,578.704,1060.638,-46.589,0.768
28.08.2021 17:21:53,-54.404,983.581,973.358,579.772,1062.805,-46.603,0.827
28.08.2021 17:21:54,-54.308,986.297,976.623,581.695,1065.368,-46.538,0.781
28.08.2021 17:21:55,-54.205,989.746,979.492,582.092,1068.206,-46.681,0.825
28.08.2021 17:21:56,-54.105,992.797,983.093,583.831,1070.343,-46.610,0.778
28.08.2021 17:21:57,-54.002,994.720,984.436,584.808,1071.868,-46.592,0.823
28.08.2021 17:21:58,-53.901,999.603,989.288,586.761,1076.415,-46.657,0.821
28.08.2021 17:21:59,-53.801,1002.868,991.790,588.256,1078.155,-46.590,0.880
28.08.2021 17:22:00,-53.705,1003.662,993.316,588.775,1079.315,-46.604,0.821
28.08.2021 17:22:01,-53.605,1008.392,997.894,591.033,1083.923,-46.635,0.829
28.08.2021 17:22:02,-53.504,1011.169,1000.518,592.407,1086.364,-46.630,0.839
28.08.2021 17:22:03,-53.406,1013.885,1003.387,593.170,1088.348,-46.669,0.824
28.08.2021 17:22:04,-53.298,1017.669,1006.103,594.726,1091.247,-46.672,0.905
28.08.2021 17:22:05,-53.208,1019.989,1009.460,596.374,1094.482,-46.686,0.822
28.08.2021 17:22:06,-53.100,1022.491,1012.451,597.991,1096.801,-46.643,0.781
28.08.2021 17:22:07,-52.999,1025.817,1014.465,598.876,1099.365,-46.705,0.881
28.08.2021 17:22:08,-52.901,1028.533,1017.242,600.494,1101.928,-46.678,0.874
28.08.2021 17:22:09,-52.796,1030.395,1019.683,601.745,1104.309,-46.684,0.828
28.08.2021 17:22:10,-52.698,1032.440,1020.935,602.844,1106.323,-46.683,0.887
28.08.2021 17:22:11,-52.595,1035.766,1024.566,604.522,1109.680,-46.701,0.861
28.08.2021 17:22:12,-52.492,1038.513,1026.733,605.834,1111.907,-46.690,0.903
28.08.2021 17:22:13,-52.401,1040.832,1029.358,607.177,1114.318,-46.686,0.878
28.08.2021 17:22:14,-52.293,1043.029,1032.226,608.947,1117.675,-46.693,0.825
28.08.2021 17:22:15,-52.205,1046.966,1035.095,610.656,1121.429,-46.733,0.903
28.08.2021 17:22:16,-52.092,1049.407,1037.231,612.030,1123.840,-46.726,0.924
28.08.2021 17:22:17,-52.004,1052.490,1040.374,614.349,1126.922,-46.650,0.917
28.08.2021 17:22:18,-51.896,1054.260,1041.900,615.356,1129.119,-46.673,0.934
28.08.2021 17:22:19,-51.803,1056.762,1045.257,617.462,1132.812,-46.662,0.867
28.08.2021 17:22:20,-51.703,1059.814,1047.698,618.530,1135.284,-46.695,0.911
28.08.2021 17:22:21,-51.602,1062.347,1049.255,620.025,1137.847,-46.683,0.982
28.08.2021 17:22:22,-51.502,1065.154,1052.520,621.551,1141.235,-46.720,0.945
28.08.2021 17:22:23,-51.406,1067.718,1054.748,623.352,1144.348,-46.708,0.968
28.08.2021 17:22:24,-51.303,1069.458,1057.556,624.816,1146.820,-46.694,0.886
28.08.2021 17:22:25,-51.193,1071.441,1059.661,626.556,1149.352,-46.653,0.875
28.08.2021 17:22:26,-51.105,1075.164,1062.560,628.082,1153.167,-46.717,0.934
28.08.2021 17:22:27,-51.007,1076.873,1065.277,630.035,1155.822,-46.658,0.857
28.08.2021 17:22:28,-50.906,1079.254,1067.596,631.072,1159.027,-46.740,0.860
28.08.2021 17:22:29,-50.808,1082.702,1070.159,633.087,1162.475,-46.724,0.923
28.08.2021 17:22:30,-50.695,1084.289,1072.113,634.582,1164.825,-46.699,0.894
28.08.2021 17:22:31,-50.600,1085.723,1074.126,635.559,1166.107,-46.668,0.850
28.08.2021 17:22:32,-50.499,1088.989,1076.446,637.573,1169.738,-46.664,0.917
28.08.2021 17:22:33,-50.399,1092.224,1080.078,639.831,1173.248,-46.625,0.886
28.08.2021 17:22:34,-50.301,1093.750,1081.481,641.052,1174.835,-46.585,0.893
28.08.2021 17:22:35,-50.195,1096.588,1084.594,643.218,1177.825,-46.524,0.871
28.08.2021 17:22:36,-50.102,1098.480,1086.883,644.256,1180.236,-46.556,0.840
28.08.2021 17:22:37,-49.994,1102.416,1090.392,646.575,1183.288,-46.482,0.869
28.08.2021 17:22:38,-49.901,1104.461,1092.986,648.742,1187.255,-46.483,0.827
28.08.2021 17:22:39,-49.798,1106.811,1095.275,650.085,1189.270,-46.456,0.830
28.08.2021 17:22:40,-49.695,1109.680,1097.900,652.221,1192.749,-46.430,0.845
28.08.2021 17:22:41,-49.610,1112.426,1100.219,654.022,1195.373,-46.389,0.874
28.08.2021 17:22:42,-49.502,1114.776,1102.539,655.700,1198.211,-46.375,0.874
28.08.2021 17:22:43,-49.404,1117.401,1105.865,657.409,1201.324,-46.375,0.822
28.08.2021 17:22:44,-49.306,1119.812,1107.665,659.118,1203.613,-46.324,0.864
28.08.2021 17:22:45,-49.193,1121.765,1110.290,660.217,1205.963,-46.345,0.814
28.08.2021 17:22:47,-49.095,1124.450,1111.938,662.963,1209.075,-46.231,0.886
