# Sensor: ADPD2140, Rotationstage: ELL18M
Datetime,Stage Angle,xL,xR,yL,yR,X,Y
27.08.2021 18:36:52,0.000,1214.508,1216.491,1289.489,1289.794,-0.018,-0.129
27.08.2021 18:36:53,-0.093,1214.691,1216.003,1288.269,1290.496,-0.136,-0.085
27.08.2021 18:36:54,-0.186,1215.118,1215.881,1288.146,1290.924,-0.170,-0.049
27.08.2021 18:36:55,-0.279,1214.508,1216.125,1287.170,1291.107,-0.242,-0.105
27.08.2021 18:36:56,-0.372,1214.477,1215.637,1286.377,1292.724,-0.390,-0.075
27.08.2021 18:36:57,-0.477,1214.385,1215.454,1286.316,1292.541,-0.382,-0.069
27.08.2021 18:36:58,-0.580,1214.904,1216.033,1286.193,1294.006,-0.479,-0.073
27.08.2021 18:36:59,-0.676,1214.996,1215.515,1285.156,1294.372,-0.566,-0.033
27.08.2021 18:37:00,-0.769,1215.057,1216.217,1285.095,1295.227,-0.622,-0.075
27.08.2021 18:37:01,-0.862,1214.843,1216.278,1285.095,1296.417,-0.695,-0.093
27.08.2021 18:37:02,-0.960,1215.271,1216.522,1284.423,1296.661,-0.751,-0.081
27.08.2021 18:37:03,-1.053,1215.332,1216.369,1283.752,1297.241,-0.828,-0.067
27.08.2021 18:37:04,-1.153,1215.392,1216.796,1283.752,1297.576,-0.848,-0.091
27.08.2021 18:37:05,-1.246,1215.087,1216.369,1283.050,1298.431,-0.944,-0.083
27.08.2021 18:37:06,-1.342,1215.149,1216.247,1282.714,1299.407,-1.024,-0.071
27.08.2021 18:37:07,-1.434,1215.240,1216.796,1282.531,1299.865,-1.063,-0.101
27.08.2021 18:37:08,-1.527,1215.026,1216.949,1281.555,1300.170,-1.142,-0.125
27.08.2021 18:37:09,-1.620,1215.209,1217.101,1281.555,1300.842,-1.183,-0.123
27.08.2021 18:37:10,-1.716,1214.904,1216.888,1280.487,1301.788,-1.307,-0.129
27.08.2021 18:37:11,-1.809,1214.996,1216.308,1280.059,1302.368,-1.369,-0.085
27.08.2021 18:37:12,-1.904,1214.263,1216.400,1279.327,1303.375,-1.475,-0.139
27.08.2021 18:37:13,-2.002,1214.263,1216.491,1279.022,1304.565,-1.566,-0.145
27.08.2021 18:37:14,-2.098,1215.423,1216.491,1277.984,1305.236,-1.671,-0.069
27.08.2021 18:37:15,-2.191,1215.118,1216.217,1277.588,1305.664,-1.722,-0.071
27.08.2021 18:37:16,-2.284,1215.270,1216.918,1276.794,1306.945,-1.849,-0.107
27.08.2021 18:37:18,-2.387,1215.301,1216.918,1275.940,1307.494,-1.935,-0.105
27.08.2021 18:37:19,-2.480,1215.209,1216.918,1275.421,1308.105,-2.004,-0.111
27.08.2021 18:37:20,-2.573,1216.033,1217.040,1274.261,1309.173,-2.141,-0.065
27.08.2021 18:37:21,-2.666,1215.667,1217.315,1273.834,1309.783,-2.205,-0.107
27.08.2021 18:37:22,-2.759,1216.247,1216.979,1273.193,1310.760,-2.304,-0.047
27.08.2021 18:37:23,-2.852,1216.003,1217.895,1272.674,1312.042,-2.413,-0.123
27.08.2021 18:37:24,-2.945,1215.911,1218.383,1272.552,1312.561,-2.452,-0.160
27.08.2021 18:37:25,-3.038,1215.881,1218.109,1272.003,1313.079,-2.518,-0.145
27.08.2021 18:37:26,-3.130,1216.247,1217.834,1270.904,1314.239,-2.656,-0.103
27.08.2021 18:37:27,-3.223,1216.461,1217.804,1270.141,1315.094,-2.755,-0.087
27.08.2021 18:37:28,-3.316,1216.430,1218.505,1269.012,1315.826,-2.870,-0.135
27.08.2021 18:37:29,-3.409,1216.003,1218.078,1268.951,1316.955,-2.941,-0.135
27.08.2021 18:37:30,-3.502,1216.217,1218.078,1268.005,1316.864,-2.995,-0.121
27.08.2021 18:37:31,-3.595,1216.705,1218.719,1267.883,1318.237,-3.085,-0.131
27.08.2021 18:37:32,-3.688,1217.284,1218.536,1266.784,1318.817,-3.189,-0.081
27.08.2021 18:37:33,-3.781,1217.254,1219.207,1266.906,1319.122,-3.199,-0.127
27.08.2021 18:37:34,-3.874,1217.102,1218.566,1266.021,1319.305,-3.266,-0.095
27.08.2021 18:37:35,-3.967,1217.437,1219.116,1264.892,1320.159,-3.388,-0.109
27.08.2021 18:37:36,-4.060,1217.712,1218.811,1265.075,1320.434,-3.393,-0.071
27.08.2021 18:37:37,-4.153,1217.681,1219.268,1263.854,1321.289,-3.520,-0.103
27.08.2021 18:37:38,-4.246,1218.048,1219.757,1263.671,1321.838,-3.565,-0.111
27.08.2021 18:37:39,-4.339,1218.078,1219.604,1264.099,1322.570,-3.582,-0.099
27.08.2021 18:37:40,-4.432,1217.926,1220.367,1262.786,1322.936,-3.686,-0.158
27.08.2021 18:37:41,-4.522,1217.681,1220.245,1262.939,1323.394,-3.704,-0.166
27.08.2021 18:37:42,-4.615,1218.200,1220.489,1262.084,1324.554,-3.827,-0.148
27.08.2021 18:37:43,-4.708,1218.780,1220.794,1261.383,1324.981,-3.896,-0.130
27.08.2021 18:37:44,-4.806,1218.994,1221.282,1261.016,1325.988,-3.980,-0.148
27.08.2021 18:37:45,-4.899,1219.085,1220.916,1261.291,1326.660,-4.003,-0.118
27.08.2021 18:37:46,-4.992,1219.085,1221.679,1259.948,1327.728,-4.151,-0.168
27.08.2021 18:37:47,-5.085,1219.635,1221.557,1259.918,1328.399,-4.193,-0.124
27.08.2021 18:37:48,-5.178,1219.696,1221.557,1259.094,1328.826,-4.270,-0.120
27.08.2021 18:37:49,-5.274,1219.665,1222.076,1258.483,1329.986,-4.377,-0.156
27.08.2021 18:37:50,-5.367,1219.573,1221.923,1258.209,1330.963,-4.453,-0.152
27.08.2021 18:37:51,-5.460,1220.367,1222.259,1257.781,1331.573,-4.516,-0.122
27.08.2021 18:37:52,-5.553,1219.573,1222.686,1257.110,1332.336,-4.603,-0.201
27.08.2021 18:37:53,-5.651,1220.855,1222.381,1256.378,1333.435,-4.715,-0.098
27.08.2021 18:37:54,-5.744,1220.825,1222.625,1256.195,1333.557,-4.734,-0.116
27.08.2021 18:37:55,-5.837,1220.764,1223.144,1255.737,1334.869,-4.840,-0.154
27.08.2021 18:37:56,-5.929,1221.405,1223.358,1255.859,1335.876,-4.892,-0.126
27.08.2021 18:37:57,-6.022,1220.794,1223.205,1254.577,1335.510,-4.951,-0.156
27.08.2021 18:37:58,-6.115,1221.649,1223.907,1254.608,1337.005,-5.038,-0.146
27.08.2021 18:37:59,-6.208,1221.862,1223.846,1253.875,1337.371,-5.106,-0.128
27.08.2021 18:38:00,-6.301,1222.015,1224.121,1253.906,1338.317,-5.160,-0.136
27.08.2021 18:38:01,-6.394,1222.137,1224.670,1253.265,1338.867,-5.233,-0.164
27.08.2021 18:38:02,-6.487,1222.747,1225.219,1252.410,1339.904,-5.348,-0.160
27.08.2021 18:38:03,-6.580,1223.052,1225.708,1252.227,1340.545,-5.398,-0.171
27.08.2021 18:38:04,-6.673,1223.083,1226.013,1251.556,1341.369,-5.489,-0.189
27.08.2021 18:38:05,-6.766,1223.571,1225.830,1251.892,1341.858,-5.496,-0.146
27.08.2021 18:38:06,-6.862,1223.602,1225.982,1251.190,1342.498,-5.579,-0.154
27.08.2021 18:38:07,-6.955,1224.151,1226.654,1251.129,1343.811,-5.660,-0.161
27.08.2021 18:38:08,-7.050,1224.700,1226.593,1250.915,1344.879,-5.736,-0.122
27.08.2021 18:38:09,-7.143,1224.914,1227.172,1250.366,1344.696,-5.760,-0.145
27.08.2021 18:38:10,-7.239,1225.189,1227.691,1250.122,1345.642,-5.831,-0.161
27.08.2021 18:38:11,-7.331,1225.646,1227.661,1249.328,1346.527,-5.934,-0.130
27.08.2021 18:38:12,-7.424,1226.043,1228.332,1249.633,1347.167,-5.952,-0.147
27.08.2021 18:38:13,-7.517,1225.494,1228.729,1249.084,1348.175,-6.046,-0.208
27.08.2021 18:38:14,-7.610,1226.104,1229.003,1248.473,1349.151,-6.142,-0.187
27.08.2021 18:38:15,-7.706,1226.348,1228.607,1247.772,1349.975,-6.235,-0.145
27.08.2021 18:38:16,-7.799,1226.959,1229.065,1247.161,1350.738,-6.318,-0.135
27.08.2021 18:38:17,-7.892,1227.569,1229.217,1246.765,1352.325,-6.436,-0.106
27.08.2021 18:38:18,-7.985,1228.027,1229.797,1246.612,1352.600,-6.462,-0.114
27.08.2021 18:38:19,-8.078,1228.027,1230.102,1245.818,1353.820,-6.583,-0.133
27.08.2021 18:38:20,-8.168,1228.424,1230.743,1245.056,1354.797,-6.689,-0.149
27.08.2021 18:38:21,-8.261,1228.790,1230.712,1244.781,1355.804,-6.765,-0.123
27.08.2021 18:38:22,-8.354,1229.705,1231.292,1244.628,1356.689,-6.827,-0.102
27.08.2021 18:38:23,-8.447,1229.492,1231.811,1243.713,1357.910,-6.956,-0.149
27.08.2021 18:38:24,-8.540,1229.858,1231.933,1242.950,1358.734,-7.052,-0.133
27.08.2021 18:38:25,-8.633,1230.316,1232.147,1242.889,1359.710,-7.113,-0.117
27.08.2021 18:38:26,-8.726,1230.590,1232.391,1242.309,1360.778,-7.212,-0.115
27.08.2021 18:38:27,-8.819,1230.499,1232.269,1241.424,1361.572,-7.314,-0.113
27.08.2021 18:38:28,-8.912,1231.231,1233.276,1240.569,1362.945,-7.449,-0.131
27.08.2021 18:38:29,-9.005,1231.445,1233.337,1240.203,1364.135,-7.541,-0.121
27.08.2021 18:38:30,-9.098,1232.360,1233.886,1239.501,1365.600,-7.671,-0.098
27.08.2021 18:38:31,-9.191,1232.421,1234.619,1239.013,1366.729,-7.767,-0.141
27.08.2021 18:38:32,-9.284,1233.459,1235.107,1238.708,1366.668,-7.783,-0.105
27.08.2021 18:38:33,-9.377,1233.581,1235.809,1237.609,1368.255,-7.945,-0.142
27.08.2021 18:38:34,-9.470,1233.764,1235.931,1236.877,1369.628,-8.071,-0.139
27.08.2021 18:38:35,-9.563,1234.283,1236.724,1237.152,1369.995,-8.075,-0.156
27.08.2021 18:38:36,-9.656,1235.076,1237.213,1236.419,1371.551,-8.211,-0.136
27.08.2021 18:38:37,-9.751,1235.382,1237.579,1235.901,1372.863,-8.320,-0.140
27.08.2021 18:38:38,-9.847,1235.351,1237.457,1235.107,1372.772,-8.365,-0.134
27.08.2021 18:38:39,-9.940,1235.992,1238.128,1234.283,1374.084,-8.493,-0.136
27.08.2021 18:38:40,-10.032,1236.816,1238.800,1234.466,1375.000,-8.534,-0.126
27.08.2021 18:38:41,-10.125,1236.480,1239.074,1233.551,1375.976,-8.649,-0.166
27.08.2021 18:38:42,-10.221,1237.487,1239.288,1233.673,1376.556,-8.675,-0.115
27.08.2021 18:38:43,-10.314,1237.823,1239.746,1233.032,1377.654,-8.779,-0.122
27.08.2021 18:38:44,-10.407,1238.250,1240.569,1232.818,1377.929,-8.808,-0.148
27.08.2021 18:38:45,-10.500,1238.342,1240.509,1231.719,1378.936,-8.936,-0.138
27.08.2021 18:38:46,-10.593,1239.471,1241.119,1231.628,1380.065,-9.007,-0.105
27.08.2021 18:38:47,-10.686,1239.776,1241.363,1231.384,1380.798,-9.064,-0.101
27.08.2021 18:38:48,-10.779,1239.624,1242.004,1230.621,1382.141,-9.190,-0.152
27.08.2021 18:38:49,-10.872,1240.539,1242.370,1229.858,1382.812,-9.277,-0.116
27.08.2021 18:38:50,-10.965,1241.119,1242.919,1229.431,1383.636,-9.352,-0.114
27.08.2021 18:38:51,-11.058,1241.088,1243.255,1229.186,1384.674,-9.427,-0.138
27.08.2021 18:38:52,-11.151,1241.515,1244.354,1228.698,1385.345,-9.496,-0.180
27.08.2021 18:38:53,-11.244,1242.462,1244.567,1227.874,1386.016,-9.588,-0.134
27.08.2021 18:38:54,-11.337,1243.042,1245.269,1227.722,1387.878,-9.703,-0.141
27.08.2021 18:38:55,-11.432,1242.614,1245.361,1226.928,1387.908,-9.756,-0.174
27.08.2021 18:38:56,-11.527,1243.469,1246.002,1226.226,1389.343,-9.883,-0.161
27.08.2021 18:38:57,-11.620,1243.927,1246.276,1225.860,1390.502,-9.972,-0.149
27.08.2021 18:38:58,-11.713,1243.865,1246.612,1225.280,1392.242,-10.108,-0.174
27.08.2021 18:38:59,-11.809,1244.933,1247.192,1224.548,1392.700,-10.181,-0.143
27.08.2021 18:39:00,-11.907,1245.147,1247.528,1224.029,1393.524,-10.261,-0.151
27.08.2021 18:39:01,-12.002,1245.941,1247.985,1223.510,1395.172,-10.388,-0.129
27.08.2021 18:39:03,-12.103,1246.307,1248.413,1222.076,1395.568,-10.503,-0.133
27.08.2021 18:39:04,-12.196,1246.673,1248.901,1221.832,1396.972,-10.598,-0.141
27.08.2021 18:39:05,-12.289,1247.314,1249.023,1220.458,1397.460,-10.715,-0.108
27.08.2021 18:39:06,-12.384,1247.284,1249.145,1220.184,1398.803,-10.808,-0.118
27.08.2021 18:39:07,-12.477,1247.741,1250.152,1219.635,1399.566,-10.887,-0.152
27.08.2021 18:39:08,-12.573,1248.474,1250.701,1218.749,1400.695,-11.007,-0.141
27.08.2021 18:39:09,-12.666,1248.687,1250.671,1218.597,1401.306,-11.052,-0.125
27.08.2021 18:39:10,-12.759,1249.023,1251.251,1217.681,1402.252,-11.164,-0.141
27.08.2021 18:39:11,-12.854,1249.206,1251.464,1217.224,1403.747,-11.278,-0.143
27.08.2021 18:39:12,-12.947,1249.694,1251.800,1216.339,1404.235,-11.362,-0.133
27.08.2021 18:39:13,-13.040,1249.969,1252.136,1215.850,1405.029,-11.439,-0.137
27.08.2021 18:39:14,-13.133,1250.549,1253.234,1214.874,1406.707,-11.596,-0.169
27.08.2021 18:39:15,-13.223,1251.068,1252.990,1215.057,1407.135,-11.608,-0.121
27.08.2021 18:39:16,-13.316,1251.648,1253.509,1213.379,1408.080,-11.770,-0.117
27.08.2021 18:39:17,-13.409,1251.648,1253.692,1212.890,1409.362,-11.874,-0.129
27.08.2021 18:39:18,-13.502,1252.014,1253.906,1211.731,1409.637,-11.964,-0.119
27.08.2021 18:39:19,-13.595,1253.265,1254.760,1211.547,1410.186,-12.007,-0.094
27.08.2021 18:39:20,-13.688,1253.601,1255.493,1210.204,1411.132,-12.147,-0.119
27.08.2021 18:39:21,-13.781,1254.150,1255.310,1210.052,1411.712,-12.189,-0.073
27.08.2021 18:39:22,-13.872,1253.967,1256.012,1209.777,1413.177,-12.289,-0.129
27.08.2021 18:39:23,-13.965,1254.760,1256.713,1208.404,1413.848,-12.416,-0.123
27.08.2021 18:39:24,-14.058,1255.218,1256.774,1207.306,1415.679,-12.589,-0.098
27.08.2021 18:39:25,-14.153,1255.065,1256.927,1206.970,1416.259,-12.643,-0.117
27.08.2021 18:39:26,-14.246,1255.584,1256.988,1205.352,1416.961,-12.788,-0.088
27.08.2021 18:39:27,-14.339,1255.523,1257.812,1204.498,1418.029,-12.903,-0.144
27.08.2021 18:39:28,-14.434,1256.439,1258.026,1203.735,1419.098,-13.012,-0.100
27.08.2021 18:39:29,-14.527,1256.286,1258.392,1202.301,1420.257,-13.170,-0.132
27.08.2021 18:39:30,-14.620,1256.927,1259.460,1201.904,1420.989,-13.237,-0.159
27.08.2021 18:39:31,-14.713,1257.781,1258.972,1200.805,1421.600,-13.343,-0.074
27.08.2021 18:39:32,-14.806,1258.300,1259.704,1198.974,1423.065,-13.544,-0.088
27.08.2021 18:39:33,-14.902,1258.300,1260.436,1198.181,1423.919,-13.643,-0.134
27.08.2021 18:39:34,-14.995,1258.880,1260.345,1197.692,1424.743,-13.721,-0.092
27.08.2021 18:39:35,-15.090,1259.002,1261.047,1196.807,1426.483,-13.875,-0.128
27.08.2021 18:39:36,-15.183,1259.124,1261.230,1195.648,1427.520,-14.008,-0.132
27.08.2021 18:39:37,-15.276,1259.918,1261.474,1194.396,1427.947,-14.114,-0.097
27.08.2021 18:39:38,-15.372,1260.253,1261.535,1192.840,1429.168,-14.284,-0.080
27.08.2021 18:39:39,-15.465,1260.406,1262.207,1191.467,1430.236,-14.433,-0.113
27.08.2021 18:39:40,-15.558,1260.406,1262.847,1190.979,1430.847,-14.499,-0.153
27.08.2021 18:39:41,-15.651,1261.047,1263.031,1189.849,1431.823,-14.627,-0.124
27.08.2021 18:39:42,-15.749,1261.504,1264.038,1188.934,1432.891,-14.746,-0.158
27.08.2021 18:39:43,-15.842,1262.084,1264.160,1188.201,1433.746,-14.841,-0.130
27.08.2021 18:39:44,-15.934,1262.481,1264.129,1187.133,1434.295,-14.942,-0.103
27.08.2021 18:39:45,-16.027,1262.908,1264.801,1185.760,1435.455,-15.096,-0.118
27.08.2021 18:39:46,-16.120,1263.305,1265.319,1184.906,1436.218,-15.194,-0.126
27.08.2021 18:39:47,-16.213,1263.916,1265.594,1184.417,1436.920,-15.265,-0.105
27.08.2021 18:39:48,-16.306,1263.488,1265.838,1183.349,1438.171,-15.404,-0.147
27.08.2021 18:39:49,-16.399,1264.648,1266.082,1182.067,1438.293,-15.496,-0.089
27.08.2021 18:39:50,-16.492,1264.038,1266.540,1180.664,1439.117,-15.634,-0.156
27.08.2021 18:39:51,-16.585,1264.556,1267.181,1179.931,1439.697,-15.714,-0.164
27.08.2021 18:39:52,-16.678,1265.411,1266.876,1178.161,1440.460,-15.874,-0.091
27.08.2021 18:39:53,-16.771,1265.411,1266.998,1177.581,1441.345,-15.961,-0.099
27.08.2021 18:39:54,-16.864,1265.167,1267.822,1176.300,1442.016,-16.082,-0.166
27.08.2021 18:39:55,-16.957,1266.510,1268.157,1175.476,1443.389,-16.212,-0.103
27.08.2021 18:39:56,-17.050,1266.845,1268.005,1173.858,1443.206,-16.310,-0.072
27.08.2021 18:39:57,-17.143,1266.601,1268.371,1171.966,1443.542,-16.455,-0.110
27.08.2021 18:39:58,-17.236,1266.906,1268.646,1171.173,1444.488,-16.559,-0.108
27.08.2021 18:39:59,-17.329,1267.150,1268.799,1170.043,1444.763,-16.650,-0.103
27.08.2021 18:40:00,-17.422,1267.730,1269.683,1168.212,1446.258,-16.853,-0.121
27.08.2021 18:40:01,-17.517,1268.188,1270.355,1167.022,1447.143,-16.981,-0.135
27.08.2021 18:40:02,-17.610,1268.463,1270.080,1165.557,1447.875,-17.119,-0.100
27.08.2021 18:40:03,-17.703,1268.127,1270.233,1164.337,1448.638,-17.243,-0.131
27.08.2021 18:40:04,-17.796,1268.218,1270.446,1162.658,1449.859,-17.421,-0.139
27.08.2021 18:40:05,-17.889,1268.554,1270.233,1161.407,1450.256,-17.527,-0.104
27.08.2021 18:40:06,-17.982,1269.287,1270.660,1160.339,1451.110,-17.645,-0.085
27.08.2021 18:40:07,-18.075,1269.500,1271.270,1158.782,1451.751,-17.785,-0.110
