# Sensor: ADPD2140, Rotationstage: ELL18M
Datetime,Stage Angle,xL,xR,yL,yR,X,Y
27.08.2021 19:42:53,0.004,1212.493,1211.090,1281.066,1277.587,0.215,0.091
27.08.2021 19:42:55,-0.091,1210.510,1211.639,1280.609,1277.496,0.192,-0.073
27.08.2021 19:42:56,-0.184,1210.113,1212.402,1280.731,1277.740,0.185,-0.149
27.08.2021 19:42:57,-0.285,1209.045,1212.341,1279.876,1277.404,0.153,-0.215
27.08.2021 19:42:58,-0.380,1207.610,1212.829,1280.761,1277.221,0.219,-0.341
27.08.2021 19:42:59,-0.473,1207.244,1213.348,1279.907,1277.191,0.168,-0.399
27.08.2021 19:43:00,-0.569,1206.329,1214.111,1280.761,1277.191,0.221,-0.509
27.08.2021 19:43:01,-0.662,1206.024,1214.721,1280.547,1276.764,0.234,-0.569
27.08.2021 19:43:02,-0.755,1204.956,1215.331,1280.090,1277.191,0.179,-0.679
27.08.2021 19:43:03,-0.850,1204.955,1215.728,1280.578,1277.069,0.217,-0.705
27.08.2021 19:43:04,-0.943,1203.887,1216.583,1280.639,1277.282,0.207,-0.831
27.08.2021 19:43:05,-1.036,1203.277,1217.071,1280.700,1277.923,0.172,-0.903
27.08.2021 19:43:06,-1.129,1202.819,1217.681,1280.487,1277.557,0.181,-0.973
27.08.2021 19:43:07,-1.222,1202.209,1218.322,1280.609,1277.252,0.207,-1.054
27.08.2021 19:43:08,-1.315,1201.232,1218.750,1281.066,1277.740,0.206,-1.147
27.08.2021 19:43:09,-1.408,1200.561,1219.726,1281.127,1277.649,0.215,-1.254
27.08.2021 19:43:10,-1.501,1200.347,1220.764,1281.585,1278.594,0.185,-1.336
27.08.2021 19:43:11,-1.594,1199.340,1220.398,1281.585,1277.801,0.234,-1.379
27.08.2021 19:43:12,-1.687,1199.157,1221.435,1281.524,1278.503,0.187,-1.458
27.08.2021 19:43:13,-1.780,1198.791,1222.229,1281.799,1278.625,0.196,-1.534
27.08.2021 19:43:14,-1.873,1198.791,1222.381,1282.317,1278.503,0.236,-1.544
27.08.2021 19:43:15,-1.966,1198.028,1223.083,1282.226,1278.625,0.222,-1.640
27.08.2021 19:43:16,-2.059,1197.387,1223.663,1281.951,1279.113,0.175,-1.719
27.08.2021 19:43:17,-2.152,1197.387,1223.968,1282.195,1279.327,0.177,-1.739
27.08.2021 19:43:18,-2.245,1196.655,1224.884,1283.111,1279.327,0.234,-1.847
27.08.2021 19:43:19,-2.338,1196.075,1225.006,1282.806,1279.449,0.207,-1.893
27.08.2021 19:43:20,-2.431,1195.770,1225.372,1282.684,1279.266,0.211,-1.937
27.08.2021 19:43:21,-2.524,1195.312,1226.623,1282.928,1279.662,0.201,-2.048
27.08.2021 19:43:22,-2.617,1195.068,1226.135,1283.020,1279.907,0.192,-2.033
27.08.2021 19:43:23,-2.710,1194.030,1227.355,1283.477,1279.907,0.220,-2.181
27.08.2021 19:43:24,-2.802,1193.572,1228.118,1283.935,1280.609,0.205,-2.260
27.08.2021 19:43:25,-2.898,1193.420,1228.240,1284.698,1281.067,0.224,-2.278
27.08.2021 19:43:26,-2.993,1192.657,1228.942,1284.607,1280.609,0.246,-2.374
27.08.2021 19:43:27,-3.086,1192.108,1229.553,1284.729,1281.036,0.228,-2.450
27.08.2021 19:43:28,-3.179,1192.199,1229.705,1284.973,1281.311,0.226,-2.454
27.08.2021 19:43:29,-3.275,1191.833,1230.926,1285.095,1281.707,0.209,-2.557
27.08.2021 19:43:30,-3.373,1191.040,1231.903,1285.156,1282.165,0.184,-2.672
27.08.2021 19:43:31,-3.466,1191.406,1231.292,1285.369,1282.196,0.195,-2.609
27.08.2021 19:43:32,-3.559,1190.856,1232.727,1285.614,1282.165,0.212,-2.737
27.08.2021 19:43:33,-3.652,1190.460,1233.245,1285.827,1282.531,0.203,-2.797
27.08.2021 19:43:34,-3.745,1190.124,1233.825,1286.315,1282.806,0.216,-2.857
27.08.2021 19:43:35,-3.838,1190.429,1234.924,1286.316,1283.020,0.203,-2.907
27.08.2021 19:43:36,-3.931,1189.849,1235.290,1286.010,1283.599,0.148,-2.969
27.08.2021 19:43:37,-4.029,1189.392,1236.267,1286.773,1283.050,0.229,-3.062
27.08.2021 19:43:38,-4.122,1189.208,1237.152,1287.475,1283.813,0.225,-3.131
27.08.2021 19:43:39,-4.215,1189.483,1238.891,1287.597,1284.606,0.184,-3.224
27.08.2021 19:43:40,-4.308,1189.178,1239.288,1287.811,1284.576,0.199,-3.270
27.08.2021 19:43:41,-4.400,1188.629,1240.081,1288.147,1284.698,0.212,-3.357
27.08.2021 19:43:42,-4.493,1188.110,1240.447,1288.208,1285.339,0.176,-3.415
27.08.2021 19:43:43,-4.594,1187.652,1242.584,1289.031,1285.522,0.216,-3.582
27.08.2021 19:43:44,-4.694,1187.286,1242.920,1289.337,1285.705,0.223,-3.627
27.08.2021 19:43:45,-4.787,1186.828,1243.164,1289.428,1285.980,0.212,-3.674
27.08.2021 19:43:46,-4.880,1185.485,1244.506,1289.825,1286.407,0.210,-3.849
27.08.2021 19:43:47,-4.973,1185.699,1245.483,1289.764,1286.926,0.174,-3.897
27.08.2021 19:43:48,-5.066,1185.333,1246.734,1290.435,1287.261,0.195,-4.001
27.08.2021 19:43:49,-5.159,1185.089,1247.680,1290.679,1287.384,0.202,-4.077
27.08.2021 19:43:50,-5.252,1184.326,1248.168,1291.442,1287.597,0.236,-4.159
27.08.2021 19:43:51,-5.345,1183.410,1249.237,1291.473,1288.146,0.204,-4.288
27.08.2021 19:43:52,-5.438,1183.471,1250.396,1291.504,1288.513,0.183,-4.357
27.08.2021 19:43:53,-5.531,1182.800,1251.434,1292.205,1289.001,0.196,-4.468
27.08.2021 19:43:54,-5.624,1181.793,1252.014,1292.327,1288.696,0.222,-4.572
27.08.2021 19:43:55,-5.720,1181.365,1253.784,1292.785,1289.947,0.174,-4.712
27.08.2021 19:43:56,-5.813,1180.969,1253.875,1293.151,1290.405,0.168,-4.745
27.08.2021 19:43:57,-5.906,1179.718,1255.096,1293.670,1289.550,0.252,-4.906
27.08.2021 19:43:58,-5.998,1178.924,1256.469,1294.006,1290.985,0.185,-5.046
27.08.2021 19:43:59,-6.091,1178.253,1256.591,1294.891,1290.710,0.256,-5.098
27.08.2021 19:44:00,-6.184,1177.673,1257.965,1294.952,1291.320,0.222,-5.224
27.08.2021 19:44:01,-6.277,1177.185,1259.704,1295.257,1292.022,0.198,-5.366
27.08.2021 19:44:02,-6.375,1176.361,1259.857,1296.264,1292.358,0.239,-5.431
27.08.2021 19:44:03,-6.468,1175.781,1260.742,1296.081,1292.327,0.229,-5.526
27.08.2021 19:44:04,-6.561,1175.170,1261.535,1296.295,1293.029,0.199,-5.616
27.08.2021 19:44:05,-6.654,1174.164,1262.359,1297.210,1293.823,0.207,-5.736
27.08.2021 19:44:06,-6.747,1173.706,1263.671,1297.302,1294.494,0.171,-5.849
27.08.2021 19:44:07,-6.840,1173.431,1264.160,1298.248,1294.433,0.233,-5.898
27.08.2021 19:44:08,-6.933,1173.309,1264.984,1298.492,1295.379,0.190,-5.958
27.08.2021 19:44:09,-7.029,1171.813,1265.808,1298.400,1295.501,0.177,-6.110
27.08.2021 19:44:10,-7.127,1171.722,1266.479,1299.682,1295.684,0.244,-6.159
27.08.2021 19:44:11,-7.220,1171.142,1267.516,1299.316,1296.142,0.193,-6.262
27.08.2021 19:44:12,-7.313,1170.623,1268.341,1299.896,1296.875,0.184,-6.349
27.08.2021 19:44:13,-7.406,1170.806,1268.646,1299.927,1296.569,0.204,-6.356
27.08.2021 19:44:14,-7.498,1169.494,1269.866,1300.750,1296.905,0.234,-6.520
27.08.2021 19:44:15,-7.591,1169.281,1270.782,1301.300,1298.279,0.184,-6.592
27.08.2021 19:44:16,-7.687,1169.189,1271.148,1302.337,1298.278,0.247,-6.621
27.08.2021 19:44:17,-7.780,1168.182,1272.399,1302.673,1298.583,0.249,-6.767
27.08.2021 19:44:18,-7.873,1167.694,1273.284,1302.856,1299.041,0.232,-6.855
27.08.2021 19:44:19,-7.966,1167.297,1273.803,1303.192,1299.957,0.196,-6.914
27.08.2021 19:44:20,-8.061,1166.198,1274.566,1303.558,1300.353,0.195,-7.036
27.08.2021 19:44:21,-8.154,1166.290,1275.146,1304.534,1300.842,0.224,-7.066
27.08.2021 19:44:22,-8.247,1165.740,1275.390,1304.809,1301.025,0.230,-7.118
27.08.2021 19:44:23,-8.343,1164.886,1276.824,1304.779,1301.971,0.170,-7.265
27.08.2021 19:44:24,-8.436,1164.764,1276.946,1305.297,1302.368,0.178,-7.281
27.08.2021 19:44:25,-8.529,1164.215,1277.557,1306.152,1302.368,0.229,-7.356
27.08.2021 19:44:26,-8.622,1163.848,1278.045,1306.274,1303.314,0.179,-7.411
27.08.2021 19:44:27,-8.717,1163.024,1279.418,1307.037,1303.375,0.222,-7.552
27.08.2021 19:44:28,-8.813,1162.994,1279.937,1307.586,1303.650,0.238,-7.586
27.08.2021 19:44:29,-8.906,1162.262,1280.395,1307.342,1304.473,0.174,-7.664
27.08.2021 19:44:30,-8.998,1161.712,1281.128,1308.105,1305.145,0.179,-7.747
27.08.2021 19:44:31,-9.091,1161.407,1282.501,1308.716,1305.206,0.212,-7.852
27.08.2021 19:44:32,-9.184,1160.552,1283.447,1309.020,1305.572,0.209,-7.968
27.08.2021 19:44:33,-9.277,1160.339,1283.538,1309.814,1306.365,0.208,-7.989
27.08.2021 19:44:34,-9.370,1160.217,1285.003,1310.943,1306.762,0.253,-8.087
27.08.2021 19:44:35,-9.463,1159.820,1285.552,1310.760,1307.250,0.212,-8.148
27.08.2021 19:44:36,-9.556,1159.698,1286.041,1311.370,1307.678,0.223,-8.186
27.08.2021 19:44:37,-9.649,1159.606,1287.353,1312.103,1308.410,0.223,-8.273
27.08.2021 19:44:38,-9.742,1158.264,1288.116,1312.561,1309.173,0.204,-8.411
27.08.2021 19:44:40,-9.835,1157.592,1288.665,1312.988,1309.448,0.213,-8.491
27.08.2021 19:44:41,-9.928,1157.653,1289.459,1313.415,1310.089,0.200,-8.535
27.08.2021 19:44:42,-10.021,1157.318,1290.069,1313.934,1310.485,0.208,-8.596
27.08.2021 19:44:43,-10.114,1156.433,1291.686,1314.666,1310.852,0.230,-8.755
27.08.2021 19:44:44,-10.207,1156.372,1292.358,1314.483,1311.614,0.173,-8.800
27.08.2021 19:44:45,-10.300,1156.189,1293.395,1315.979,1311.859,0.248,-8.876
27.08.2021 19:44:46,-10.395,1155.273,1294.769,1315.582,1312.591,0.180,-9.023
27.08.2021 19:44:47,-10.488,1155.456,1295.196,1316.497,1313.018,0.209,-9.036
27.08.2021 19:44:48,-10.581,1154.815,1296.050,1317.108,1313.598,0.211,-9.132
27.08.2021 19:44:49,-10.674,1154.052,1298.065,1317.565,1313.568,0.240,-9.307
27.08.2021 19:44:50,-10.770,1153.869,1299.255,1318.420,1314.971,0.207,-9.392
27.08.2021 19:44:51,-10.863,1152.862,1300.018,1319.030,1315.032,0.240,-9.507
27.08.2021 19:44:52,-10.956,1152.252,1300.933,1319.091,1315.490,0.216,-9.605
27.08.2021 19:44:53,-11.051,1151.519,1301.818,1319.946,1316.101,0.231,-9.708
27.08.2021 19:44:54,-11.144,1150.756,1303.253,1320.312,1317.321,0.179,-9.848
27.08.2021 19:44:55,-11.237,1150.115,1304.504,1321.014,1317.657,0.201,-9.967
27.08.2021 19:44:56,-11.330,1149.078,1305.450,1321.349,1318.176,0.190,-10.096
27.08.2021 19:44:57,-11.423,1148.010,1307.250,1322.540,1318.511,0.241,-10.278
27.08.2021 19:44:58,-11.516,1148.132,1308.044,1323.150,1320.098,0.182,-10.317
27.08.2021 19:44:59,-11.609,1147.247,1308.227,1323.059,1319.702,0.201,-10.389
27.08.2021 19:45:00,-11.702,1145.996,1309.967,1323.791,1320.404,0.203,-10.580
27.08.2021 19:45:01,-11.795,1145.019,1310.699,1324.249,1321.106,0.188,-10.692
27.08.2021 19:45:02,-11.888,1144.073,1312.377,1324.463,1321.533,0.175,-10.858
27.08.2021 19:45:03,-11.981,1142.700,1313.415,1325.225,1322.234,0.179,-11.015
27.08.2021 19:45:04,-12.074,1141.540,1314.209,1325.592,1322.753,0.169,-11.142
27.08.2021 19:45:05,-12.167,1141.327,1315.429,1326.568,1323.455,0.186,-11.230
27.08.2021 19:45:06,-12.260,1139.953,1316.528,1326.721,1323.761,0.176,-11.391
27.08.2021 19:45:07,-12.353,1138.641,1317.627,1328.063,1324.279,0.226,-11.548
27.08.2021 19:45:08,-12.446,1138.519,1318.847,1328.613,1325.408,0.191,-11.629
27.08.2021 19:45:09,-12.539,1136.840,1319.915,1328.857,1325.622,0.193,-11.809
27.08.2021 19:45:10,-12.637,1135.925,1320.953,1329.498,1326.507,0.178,-11.935
27.08.2021 19:45:11,-12.730,1135.131,1322.174,1330.108,1326.782,0.198,-12.062
27.08.2021 19:45:12,-12.823,1133.514,1323.211,1330.261,1327.056,0.191,-12.236
