# Sensor: ADPD2140, Rotationstage: ELL18M
Datetime,Stage Angle,xL,xR,yL,yR,X,Y
01.12.2021 19:34:36,-60.000,569.610,568.328,345.306,626.586,-45.866,0.178
01.12.2021 19:34:37,-59.897,571.289,569.519,346.527,628.204,-45.797,0.245
01.12.2021 19:34:38,-59.807,572.479,571.624,347.534,629.913,-45.783,0.118
01.12.2021 19:34:39,-59.696,574.768,573.272,348.144,631.164,-45.800,0.206
01.12.2021 19:34:41,-59.598,575.531,574.493,348.571,632.232,-45.833,0.142
01.12.2021 19:34:42,-59.500,577.117,575.378,349.426,634.277,-45.890,0.239
01.12.2021 19:34:43,-59.407,578.369,577.606,350.738,636.047,-45.820,0.104
01.12.2021 19:34:44,-59.297,580.688,579.467,351.989,638.275,-45.816,0.166
01.12.2021 19:34:45,-59.199,581.420,579.620,352.386,638.763,-45.789,0.245
01.12.2021 19:34:46,-59.101,583.129,581.542,353.057,640.228,-45.817,0.215
01.12.2021 19:34:47,-59.000,584.075,582.489,353.942,641.998,-45.836,0.215
01.12.2021 19:34:48,-58.900,584.960,583.404,354.919,643.249,-45.777,0.211
01.12.2021 19:34:49,-58.799,586.181,584.899,355.865,644.409,-45.715,0.173
01.12.2021 19:34:50,-58.694,586.822,585.723,356.628,646.331,-45.776,0.148
01.12.2021 19:34:51,-58.603,588.745,587.341,357.635,648.834,-45.852,0.189
01.12.2021 19:34:52,-58.500,589.324,588.134,358.795,650.238,-45.773,0.160
01.12.2021 19:34:53,-58.397,590.057,588.928,359.313,651.214,-45.778,0.151
01.12.2021 19:34:54,-58.297,591.064,589.263,359.985,652.618,-45.798,0.241
01.12.2021 19:34:55,-58.194,592.041,591.247,361.114,654.541,-45.785,0.106
01.12.2021 19:34:56,-58.098,593.322,591.918,361.816,656.402,-45.850,0.187
01.12.2021 19:34:57,-57.995,594.573,593.322,362.945,657.470,-45.742,0.166
01.12.2021 19:34:58,-57.900,596.008,594.512,363.525,659.545,-45.854,0.199
01.12.2021 19:34:59,-57.794,597.595,596.099,364.227,660.827,-45.855,0.198
01.12.2021 19:35:00,-57.706,598.571,597.198,364.593,661.926,-45.903,0.182
01.12.2021 19:35:01,-57.603,599.517,597.534,365.570,663.146,-45.843,0.262
01.12.2021 19:35:02,-57.498,600.952,599.639,366.668,664.581,-45.782,0.173
01.12.2021 19:35:03,-57.392,602.508,601.165,367.889,666.809,-45.783,0.176
01.12.2021 19:35:04,-57.302,603.454,601.745,368.438,667.510,-45.751,0.224
01.12.2021 19:35:05,-57.201,605.316,604.003,369.201,669.555,-45.823,0.171
01.12.2021 19:35:06,-57.101,606.262,605.072,370.086,670.318,-45.732,0.155
01.12.2021 19:35:07,-57.003,607.543,606.048,370.361,671.569,-45.814,0.195
01.12.2021 19:35:08,-56.902,609.527,607.482,371.582,674.011,-45.838,0.266
01.12.2021 19:35:09,-56.807,610.626,609.344,372.222,674.896,-45.808,0.166
01.12.2021 19:35:10,-56.696,613.189,611.541,373.199,676.544,-45.795,0.213
01.12.2021 19:35:11,-56.598,614.990,613.006,374.114,678.802,-45.859,0.255
01.12.2021 19:35:12,-56.505,616.668,615.112,374.816,679.473,-45.795,0.200
01.12.2021 19:35:13,-56.392,619.049,617.401,376.037,681.304,-45.754,0.211
01.12.2021 19:35:14,-56.297,619.567,617.614,376.159,682.250,-45.831,0.250
01.12.2021 19:35:15,-56.191,622.589,620.697,377.838,684.387,-45.735,0.241
01.12.2021 19:35:16,-56.106,624.755,622.680,378.814,686.706,-45.793,0.263
01.12.2021 19:35:17,-55.993,626.068,624.450,379.486,686.920,-45.687,0.204
01.12.2021 19:35:18,-55.892,628.814,627.349,381.072,690.368,-45.748,0.184
01.12.2021 19:35:19,-55.799,629.882,628.540,381.927,690.765,-45.627,0.169
01.12.2021 19:35:20,-55.701,632.019,630.279,382.812,692.596,-45.651,0.218
01.12.2021 19:35:21,-55.593,634.460,632.354,383.636,695.129,-45.760,0.263
01.12.2021 19:35:22,-55.503,637.207,634.307,384.704,696.411,-45.692,0.361
01.12.2021 19:35:23,-55.402,639.312,637.268,385.681,698.822,-45.759,0.253
01.12.2021 19:35:24,-55.294,641.052,639.404,386.291,699.798,-45.745,0.203
01.12.2021 19:35:25,-55.194,643.524,640.930,387.573,700.927,-45.622,0.320
01.12.2021 19:35:26,-55.106,645.202,643.127,387.908,703.369,-45.812,0.255
01.12.2021 19:35:27,-55.008,647.186,645.019,389.160,704.895,-45.735,0.265
01.12.2021 19:35:28,-54.897,648.132,646.026,389.678,705.902,-45.742,0.257
01.12.2021 19:35:29,-54.807,651.458,648.345,390.838,707.550,-45.696,0.379
01.12.2021 19:35:30,-54.699,653.381,650.787,391.906,709.564,-45.704,0.315
