# Sensor: ADPD2140, Rotationstage: ELL18M
Datetime,Stage Angle,xL,xR,yL,yR,X,Y
17.11.2021 19:55:34,-59.993,319.274,606.048,556.610,557.861,-0.177,-49.115
17.11.2021 19:55:35,-59.908,320.648,607.971,558.227,559.875,-0.233,-49.034
17.11.2021 19:55:36,-59.807,321.380,610.015,559.478,561.279,-0.254,-49.111
17.11.2021 19:55:37,-59.707,322.570,610.778,560.791,562.896,-0.296,-48.936
17.11.2021 19:55:38,-59.599,323.455,613.128,562.835,564.086,-0.175,-49.015
17.11.2021 19:55:39,-59.503,324.462,614.501,563.720,565.948,-0.312,-48.952
17.11.2021 19:55:40,-59.408,325.775,615.814,565.216,566.925,-0.239,-48.816
17.11.2021 19:55:41,-59.289,326.507,617.736,566.833,568.084,-0.174,-48.878
17.11.2021 19:55:42,-59.207,327.728,619.140,568.298,570.007,-0.237,-48.774
17.11.2021 19:55:43,-59.093,328.613,620.849,569.396,571.411,-0.279,-48.778
17.11.2021 19:55:44,-59.003,329.864,621.978,570.831,572.967,-0.295,-48.636
17.11.2021 19:55:45,-58.903,330.841,623.992,572.479,573.944,-0.202,-48.655
17.11.2021 19:55:46,-58.792,331.909,625.488,573.852,575.897,-0.281,-48.596
17.11.2021 19:55:47,-58.707,333.312,626.770,575.531,577.178,-0.226,-48.440
17.11.2021 19:55:48,-58.609,334.197,628.631,576.873,578.521,-0.226,-48.462
17.11.2021 19:55:49,-58.498,334.716,630.126,577.972,580.017,-0.279,-48.522
17.11.2021 19:55:50,-58.403,336.151,631.195,579.650,581.054,-0.191,-48.336
17.11.2021 19:55:51,-58.292,336.456,632.904,580.871,582.550,-0.228,-48.465
17.11.2021 19:55:52,-58.202,338.134,635.223,582.183,584.014,-0.248,-48.370
17.11.2021 19:55:53,-58.109,338.714,636.199,583.709,585.266,-0.211,-48.358
17.11.2021 19:55:54,-58.008,340.515,638.488,585.021,587.249,-0.301,-48.235
17.11.2021 19:55:55,-57.892,341.094,639.678,586.608,588.134,-0.205,-48.246
17.11.2021 19:55:56,-57.794,341.827,640.960,587.493,589.324,-0.246,-48.236
17.11.2021 19:55:57,-57.707,343.353,642.639,589.660,591.186,-0.204,-48.104
17.11.2021 19:55:58,-57.606,344.055,644.195,590.667,592.529,-0.249,-48.131
17.11.2021 19:55:59,-57.506,345.245,645.294,591.827,594.268,-0.326,-48.005
17.11.2021 19:56:00,-57.403,346.221,647.186,593.841,595.367,-0.203,-48.012
17.11.2021 19:56:01,-57.292,347.106,648.681,594.635,596.588,-0.259,-47.995
17.11.2021 19:56:02,-57.194,347.930,649.932,596.282,598.114,-0.242,-47.963
17.11.2021 19:56:03,-57.109,349.060,652.496,597.747,599.578,-0.242,-48.013
17.11.2021 19:56:04,-57.001,350.006,653.289,599.548,601.196,-0.217,-47.906
17.11.2021 19:56:05,-56.898,350.708,655.029,600.311,602.264,-0.257,-47.953
17.11.2021 19:56:06,-56.802,351.745,656.188,601.440,603.088,-0.216,-47.867
17.11.2021 19:56:07,-56.704,352.630,657.653,603.424,604.736,-0.172,-47.847
17.11.2021 19:56:08,-56.599,353.454,658.905,604.095,606.170,-0.271,-47.816
17.11.2021 19:56:09,-56.503,354.370,659.790,605.285,607.116,-0.239,-47.726
17.11.2021 19:56:10,-56.395,355.285,661.743,606.506,608.306,-0.234,-47.753
17.11.2021 19:56:11,-56.307,356.018,662.719,607.910,609.588,-0.218,-47.711
17.11.2021 19:56:12,-56.202,356.567,664.367,609.222,611.114,-0.245,-47.779
17.11.2021 19:56:13,-56.109,357.879,665.679,610.931,612.976,-0.264,-47.656
17.11.2021 19:56:14,-56.003,358.734,667.327,612.396,614.501,-0.271,-47.663
17.11.2021 19:56:15,-55.905,359.832,669.097,613.677,615.966,-0.294,-47.633
17.11.2021 19:56:16,-55.805,360.565,670.074,614.898,616.607,-0.219,-47.592
17.11.2021 19:56:17,-55.704,361.083,671.508,616.058,617.797,-0.223,-47.642
17.11.2021 19:56:18,-55.611,362.304,672.912,617.767,620.086,-0.296,-47.550
17.11.2021 19:56:19,-55.498,363.311,674.407,619.354,621.063,-0.218,-47.510
17.11.2021 19:56:20,-55.403,363.616,675.933,620.239,622.283,-0.260,-47.612
17.11.2021 19:56:21,-55.292,365.081,677.490,621.978,623.687,-0.217,-47.488
17.11.2021 19:56:22,-55.202,365.722,679.138,623.626,625.701,-0.263,-47.537
17.11.2021 19:56:23,-55.099,366.882,679.901,625.152,626.525,-0.173,-47.389
17.11.2021 19:56:24,-54.993,367.767,681.915,626.373,628.387,-0.254,-47.429
17.11.2021 19:56:25,-54.903,368.682,682.983,627.502,629.394,-0.238,-47.362
17.11.2021 19:56:26,-54.802,369.659,684.020,629.119,630.645,-0.191,-47.281
17.11.2021 19:56:27,-54.696,370.269,686.004,630.645,632.415,-0.222,-47.371
17.11.2021 19:56:28,-54.601,371.185,687.316,632.080,634.155,-0.259,-47.331
17.11.2021 19:56:29,-54.493,371.948,688.415,633.056,635.192,-0.266,-47.298
17.11.2021 19:56:30,-54.392,372.985,690.063,635.101,637.054,-0.243,-47.269
17.11.2021 19:56:31,-54.300,373.931,691.741,636.413,638.031,-0.201,-47.262
17.11.2021 19:56:33,-54.194,374.633,693.450,637.878,640.258,-0.295,-47.304
17.11.2021 19:56:34,-54.109,375.885,694.824,639.587,641.296,-0.211,-47.207
17.11.2021 19:56:35,-53.995,376.403,696.319,640.960,642.913,-0.241,-47.262
