sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1720437127263,8
1720437129435,8
1720437131894,8
1720437135979,8
1720437143416,8
1720437145553,8
1720437151754,8
1720437154297,8
1720437155781,8
1720437157965,8
1720437159254,8
1720437161532,8
1720437163943,8
1720437165453,8
1720437167693,8
1720437169512,8
1720437171654,8
1720437174155,8
1720437176056,8
1720437178343,8
1720437179720,8
1720437181769,8
1720437184016,8
1720437185535,8
1720437187723,8
1720437191961,8
1720437193633,8
1720437196080,8
1720437198059,8
1720437199757,8
1720437355748,5
1720437357262,5
1720437359951,5
1720437361513,5
1720437363659,5
1720437365656,5
1720437367227,5
1720437369278,5
1720437371645,5
1720437373884,5
1720437375359,5
1720437377725,5
1720437381688,5
1720437383929,5
1720437385168,5
1720437387412,5
1720437389823,5
1720437391380,5
1720437393530,5
1720437395181,5
1720437397669,5
1720437400140,5
1720437401841,5
1720437403651,5
1720437405301,5
1720437407658,5
1720437409355,5
1720437411479,5
1720437413126,5
1720437415614,5
1720437417949,5
1720437419556,5
1720437421655,5
1720437423938,5
1720437425562,5
1720437427643,5
1720437429229,5
1720437431652,5
1720437434151,5
1720437435797,5
1720437437375,5
1720437439846,8
1720437441690,8
1720437443292,8
1720437445779,8
1720437448105,8
1720437449620,8
1720437451727,8
1720437453641,8
1720437455796,8
1720437459427,8
1720437461635,8
1720437463177,8
1720437465803,8
1720437468050,8
1720437469748,8
1720437471989,8
1720437474189,8
1720437475736,8
1720437477656,8
1720437479261,8
1720437481662,8
1720437483948,8
1720437485458,8
1720437487650,8
1720437489262,8
1720437491643,8
1720437494170,8
1720437495815,4
1720437497691,4
1720437499341,4
1720437501479,4
1720437503124,4
1720437505397,4
1720437507685,4
1720437509476,4
1720437512133,4
1720437514469,4
1720437515614,4
1720437517766,4
1720437519473,4
1720437521597,4
1720437523374,4
1720437525558,4
1720437529954,4
1720437532209,4
1720437533636,4
1720437535595,4
1720437537297,4
1720437539347,4
1720437541844,4
1720437543462,4
1720437545635,4
1720437547427,4
1720437550119,4
1720437552364,4
1720437553716,4
1720437555713,4
1720437557996,4
1720437559512,4
1720437561746,4
1720437563258,4
1720437565962,4
1720437569774,4
1720437571043,4
1720437573420,4
1720437575616,4
1720437577770,5
1720437579348,5
1720437581431,5
1720437584070,5
1720437585632,5
1720437587986,5
1720437589373,5
1720437591512,5
1720437593513,5
1720437596205,5
1720437597767,5
1720437599997,5
1720437601533,5
1720437603983,5
1720437605515,5
1720437607764,5
1720437608983,5
1720437611436,5
1720437613565,5
1720437615808,5
1720437617319,5
1720437619682,5
1720437623669,5
1720437626204,5
1720437627445,5
1720437629591,5
1720437631371,5
1720437633595,5
1720437635248,5
1720437637381,5
1720437640036,5
1720437643731,5
1720437645067,5
1720437647348,5
1720437649668,4
1720437651315,4
1720437653630,8
1720437655864,8
1720437657521,8
1720437659895,8
1720437661451,8
1720437664135,8
1720437665950,8
1720437668231,8
1720437669745,8
1720437671892,8
1720437673437,8
1720437675638,8
1720437677564,8
1720437679913,8
1720437682113,8
1720437683452,8
1720437685636,8
1720437687230,8
1720437689768,8
1720437692013,8
1720437693665,8
1720437696007,8
1720437697587,8
1720437699709,8
1720437701069,8
1720437703347,8
1720437705537,4
1720437707233,5
1720437709672,5
1720437711913,5
1720437714154,5
1720437716024,5
1720437718183,5
1720437721562,5
1720437723257,5
1720437725317,5
1720437727677,5
1720437729960,5
1720437731474,5
1720437733968,5
1720437735443,5
1720437738107,5
1720437740084,5
1720437741798,5
1720437743746,5
1720437745442,5
1720437747598,5
1720437749141,5
1720437751564,5
1720437754098,5
1720437756381,5
1720437757583,5
1720437759772,5
1720437761373,5
1720437763688,5
1720437765352,5
1720437767394,5
1720437769809,5
1720437771772,5
1720437773923,5
1720437777650,5
1720437779802,5
1720437781494,5
1720437783586,5
1720437785660,5
1720437787271,5
1720437789966,5
1720437792180,5
1720437794407,5
1720437795699,5
1720437797344,5
1720437799475,5
1720437801107,5
1720437804054,5
1720437805754,5
1720437808031,5
1720437811802,5
1720437813161,5
1720437815641,3
1720437817848,3
1720437820080,3
1720437821781,3
1720437823708,3
1720437825937,3
1720437827764,3
1720437829983,3
1720437831736,3
1720437833689,3
1720437835355,3
1720437837444,3
1720437839552,3
1720437841371,3
1720437843600,3
1720437846146,3
1720437847750,3
1720437850189,3
1720437851532,3
1720437853679,3
1720437855265,3
1720437857461,3
1720437859710,3
1720437861290,3
1720437863793,3
1720437865742,3
1720437867974,3
1720437869248,3
1720437871436,3
1720437873620,3
1720437875226,3
1720437877674,3
1720437879955,3
1720437881469,3
1720437883975,3
1720437885450,3
1720437888102,3
1720437889950,3
1720437892104,3
1720437893717,3
1720437895823,3
1720437897424,5
1720437899649,5
1720437901391,5
1720437903921,5
1720437905939,5
1720437907782,5
1720437909937,5
1720437911493,5
1720437913514,5
1720437915667,5
1720437917227,5
1720437920045,5
1720437922371,5
1720437923962,8
1720437925834,4
1720437927456,4
1720437929539,4
1720437931776,8
1720437933325,8
1720437935439,8
1720437937806,8
1720437939595,8
1720437941934,8
1720437943567,8
1720437945835,8
1720437948148,8
1720437949706,8
1720437951934,8
1720437953499,8
1720437955601,8
1720437957529,8
1720437960096,8
1720437962336,8
1720437963710,8
1720437965720,8
1720437967339,8
1720437969505,8
1720437971128,8
1720437973335,8
1720437975972,8
1720437978170,4
1720437979772,4
1720437982003,4
1720437983343,4
1720437985798,4
1720437987615,4
1720437989627,4
1720437991140,4
1720437993342,4
1720437996105,4
1720437998329,4
1720438000009,4
1720438001296,4
1720438003329,4
1720438005829,4
1720438007415,4
1720438009530,4
1720438011188,4
1720438013659,4
1720438016088,4
1720438018275,4
1720438019567,4
1720438021173,4
1720438023663,4
1720438025850,4
1720438028097,4
1720438029752,4
1720438031860,4
1720438034106,4
1720438035619,4
1720438037489,4
1720438039201,4
1720438041410,4
1720438043016,4
1720438045340,4
1720438047528,4
1720438049171,4
1720438052019,4
1720438054269,4
1720438056492,4
1720438057613,4
1720438059818,4
1720438061542,4
1720438063467,4
1720438065707,4
1720438067269,4
1720438070159,4
1720438072320,4
1720438074014,4
1720438075866,4
1720438077472,4
1720438079574,4
1720438081449,4
1720438083623,4
1720438085197,4
1720438087578,4
1720438089887,4
1720438091631,4
1720438094116,4
1720438095994,4
1720438097698,4
1720438099744,4
1720438101974,4
1720438103528,4
1720438105724,4
1720438107561,4
1720438110035,4
1720438112253,4
1720438113613,4
1720438115588,4
1720438117699,4
1720438119299,4
1720438121441,4
1720438123095,4
1720438126678,4
1720438128203,4
1720438131186,4
1720438132240,4
1720438133916,4
1720438135513,4
1720438137640,4
1720438139320,4
1720438141693,4
1720438143888,4
1720438145735,4
1720438147925,4
1720438149750,4
1720438151855,4
1720438154142,4
1720438155804,4
1720438157976,4
1720438159534,5
1720438161638,5
1720438163646,5
1720438165970,5
1720438168234,5
1720438169520,5
1720438171110,5
1720438173266,5
1720438175678,5
1720438177836,5
1720438179516,5
1720438181776,5
1720438183876,5
1720438185624,5
1720438187485,5
1720438189133,5
1720438191454,5
1720438193556,5
1720438195170,5
1720438197433,5
1720438199547,5
1720438201960,5
1720438203911,5
1720438205874,3
1720438208040,3
1720438209712,3
1720438211737,3
1720438213421,3
1720438215476,3
1720438217681,3
1720438219605,3
1720438221861,3
1720438223613,3
1720438225911,3
1720438228189,3
1720438229842,3
1720438231981,3
1720438233559,3
1720438235685,3
1720438239669,3
1720438242081,3
1720438243318,3
1720438245510,3
1720438247494,3
1720438249386,3
1720438269468,3
1720438270996,3
1720438272399,3
1720438274082,3
1720438275657,3
1720438277209,3
1720438278112,3
1720438279402,3
1720438281091,3
1720438282720,3
1720438284089,3
1720438285517,3
1720438287200,3
1720438288563,3
1720438289993,3
1720438290931,3
1720438292348,3
1720438293643,3
