sep=,
"Time","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean"
1720437126000,0,0,0
1720437128000,0,0,0
1720437130000,0,0,0
1720437132000,,,
1720437134000,0,0,0
1720437136000,,,
1720437138000,,,
1720437140000,,,
1720437142000,0,0,0
1720437144000,0,0,0
1720437146000,,,
1720437148000,,,
1720437150000,0,0,0
1720437152000,,,
1720437154000,0,0,0
1720437156000,0,0,0
1720437158000,0,0,0
1720437160000,0,0,0
1720437162000,0,0,0
1720437164000,0,0,0
1720437166000,0,0,0
1720437168000,0,0,0
1720437170000,0,0,0
1720437172000,,,
1720437174000,0,0,0
1720437176000,0,0,0
1720437178000,0,0,0
1720437180000,0,0,0
1720437182000,,,
1720437184000,0,0,0
1720437186000,0,0,0
1720437188000,,,
1720437190000,0,0,0
1720437192000,0,0,0
1720437194000,,,
1720437196000,0,0,0
1720437198000,0,0,0
1720437200000,,,
1720437202000,,,
1720437204000,,,
1720437206000,,,
1720437208000,,,
1720437210000,,,
1720437212000,,,
1720437214000,,,
1720437216000,,,
1720437218000,,,
1720437220000,,,
1720437222000,,,
1720437224000,,,
1720437226000,,,
1720437228000,,,
1720437230000,,,
1720437232000,,,
1720437234000,,,
1720437236000,,,
1720437238000,,,
1720437240000,,,
1720437242000,,,
1720437244000,,,
1720437246000,,,
1720437248000,,,
1720437250000,,,
1720437252000,,,
1720437254000,,,
1720437256000,,,
1720437258000,,,
1720437260000,,,
1720437262000,,,
1720437264000,,,
1720437266000,,,
1720437268000,,,
1720437270000,,,
1720437272000,,,
1720437274000,,,
1720437276000,,,
1720437278000,,,
1720437280000,,,
1720437282000,,,
1720437284000,,,
1720437286000,,,
1720437288000,,,
1720437290000,,,
1720437292000,,,
1720437294000,,,
1720437296000,,,
1720437298000,,,
1720437300000,,,
1720437302000,,,
1720437304000,,,
1720437306000,,,
1720437308000,,,
1720437310000,,,
1720437312000,,,
1720437314000,,,
1720437316000,,,
1720437318000,,,
1720437320000,,,
1720437322000,,,
1720437324000,,,
1720437326000,,,
1720437328000,,,
1720437330000,,,
1720437332000,,,
1720437334000,,,
1720437336000,,,
1720437338000,,,
1720437340000,,,
1720437342000,,,
1720437344000,,,
1720437346000,,,
1720437348000,,,
1720437350000,,,
1720437352000,,,
1720437354000,-0.006314,0.07328,0.997292
1720437356000,-0.005948,0.071773,0.997403
1720437358000,-0.004997,0.07078,0.997479
1720437360000,-0.006298,0.071786,0.9974
1720437362000,-0.007417,0.071935,0.997382
1720437364000,-0.006104,0.07221,0.997371
1720437366000,-0.006602,0.071976,0.997384
1720437368000,-0.005946,0.071953,0.99739
1720437370000,-0.006554,0.073912,0.997243
1720437372000,-0.007125,0.07161,0.997407
1720437374000,-0.007015,0.071692,0.997402
1720437376000,-0.007731,0.072393,0.997346
1720437378000,,,
1720437380000,-0.008684,0.072781,0.99731
1720437382000,-0.008124,0.072949,0.997303
1720437384000,-0.008222,0.072965,0.997301
1720437386000,-0.008331,0.058828,0.998233
1720437388000,-0.007304,0.011202,0.999911
1720437390000,-0.006467,0.009841,0.999931
1720437392000,-0.007086,0.009434,0.99993
1720437394000,-0.008066,-0.049014,0.998766
1720437396000,-0.010828,-0.103999,0.994518
1720437398000,,,
1720437400000,-0.0118365,-0.193538,0.9808385
1720437402000,-0.009821,-0.244062,0.96971
1720437404000,-0.008716,-0.287969,0.9576
1720437406000,-0.008311,-0.289997,0.956992
1720437408000,-0.005782,-0.317756,0.948155
1720437410000,-0.004349,-0.324636,0.945829
1720437412000,-0.005016,-0.323857,0.946093
1720437414000,-0.003685,-0.324647,0.945828
1720437416000,-0.002742,-0.325291,0.94561
1720437418000,-0.003128,-0.325474,0.945546
1720437420000,-0.003121,-0.326085,0.945335
1720437422000,-0.003626,-0.325422,0.945562
1720437424000,-0.002011,-0.326267,0.945276
1720437426000,-0.002946,-0.325374,0.945581
1720437428000,-0.003652,-0.325835,0.945419
1720437430000,-0.004129,-0.325007,0.945703
1720437432000,,,
1720437434000,-0.004235,-0.32401650000000004,0.946042
1720437436000,-0.002397,-0.396071,0.918217
1720437438000,0,0,0
1720437440000,0,0,0
1720437442000,0,0,0
1720437444000,0,0,0
1720437446000,,,
1720437448000,0,0,0
1720437450000,0,0,0
1720437452000,0,0,0
1720437454000,0,0,0
1720437456000,,,
1720437458000,0,0,0
1720437460000,0,0,0
1720437462000,0,0,0
1720437464000,0,0,0
1720437466000,,,
1720437468000,0,0,0
1720437470000,0,0,0
1720437472000,,,
1720437474000,0,0,0
1720437476000,0,0,0
1720437478000,0,0,0
1720437480000,0,0,0
1720437482000,0,0,0
1720437484000,0,0,0
1720437486000,0,0,0
1720437488000,0,0,0
1720437490000,0,0,0
1720437492000,,,
1720437494000,-0.0128375,-0.416523,0.276304
1720437496000,-0.026589,-0.832807,0.552925
1720437498000,-0.025487,-0.833331,0.552186
1720437500000,-0.025722,-0.833079,0.552556
1720437502000,-0.026245,-0.833144,0.552433
1720437504000,-0.025666,-0.833827,0.551429
1720437506000,-0.026579,-0.833896,0.551281
1720437508000,-0.025591,-0.833455,0.551994
1720437510000,,,
1720437512000,-0.025725,-0.834112,0.550995
1720437514000,-0.025724,-0.8341175000000001,0.5509865
1720437516000,-0.023831,-0.835246,0.54936
1720437518000,-0.021691,-0.836769,0.547126
1720437520000,-0.021994,-0.83685,0.54699
1720437522000,-0.024137,-0.83636,0.547649
1720437524000,-0.023718,-0.835155,0.549504
1720437526000,,,
1720437528000,-0.025493,-0.835069,0.549554
1720437530000,,,
1720437532000,-0.026410000000000003,-0.8339245,0.5512455
1720437534000,-0.026,-0.833811,0.551438
1720437536000,-0.025516,-0.83329,0.552247
1720437538000,-0.026036,-0.83382,0.551423
1720437540000,-0.026398,-0.833541,0.551827
1720437542000,-0.026525,-0.832963,0.552693
1720437544000,-0.026735,-0.833609,0.551707
1720437546000,-0.026293,-0.832789,0.552965
1720437548000,,,
1720437550000,-0.024491,-0.833,0.55273
1720437552000,-0.025932999999999998,-0.8335855,0.5517810000000001
1720437554000,-0.02476,-0.834157,0.550971
