sep=,
"Time","adcs_Raw_Gyro_Mag_Values.gyro_lsm_rates_raw_sat_x","adcs_Raw_Gyro_Mag_Values.gyro_lsm_rates_raw_sat_y","adcs_Raw_Gyro_Mag_Values.gyro_lsm_rates_raw_sat_z"
1720439903730,-0.07338,-0.001724,-0.011855
1720439904679,-0.073437,-0.001171,-0.011613
1720439905886,-0.073475,-0.001399,-0.012089
1720439908855,-0.072491,-0.001069,-0.012682
1720439910058,-0.072241,-0.000788,-0.012669
1720439911094,-0.073132,-0.001158,-0.013108
1720439912084,-0.071528,-0.000757,-0.014044
1720439913338,-0.071618,-0.0011,-0.013256
1720439914929,-0.070822,-0.000967,-0.013554
1720439915874,-0.071414,-0.001196,-0.013433
1720439916926,-0.072278,-0.000983,-0.013665
1720439918171,-0.071668,-0.000942,-0.013426
1720439919835,-0.071881,-0.001301,-0.01281
1720439920954,-0.072992,-0.000929,-0.012949
1720439923796,-0.072485,-0.000739,-0.012474
1720439924915,-0.072814,-0.001432,-0.011594
1720439928580,-0.073024,0.029309,-0.010811
1720439930000,-0.069333,0.009246,-0.011104
1720439930826,-0.073823,-0.001228,-0.011203
1720439932322,-0.073431,-0.00154,-0.011626
1720439933488,-0.071974,-0.000891,-0.012459
1720439936114,-0.06974,0.179575,-0.001572
1720439937061,-0.070389,0.099387,-0.006255
1720439938312,-0.071624,0.141161,-0.003843
1720439939949,-0.069047,0.161695,-0.003474
1720439941022,-0.070873,0.064351,-0.008597
1720439942130,-0.070366,0.184579,-0.001167
1720439944985,-0.072699,-0.000286,-0.013013
1720439945885,-0.070897,0.055882,-0.009939
1720439947269,-0.070275,0.187739,-0.003831
1720439948484,-0.071675,0.076581,-0.009806
1720439950027,-0.072356,0.017454,-0.012561
1720439951017,-0.071077,0.083027,-0.008546
1720439952048,-0.071306,0.04131,-0.011893
1720439953324,-0.071294,0.026951,-0.01212
1720439954846,-0.071707,0.028036,-0.010627
1720439955840,-0.071707,0.035475,-0.011918
1720439957079,-0.069999,0.127329,-0.005027
1720439958683,-0.07121,0.099845,-0.006802
1720439959842,-0.07163,0.080048,-0.007434
1720439962860,-0.070803,0.15264,-0.003271
1720439964024,-0.070732,0.10546,-0.006536
1720439965100,-0.070568,0.080889,-0.008679
1720439966045,-0.07135,0.048996,-0.011212
1720439967209,-0.071249,0.084688,-0.008418
1720439968933,-0.071853,0.06038,-0.008374
1720439969882,-0.07261,0.062735,-0.00817
1720439971023,-0.071984,0.077922,-0.008002
1720439973670,-0.071777,0.075219,-0.008094
1720439974578,-0.071459,0.081862,-0.007844
1720439975909,-0.072986,0.019274,-0.01188
1720439978756,-0.071166,0.064776,-0.009682
1720439979918,-0.070988,0.082416,-0.00852
1720439981078,-0.072814,0.052738,-0.008864
1720439982544,-0.072706,0.05347,-0.009787
1720439983580,-0.072044,0.081843,-0.007171
1720439984955,-0.071808,0.093672,-0.006872
1720439985894,-0.071764,0.085087,-0.008619
1720439987284,-0.073768,0.009201,-0.011505
1720439988361,-0.072648,-0.001852,-0.011867
1720439989559,-0.071439,-0.001616,-0.010938
1720439991116,-0.071808,0.075321,-0.008348
1720439992105,-0.072203,0.043906,-0.011619
1720439993312,-0.072846,0.000861,-0.012541
1720439995895,-0.07023,0.055729,-0.010932
1720439997058,-0.071202,0.029499,-0.012095
1720439999643,-0.071128,0.04439,-0.010105
1720440000551,-0.071673,0.037947,-0.011631
1720440001822,-0.072922,0.037524,-0.01111
1720440003480,-0.072009,0.057794,-0.008693
1720440004640,-0.071758,0.065204,-0.008482
1720440005676,-0.071815,0.042506,-0.010035
1720440006792,-0.070905,0.066387,-0.009118
1720440009596,-0.070943,0.083205,-0.008158
1720440010545,-0.072638,0.05692,-0.009658
1720440011735,-0.07037,0.083313,-0.008991
1720440016098,-0.072356,0.054494,-0.009596
1720440017221,-0.071783,0.047991,-0.01062
1720440018307,-0.072782,0.037136,-0.010557
1720440019802,-0.070899,0.041259,-0.010747
1720440020622,-0.07079,0.071535,-0.008259
1720440021926,-0.073371,0.050201,-0.009352
1720440023508,-0.072489,0.030683,-0.010315
1720440024629,-0.072133,0.026681,-0.010537
1720440025836,-0.071648,0.018033,-0.011881
1720440026828,-0.071999,0.024078,-0.010989
1720440028074,-0.071828,0.087347,-0.00873
1720440029626,-0.073049,0.001044,-0.012402
1720440030572,-0.071923,0.045796,-0.010493
1720440031953,-0.07149,0.083269,-0.008069
1720440035703,-0.07233,0.143999,-0.004651
1720440037077,-0.069639,0.169454,-0.001368
1720440038632,-0.070218,0.125775,-0.004053
1720440039705,-0.072302,0.067556,-0.00865
1720440040697,-0.071856,0.084721,-0.006445
1720440041784,-0.07212,0.076734,-0.007731
1720440044704,-0.071465,0.077898,-0.008578
1720440045868,-0.071319,0.077993,-0.00789
1720440046858,-0.071509,0.079279,-0.007292
1720440047890,-0.07229,0.092375,-0.005828
