sep=,
"Time","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_z","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_z"
1720439903730,-14.44473,-31.699348,-6.51871,-16.989727,-19.838139,-6.443927
1720439904679,-14.449463,-31.692902,-6.52301,-16.993504,-19.832275,-6.447934
1720439905886,-14.447743,-31.694622,-6.522579,-16.992121,-19.833838,-6.447542
1720439908855,-14.445593,-31.69935,-6.524301,-16.990326,-19.838081,-6.449148
1720439910058,-14.434838,-31.702793,-6.518708,-16.981781,-19.84132,-6.444056
1720439911094,-14.441717,-31.702366,-6.52129,-16.987246,-19.840849,-6.446365
1720439912084,-14.439998,-31.708387,-6.523011,-16.985786,-19.846249,-6.447951
1720439913338,-14.441718,-31.696774,-6.524301,-16.987251,-19.835808,-6.449233
1720439914929,-14.436987,-31.704947,-6.524731,-16.983381,-19.843176,-6.44964
1720439915874,-14.443009,-31.703655,-6.521289,-16.98827,-19.841993,-6.446332
1720439916926,-14.439999,-31.694193,-6.528602,-16.985828,-19.833471,-6.45331
1720439918171,-14.44473,-31.692038,-6.517849,-16.989809,-19.831589,-6.443187
1720439919835,-14.454624,-31.704939,-6.527312,-16.997454,-19.842981,-6.451771
1720439920954,-14.456344,-31.707525,-6.517419,-16.998964,-19.845373,-6.442459
1720439923796,-14.451183,-31.702364,-6.51828,-16.994867,-19.840784,-6.443394
1720439924915,-14.471826,-31.674839,-6.506237,-17.011837,-19.816017,-6.432028
1720439928580,-14.452472,-31.670105,-6.560859,-16.995512,-19.811472,-6.483519
1720439930000,-14.562151,-31.698921,-6.063226,-17.091059,-19.840675,-6.015619
1720439930826,-14.547526,-31.729889,-6.031398,-17.079584,-19.868862,-5.985786
1720439932322,-14.547096,-31.733761,-6.033119,-17.079178,-19.872322,-5.98737
1720439933488,-14.550965,-31.719997,-6.017634,-17.082651,-19.860081,-5.972932
1720439936114,-14.964727,-32.159561,-1.04258,-17.490179,-20.29425,-1.304854
1720439937061,-14.872258,-32.285164,0.218495,-17.435442,-20.418865,-0.124662
1720439938312,-14.647312,-32.443008,1.696344,-17.277914,-20.575541,1.256607
1720439939949,-13.182796,-32.916988,6.220645,-16.174952,-21.054152,5.472588
1720439941022,-12.534625,-33.044735,7.432688,-15.674766,-21.185452,6.597897
1720439942130,-11.63226,-33.188389,8.871827,-14.97472,-21.335396,7.931829
1720439944985,-11.035269,-33.233547,9.707097,-14.510154,-21.388834,8.704514
1720439945885,-10.952259,-33.232258,9.796559,-14.445196,-21.389244,8.78691
1720439947269,-9.955697,-33.296776,10.939785,-13.665728,-21.466494,9.841595
1720439948484,-8.778923,-33.281292,12.04043,-12.742125,-21.473314,10.852792
1720439950027,-6.8357,-33.131184,13.471828,-11.211876,-21.369493,12.160031
1720439951017,-5.904946,-33.000858,14.024948,-10.477327,-21.266207,12.661622
1720439952048,-5.067957,-32.872257,14.429245,-9.815376,-21.162275,13.025424
1720439953324,-4.927742,-32.843006,14.495053,-9.704524,-21.137936,13.084502
1720439954846,-3.539784,-32.59742,15.008602,-8.604589,-20.935217,13.540628
1720439955840,-3.03957,-32.49892,15.13763,-8.207361,-20.852701,13.652452
1720439957079,-2.08043,-32.316555,15.378496,-7.445529,-20.70026,13.860801
1720439958683,0.097204,-31.938066,15.616773,-5.710533,-20.383316,14.045262
1720439959842,1.456774,-31.698921,15.60344,-4.624717,-20.181461,14.008654
1720439962860,6.993979,-30.944511,14.203872,-0.178612,-19.54438,12.602088
1720439964024,8.492473,-30.813765,13.427096,1.031738,-19.434294,11.849472
1720439965100,10.226235,-30.680428,12.273977,2.436405,-19.320766,10.740701
1720439966045,11.519139,-30.612043,11.214623,3.487415,-19.262184,9.727422
1720439967209,12.16645,-30.583221,10.60129,4.015012,-19.236982,9.1425
1720439968933,14.233117,-30.542793,8.218064,5.706837,-19.199032,6.877565
1720439969882,14.898926,-30.535482,7.253334,6.255127,-19.190189,5.963565
1720439971023,15.769032,-30.563444,5.826238,6.9747,-19.210812,4.613714
1720439973670,17.735914,-30.692902,0.950537,8.628638,-19.30229,0.018512
1720439974578,18.218925,-30.771608,-1.289892,9.052131,-19.357624,-2.086042
1720439975909,18.376774,-30.824516,-2.532903,9.199056,-19.395582,-3.251802
1720439978756,18.390966,-30.998276,-6.44258,9.275355,-19.517054,-6.910627
1720439979918,18.178495,-31.06193,-8.041291,9.131837,-19.558048,-8.403292
1720439981078,17.9286,-31.114408,-9.203871,8.951208,-19.59252,-9.487155
1720439982544,17.143223,-31.197845,-11.606883,8.362499,-19.638809,-11.72333
1720439983580,16.508888,-31.229336,-13.024446,7.878201,-19.648619,-13.039861
1720439984955,15.497634,-31.257633,-14.736343,7.097054,-19.649446,-14.625862
1720439985894,14.510108,-31.280861,-16.055483,6.328485,-19.649412,-15.844604
1720439987284,13.749675,-31.282148,-16.88516,5.733487,-19.636141,-16.608997
1720439988361,13.66581,-31.291183,-16.978064,5.667974,-19.642639,-16.694532
1720439989559,13.650755,-31.289467,-16.984089,5.656009,-19.640907,-16.699944
1720439991116,11.958709,-31.23914,-18.455051,4.325502,-19.566992,-18.050056
1720439992105,10.863654,-31.211184,-19.184515,3.460867,-19.525253,-18.715471
1720439993312,9.979784,-31.178493,-19.659353,2.76104,-19.483492,-19.145975
1720439995895,7.053763,-31.018499,-20.766018,0.436267,-19.302914,-20.136024
1720439997058,6.419784,-30.978062,-20.91011,-0.069044,-19.259457,-20.261009
1720439999643,4.617634,-30.870102,-21.147959,-1.508157,-19.143705,-20.455442
1720440000551,3.945806,-30.827095,-21.189245,-2.045442,-19.098497,-20.483591
1720440001822,3.253333,-30.789249,-21.197418,-2.599732,-19.058016,-20.480362
1720440003480,2.027957,-30.727741,-21.138063,-3.58173,-18.991932,-20.405493
1720440004640,1.056344,-30.680428,-21.023226,-4.36145,-18.941435,-20.282667
1720440005676,0.209032,-30.646019,-20.884727,-5.041975,-18.903881,-20.139589
1720440006792,-0.747957,-30.619783,-20.667953,-5.811449,-18.87332,-19.921385
1720440009596,-4.028388,-30.623652,-19.475698,-8.455496,-18.85664,-18.752068
1720440010545,-5.073118,-30.643871,-18.938492,-9.299929,-18.869747,-18.232052
1720440011735,-5.909677,-30.672688,-18.440859,-9.977077,-18.892157,-17.75238
1720440016098,-10.117847,-31.006021,-14.826237,-13.39959,-19.183603,-14.297383
1720440017221,-10.732903,-31.071396,-14.086881,-13.903079,-19.242996,-13.594683
1720440018307,-11.276128,-31.132902,-13.369892,-14.348766,-19.299395,-12.914118
1720440019802,-11.667524,-31.190962,-12.7957,-14.670691,-19.352863,-12.369725
1720440020622,-12.230965,-31.269676,-11.872258,-15.135737,-19.426327,-11.495407
1720440021926,-12.898065,-31.375912,-10.64172,-15.68844,-19.526205,-10.331671
1720440023508,-13.505807,-31.49333,-9.28172,-16.195644,-19.637808,-9.047602
1720440024629,-13.715269,-31.521717,-8.769032,-16.371279,-19.665827,-8.563995
1720440025836,-13.836561,-31.565165,-8.428387,-16.473438,-19.706656,-8.242744
1720440026828,-13.990536,-31.594404,-7.972043,-16.603754,-19.735462,-7.812778
1720440028074,-14.219787,-31.662365,-7.192686,-16.799173,-19.801134,-7.078853
