sep=,
"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1720439904808,0,0,0,0,0,0,0,0,0,0.992672,0.04398,-0.112556,0,0,0,0,0,0
1720439906012,0,0,0,0,0,0,0,0,0,0.992849,0.041314,-0.112,0,0,0,0,0,0
1720439912303,0,0,0,0,0,0,0,0,0,0.992921,0.042018,-0.111099,0,0,0,0,0,0
1720439913506,0,0,0,0,0,0,0,0,0,0.992906,0.041029,-0.1116,0,0,0,0,0,0
1720439916043,0,0,0,0,0,0,0,0,0,0.992975,0.039394,-0.111571,0,0,0,0,0,0
1720439917122,0,0,0,0,0,0,0,0,0,0.992928,0.042048,-0.111024,0,0,0,0,0,0
1720439918199,0,0,0,0,0,0,0,0,0,0.992694,0.040663,-0.113601,0,0,0,0,0,0
1720439921082,0,0,0,0,0,0,0,0,0,0.992594,0.042816,-0.113683,0,0,0,0,0,0
1720439921979,0,0,0,0,0,0,0,0,0,0.992541,0.043329,-0.113952,0,0,0,0,0,0
1720439926034,0,0,0,0,0,0,0,0,0,0.992459,0.043201,-0.114711,0,0,0,0,0,0
1720439927000,0,0,0,0,0,0,0,0,0,0.992307,0.044458,-0.115541,0,0,0,0,0,0
1720439930171,0,0,0,0,0,0,0,0,0,0.99174,0.045496,-0.119923,0,0,0,0,0,0
1720439931084,0,0,0,0,0,0,0,0,0,0.991262,0.0454,-0.123852,0,0,0,0,0,0
1720439932494,0,0,0,0,0,0,0,0,0,0.99154,0.043829,-0.122178,0,0,0,0,0,0
1720439933661,0,0,0,0,0,0,0,0,0,0.991567,0.045317,-0.121416,0,0,0,0,0,0
1720439936287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439937233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439938394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439941241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439942173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439945115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439946103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439947399,0,0,0,0,0,0,0,0,0,0,0,0,0.415029,0.113927,-0.902647,0,0,0
1720439948645,0,0,0,0,0,0,0,0,0,0,0,0,0.327887,0.113593,-0.937863,0,0,0
1720439951230,0,0,0,0,0,0,0,0,0,0,0,0,0.040214,0.092812,-0.994871,0,0,0
1720439952221,0,0,0,0,0,0,0,0,0,0,0,0,-0.030239,0.098165,-0.994711,0,0,0
1720439953362,0,0,0,0,0,0,0,0,0,0,0,0,-0.052418,0.100229,-0.993583,0,0,0
1720439955966,0,0,0,0,0,0,0,0,0,0,0,0,-0.204019,0.108366,-0.972951,0,0,0
1720439957109,0,0,0,0,0,0,0,0,0,0,0,0,-0.264797,0.108226,-0.958212,0,0,0
1720439960014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439961311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439966176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439967382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439970054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439971215,-0.929443,0.028615,-0.367854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439972139,-0.961612,0.022875,-0.273457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439974790,-0.999878,0.014177,0.006524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439976083,-0.994331,0.01138,0.105714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439981208,-0.895804,-0.00077,0.444449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439983706,-0.825072,-0.005855,0.564997,0,0,0,0,0,0,0,0,0,0,0,0,-0.617464,0.057767,0.784475
1720439985086,-0.775574,-0.009227,0.63119,0,0,0,0,0,0,0,0,0,0,0,0,-0.600764,0.053319,0.797646
1720439986118,-0.762507,-0.010783,0.646891,0,0,0,0,0,0,0,0,0,0,0,0,-0.577084,0.054357,0.814874
1720439987413,-0.779737,-0.014703,0.625934,0,0,0,0,0,0,0,0,0,0,0,0,-0.556325,0.051427,0.829372
1720439988534,-0.785742,-0.01623,0.618342,0,0,0,0,0,0,0,0,0,0,0,0,-0.551098,0.051044,0.832878
