sep=,
"Time","adcs_SunVectors.xm_sun_vector_x"
1720437355621,0
1720437356738,0
1720437359622,0
1720437360703,0
1720437361951,0
1720437362853,0
1720437365573,0
1720437366560,0
1720437367808,0
1720437371604,0
1720437373756,0
1720437374832,0
1720437375811,0
1720437378538,0
1720437379828,0
1720437384613,0
1720437385575,0
1720437388489,0
1720437389692,0
1720437390858,0
1720437394476,0
1720437395723,0
1720437398610,0
1720437401023,0
1720437401984,0
1720437403520,0
1720437404682,0
1720437405786,0
1720437407616,0
1720437408648,0
1720437409769,0
1720437410877,0
1720437413517,0
1720437414721,0
1720437417611,0
1720437418858,0
1720437419784,0
1720437421573,0
1720437423813,0
1720437424930,0
1720437425960,0
1720437428548,0
1720437429710,0
1720437434019,0
1720437434920,0
1720437437986,0
1720437438785,0
1720437439985,0
1720437441560,0
1720437442679,0
1720437447934,0
1720437449096,0
1720437452934,0
1720437453811,0
1720437456509,0
1720437457884,0
1720437461504,0
1720437462621,0
1720437469042,0
1720437470294,0
1720437471148,0
1720437473778,0
1720437475028,0
1720437475961,0
1720437477530,0
1720437478689,0
1720437482739,0
1720437483731,0
1720437484894,0
1720437487608,0
1720437488514,0
1720437489762,0
1720437492648,0
1720437495061,0
1720437495968,0
1720437497602,0
1720437498721,0
1720437499755,0
1720437502430,0
1720437503764,0
1720437507512,0
1720437508716,0
1720437515051,0
1720437517677,0
1720437518796,0
1720437519892,0
1720437521555,0
1720437522846,0
1720437526594,0
1720437527798,0
1720437534045,0
1720437536588,0
1720437537751,0
1720437540635,0
1720437542790,0
1720437543910,0
1720437546710,0
1720437547961,0
1720437550343,0
1720437553002,0
1720437554163,0
1720437555200,0
1720437556791,0
1720437557782,0
1720437558988,0
1720437561527,0
1720437562735,0
1720437566739,0
1720437567947,0
1720437568904,0
1720437570358,0
1720437571825,0
1720437573847,0
1720437576651,0
1720437577598,0
1720437578805,0
1720437582551,0
1720437583801,0
1720437584835,0
1720437587591,0
1720437588839,0
1720437589799,0
1720437591465,0
1720437592887,0
1720437593706,0
1720437595000,0
1720437596079,0
1720437597283,0
1720437599955,0
1720437601030,0
1720437601962,0
1720437604824,0
1720437605685,0
1720437608350,0
1720437609861,0
1720437611813,0
1720437615636,0
1720437616796,0
1720437620717,0
1720437621966,0
1720437622840,0
1720437627052,0
1720437629419,0
1720437630838,0
1720437634630,0
1720437635708,0
1720437636755,0
1720437640790,0
1720437642000,0
1720437642909,0
1720437645488,0
1720437646604,0
1720437649537,0
1720437650612,0
1720437651732,0
1720437655824,0
1720437656776,0
1720437657980,0
1720437660820,0
1720437662072,0
1720437664309,0
1720437668016,0
1720437669177,0
1720437671766,0
1720437672884,0
1720437676848,0
1720437677781,0
1720437681844,0
1720437683006,0
1720437685506,0
1720437686667,0
1720437692956,0
1720437694123,0
1720437696704,0
1720437697912,0
1720437698884,0
1720437701528,0
1720437702608,0
1720437706525,0
1720437707692,0
1720437711352,0
1720437714107,0
1720437715272,0
1720437716188,0
1720437718890,0
1720437720137,0
1720437722550,0
1720437723717,0
1720437724591,0
1720437727593,0
1720437728712,0
1720437729745,0
1720437730907,0
1720437733581,0
1720437734741,0
1720437735994,0
1720437738276,0
1720437741031,0
1720437742198,0
1720437744820,0
1720437745854,0
1720437746935,0
1720437749603,0
1720437750730,0
1720437756109,0
1720437756967,0
1720437759641,0
1720437760762,0
1720437763604,0
1720437764597,0
1720437765843,0
1720437768645,0
1720437770886,0
1720437772003,0
1720437774674,0
1720437775880,0
1720437780880,0
1720437781999,0
1720437782970,0
1720437785571,0
1720437786563,0
1720437787772,0
1720437794276,0
1720437795221,0
1720437796688,0
1720437797894,0
1720437798814,0
1720437801944,0
1720437802674,0
1720437805001,0
1720437806208,0
1720437808750,0
1720437810042,0
1720437811007,0
1720437813660,0
1720437817138,0
1720437818343,0
1720437821027,0
1720437822275,0
1720437825763,0
1720437826973,0
1720437830850,0
1720437831878,0
1720437834726,0
1720437835845,0
1720437836769,0
1720437839468,0
1720437840884,0
1720437841787,0
1720437843063,0
1720437845924,0
1720437846892,0
1720437850018,0
1720437850904,0
1720437851948,0
1720437854714,0
1720437855875,0
1720437856859,0
1720437859494,0
1720437860833,0
1720437865009,0
1720437865934,0
1720437866996,0
1720437869658,0
1720437870786,0
1720437873538,0
1720437874740,0
1720437875714,0
1720437879783,0
1720437881035,0
1720437883616,0
1720437884781,0
1720437885989,0
1720437888225,0
1720437890938,0
1720437891973,0
1720437893050,0
1720437894115,0
1720437896797,0
1720437897875,0
1720437898951,0
1720437901798,0
1720437903046,0
1720437905070,0
1720437906190,0
1720437907268,0
1720437908818,0
1720437909764,0
1720437910974,0
1720437913472,0
1720437914463,0
1720437915453,0
1720437916702,0
1720437920247,0
1720437923161,0
1720437924284,0
1720437926778,0
1720437928028,0
1720437931647,0
1720437932811,0
1720437936559,0
1720437937594,0
1720437938799,0
1720437941643,0
1720437942805,0
1720437944099,0
1720437948018,0
1720437949137,0
1720437951765,0
1720437952973,0
1720437955512,0
1720437956587,0
1720437958142,0
1720437960365,0
1720437963264,0
1720437964149,0
1720437965679,0
1720437966626,0
1720437967745,0
1720437968889,0
1720437970502,0
1720437971580,0
1720437972660,0
1720437975628,0
1720437976752,0
1720437978000,0
1720437978903,0
1720437981744,0
1720437982582,0
1720437986830,0
1720437987950,0
1720437989029,0
1720437991570,0
1720437992818,0
1720437996868,0
1720437998158,0
1720437999161,0
1720438000528,0
1720438001734,0
1720438004622,0
1720438006691,0
1720438007983,0
1720438010564,0
1720438011643,0
1720438012689,0
1720438016856,0
1720438018104,0
1720438019113,0
1720438020516,0
1720438021721,0
1720438025211,0
1720438028956,0
1720438030166,0
1720438034906,0
1720438035837,0
1720438037405,0
1720438038439,0
1720438039731,0
1720438042359,0
1720438043476,0
1720438044767,0
1720438048476,0
1720438049634,0
1720438051103,0
1720438053444,0
1720438056186,0
1720438057087,0
1720438060749,0
1720438062002,0
1720438065530,0
1720438066740,0
1720438067986,0
1720438070373,0
1720438073201,0
1720438074182,0
1720438075784,0
1720438076858,0
1720438079491,0
1720438080912,0
1720438081874,0
1720438084659,0
1720438085609,0
1720438086769,0
1720438087890,0
1720438089610,0
1720438090730,0
1720438092113,0
1720438096935,0
1720438098144,0
1720438100723,0
1720438101804,0
1720438102923,0
1720438105596,0
1720438106797,0
1720438112831,0
1720438114080,0
1720438117571,0
1720438118601,0
1720438119721,0
1720438120845,0
1720438123986,0
1720438124975,0
1720438126355,0
1720438127475,0
1720438130767,0
1720438131953,0
1720438133880,0
1720438134982,0
1720438137599,0
1720438138590,0
1720438139746,0
1720438143760,0
1720438145010,0
1720438145956,0
1720438148843,0
1720438150133,0
1720438154095,0
1720438155173,0
1720438156270,0
1720438157889,0
1720438159054,0
1720438162842,0
1720438163874,0
1720438168053,0
1720438170466,0
1720438171675,0
1720438175636,0
1720438178826,0
1720438180033,0
1720438183651,0
1720438184855,0
1720438187443,0
1720438188431,0
1720438189854,0
1720438191891,0
1720438194506,0
1720438195924,0
1720438196806,0
1720438197795,0
1720438199500,0
1720438201787,0
1720438203120,0
1720438205274,0
1720438207859,0
1720438208892,0
1720438210143,0
1720438212725,0
1720438213888,0
1720438214876,0
1720438217509,0
1720438218889,0
1720438222720,0
1720438224230,0
1720438229225,0
1720438230227,0
1720438232885,0
1720438234051,0
1720438236678,0
1720438237837,0
1720438240643,0
1720438241718,0
1720438242964,0
1720438245463,0
1720438246457,0
1720438247949,0
1720438250649,0
1720438269454,0
1720438270361,0
1720438271418,0
1720438273383,0
1720438274320,0
1720438275249,0
1720438277131,0
1720438278806,0
1720438279843,0
1720438280470,0
1720438281687,0
1720438283411,0
1720438284258,0
1720438285265,0
1720438287157,0
1720438288057,0
1720438290630,0
1720438293144,0
1720438294109,0
1720438297142,0
1720438298042,0
1720438298866,0
1720438300643,0
1720438301468,0
1720438303002,0
1720438303943,0
1720438305423,0
1720438306373,0
1720438311028,0
1720438312149,0
1720438314951,0
1720438315966,0
1720438318523,0
1720438319642,0
1720438324427,0
1720438325544,0
1720438326662,0
1720438327743,0
1720438328816,0
1720438332954,0
1720438333944,0
1720438336616,0
1720438337649,0
1720438344024,0
1720438345188,0
1720438347862,0
1720438348848,0
1720438350016,0
1720438352858,0
1720438353875,0
1720438355573,0
1720438356647,0
1720438357898,0
1720438360484,0
1720438361947,0
1720438362766,0
1720438364100,0
1720438365092,0
1720438366252,0
1720438369055,0
1720438369974,0
1720438372844,0
1720438374049,0
1720438376894,0
1720438377928,0
1720438379132,0
1720438381716,0
1720438382838,0
1720438386885,0
1720438387760,0
1720438389024,0
1720438391755,0
1720438392831,0
1720438395804,0
1720438396711,0
1720438397961,0
1720438400542,0
1720438401574,0
1720438402694,0
1720438406878,0
1720438408122,0
1720438411698,0
1720438415239,0
1720438418117,0
1720438419153,0
1720438420274,0
1720438422773,0
1720438424065,0
1720438427899,0
1720438429059,0
1720438432852,0
1720438434101,0
1720438437634,0
1720438438840,0
1720438441637,0
1720438442714,0
1720438443879,0
1720438444748,0
1720438449735,0
1720438450901,0
1720438454475,0
1720438455595,0
1720438456626,0
1720438460125,0
1720438461320,0
1720438463999,0
1720438465159,0
1720438465961,0
1720438467109,0
1720438468561,0
1720438469596,0
1720438470756,0
1720438473565,0
1720438475839,0
1720438476835,0
1720438477849,0
1720438480669,0
1720438481701,0
1720438486827,0
1720438489590,0
1720438491336,0
1720438493165,0
1720438494077,0
1720438496520,0
1720438497896,0
1720438501518,0
1720438502982,0
1720438503967,0
1720438505050,0
1720438506641,0
1720438507589,0
1720438508794,0
1720438513752,0
1720438514697,0
1720438515904,0
1720438518620,0
1720438519821,0
1720438521030,0
1720438523410,0
1720438524951,0
1720438526027,0
1720438527145,0
1720438529820,0
1720438531027,0
1720438532066,0
1720438534512,0
1720438535804,0
1720438539598,0
1720438540887,0
1720438543472,0
1720438544379,0
1720438545845,0
1720438549632,0
1720438550669,0
1720438552047,0
1720438554400,0
1720438557344,0
1720438558266,0
1720438560963,0
1720438561942,0
1720438564537,0
1720438565657,0
1720438570829,0
1720438572075,0
1720438574618,0
1720438575864,0
1720438576826,0
1720438580777,0
1720438582029,0
1720438585647,0
1720438586849,0
1720438590515,0
1720438591679,0
1720438593187,0
1720438597147,0
1720438598309,0
1720438599051,0
1720438601755,0
1720438602965,0
1720438605634,0
1720438606667,0
1720438607745,0
1720438611882,0
1720438612998,0
1720438615583,0
1720438617005,0
1720438620494,0
1720438621746,0
1720438625177,0
1720438630189,0
1720438633937,0
1720438634846,0
1720438636387,0
1720438637900,0
1720438638600,0
1720438641000,0
1720438642033,0
1720438643069,0
1720438645781,0
1720438646899,0
1720438650780,0
1720438652069,0
1720438654363,0
1720438657023,0
1720438658273,0
1720438660856,0
1720438661806,0
1720438663057,0
1720438666631,0
1720438667882,0
1720438670679,0
1720438673091,0
1720438675547,0
1720438676883,0
1720438680543,0
1720438681710,0
1720438683001,0
1720438688257,0
1720438689228,0
1720438692092,0
1720438692880,0
1720438695537,0
1720438696698,0
1720438703029,0
1720438704197,0
1720438705240,0
1720438706820,0
1720438708070,0
1720438709019,0
1720438710442,0
1720438711906,0
1720438716687,0
1720438717759,0
1720438721770,0
1720438722934,0
1720438726076,0
1720438726902,0
1720438728046,0
1720438730643,0
1720438731892,0
1720438732876,0
1720438735511,0
1720438736805,0
1720438740509,0
1720438741756,0
1720438748134,0
1720438749164,0
1720438751796,0
1720438752997,0
1720438755586,0
1720438756791,0
1720438763253,0
1720438764221,0
1720438766826,0
1720438767893,0
1720438770664,0
1720438772042,0
1720438777079,0
1720438778245,0
1720438781087,0
1720438781999,0
1720438784836,0
1720438786039,0
1720438790049,0
1720438790996,0
1720438792203,0
1720438794785,0
1720438795991,0
1720438798616,0
1720438799783,0
1720438801076,0
1720438804909,0
1720438806028,0
1720438806989,0
1720438809733,0
1720438810816,0
1720438813740,0
1720438814901,0
1720438815946,0
1720438817575,0
1720438818953,0
1720438819808,0
1720438821016,0
1720438822487,0
1720438823732,0
1720438828989,0
1720438830068,0
1720438831175,0
1720438833771,0
1720438834975,0
1720438838035,0
1720438838782,0
1720438839988,0
1720438841569,0
1720438842731,0
1720438848029,0
1720438849192,0
1720438851817,0
1720438852981,0
1720438855612,0
1720438856986,0
1720438857827,0
1720438860480,0
1720438861725,0
1720438866983,0
1720438868014,0
1720438869139,0
1720438871808,0
1720438872968,0
1720438875598,0
1720438876803,0
1720438878051,0
1720438882014,0
1720438883177,0
1720438886754,0
