sep=,
"Time","stdTM5418300110010548962.sun_vector_x","stdTM5418300110010548962.sun_vector_y","stdTM5418300110010548962.sun_vector_z"
1720439904081,0.992502,0.043609,-0.114186
1720439907910,0.99296,0.041611,-0.110903
1720439910146,0.992894,0.040778,-0.111798
1720439912428,0.992921,0.042018,-0.111099
1720439913946,0.992801,0.041537,-0.112341
1720439916176,0.992975,0.039394,-0.111571
1720439917743,0.992694,0.040663,-0.113601
1720439920227,0.992688,0.041779,-0.113251
1720439921847,0.992541,0.043329,-0.113952
1720439924209,0.992431,0.043689,-0.114773
1720439925615,0.992459,0.043201,-0.114711
1720439927684,0.99218,0.045736,-0.116131
1720439929300,0.99174,0.045496,-0.119923
1720439932583,0.99154,0.043829,-0.122178
1720439934124,0.991368,0.043662,-0.123622
1720439936329,0,0,0
1720439940326,0,0,0
1720439941989,0,0,0
1720439944147,0,0,0
1720439946449,0,0,0
1720439948163,0.327887,0.113593,-0.937863
1720439950112,0.111331,0.09913,-0.988827
1720439951855,-0.030239,0.098165,-0.994711
1720439953992,-0.107035,0.103785,-0.988824
1720439955578,-0.204019,0.108366,-0.972951
1720439958061,0,0,0
1720439960232,0,0,0
1720439962171,0,0,0
1720439964120,0,0,0
1720439966389,0,0,0
1720439967991,0,0,0
1720439970137,0,0,0
1720439971681,-0.961612,0.022875,-0.273457
1720439973800,-0.995446,0.017766,-0.093656
1720439977925,-0.969949,0.005544,0.243245
1720439980361,-0.925635,-0.000682,0.378418
1720439981694,-0.875027,-0.002914,0.484066
1720439983794,-0.617464,0.057767,0.784475
1720439986463,-0.577084,0.054357,0.814874
1720439988083,-0.551098,0.051044,0.832878
1720439990211,-0.542392,0.05127,0.83856
1720439992407,-0.44406,0.049942,0.894604
1720439994161,-0.372985,0.053628,0.926286
1720439996388,-0.225077,0.052264,0.972938
1720439997949,-0.129219,0.055454,0.990064
1720440000140,-0.044926,0.055615,0.997441
1720440001447,0.05765,0.059559,0.996559
1720440003610,0.144033,0.062175,0.987618
1720440006016,0.270993,0.072239,0.959867
1720440007605,0.37741,0.070273,0.923376
1720440009768,0.494478,0.076997,0.865773
1720440011543,0.56454,0.083597,0.821162
1720440014272,0.615547,0.087601,0.783217
1720440016513,0.889386,0.010567,0.457035
1720440018167,0.934428,0.004688,0.356122
1720440019933,0.943462,0.008384,0.331374
1720440021609,0.987705,0.029478,0.153528
1720440023598,0.996168,0.042812,0.076263
1720440026052,0.99901,0.044179,-0.005185
1720440027696,0.997996,0.041047,-0.04815
1720440029756,0.992217,0.043655,-0.116614
1720440033952,0.959157,0.057487,-0.27697
1720440036109,0,0,0
1720440037721,0,0,0
1720440039877,0,0,0
1720440041584,0,0,0
1720440043705,0,0,0
1720440045995,0,0,0
1720440047652,0.310249,0.11481,-0.943697
1720440050049,0.086372,0.095047,-0.991719
1720440052291,-0.057444,0.098413,-0.993486
