Time, X, Y, Z
1720439904081,0.989538,0.0554394,-0.133195
1720439907910,0.99013,0.0535447,-0.129523
1720439910146,0.990044,0.0527184,-0.130511
1720439912428,0.99008,0.0539404,-0.129737
1720439913946,0.989924,0.0534676,-0.131114
1720439916176,0.990151,0.051314,-0.130262
1720439917743,0.989782,0.0525975,-0.132534
1720439920227,0.989776,0.0537009,-0.132136
1720439921847,0.989588,0.0551791,-0.132929
1720439924209,0.989443,0.0555114,-0.133868
1720439925615,0.989478,0.0550562,-0.133797
1720439927684,0.989124,0.057357,-0.135438
1720439929300,0.988513,0.0571269,-0.139922
1720439932583,0.988211,0.0556083,-0.142641
1720439934124,0.987966,0.0554469,-0.144393
1720439936329,0,0,0
1720439940326,0,0,0
1720439941989,0,0,0
1720439944147,0,0,0
1720439946449,0,0,0
1720439948163,0.294822,0.134143,-0.94609
1720439950112,0.127121,0.117445,-0.98491
1720439951855,-0.0382674,0.1169,-0.992406
1720439953992,-0.133122,0.121742,-0.983594
1720439955578,-0.231536,0.12586,-0.96465
1720439958061,0,0,0
1720439960232,0,0,0
1720439962171,0,0,0
1720439964120,0,0,0
1720439966389,0,0,0
1720439967991,0,0,0
1720439970137,0,0,0
1720439971681,-0.960728,0.0301552,-0.27585
1720439973800,-0.993315,0.024223,-0.112869
1720439977925,-0.972917,0.00883578,0.230984
1720439980361,-0.945227,0.000567665,0.326413
1720439981694,-0.912254,-0.00265361,0.409615
1720439983794,-0.59847,0.0756594,0.797564
1720439986463,-0.5458,0.0730005,0.834729
1720439988083,-0.498569,0.0700455,0.864015
1720439990211,-0.485305,0.0704967,0.871499
1720439992407,-0.381093,0.0683811,0.922005
1720439994161,-0.328597,0.0723551,0.941695
1720439996388,-0.226293,0.0693573,0.971587
1720439997949,-0.147599,0.0733886,0.986321
1720440000140,-0.0567931,0.0737552,0.995658
1720440001447,0.0695458,0.0787527,0.994465
1720440003610,0.169407,0.081605,0.982162
1720440006016,0.284732,0.0920586,0.954177
1720440007605,0.358953,0.0903955,0.928968
1720440009768,0.448518,0.0969031,0.888505
1720440011543,0.521236,0.102273,0.847262
1720440014272,0.582762,0.105546,0.80576
1720440016513,0.922065,0.0138901,0.386786
1720440018167,0.949722,0.00496826,0.313056
1720440019933,0.954794,0.0102139,0.297093
1720440021609,0.986605,0.0399764,0.15815
1720440023598,0.99472,0.0548256,0.086756
1720440026052,0.998397,0.0561998,-0.00663592
1720440027696,0.996555,0.0531246,-0.0636832
1720440029756,0.989154,0.0554723,-0.136003
1720440033952,0.958173,0.0666242,-0.278326
1720440036109,0,0,0
1720440037721,0,0,0
1720440039877,0,0,0
1720440041584,0,0,0
1720440043705,0,0,0
1720440045995,0,0,0
1720440047652,0.283548,0.135231,-0.949375
1720440050049,0.0997184,0.113876,-0.988478
1720440052291,-0.069245,0.11704,-0.99071
1720440053894,-0.113017,0.118632,-0.986486
1720440055505,-0.250663,0.122752,-0.96026
1720440057677,0,0,0
1720440059290,0,0,0
1720440062580,0,0,0
1720440064149,0,0,0
1720440066372,0,0,0
1720440067946,0,0,0
1720440070398,0,0,0
1720440072022,0,0,0
1720440074154,-0.936842,0.036048,-0.34789
1720440075523,-0.959544,0.0287775,-0.280085
1720440077877,-0.987981,0.0228744,-0.152871
1720440080202,-0.995042,0.0190022,0.0976244
1720440081679,-0.973853,0.011261,0.226898
1720440083863,-0.939471,0.00359451,0.34261
1720440085531,-0.88064,-0.00273775,0.473777
1720440087922,-0.56146,0.0694408,0.824585
1720440090505,-0.440889,0.0649198,0.895211
1720440092504,-0.332786,0.0721032,0.940242
1720440093880,-0.163894,0.0764982,0.983507
1720440095984,-0.0313776,0.0795528,0.996337
1720440098166,-0.0328048,0.0790181,0.996333
1720440099815,-0.0329271,0.0799273,0.996257
1720440101915,-0.0349429,0.0812028,0.996085
1720440103552,-0.0353867,0.0809074,0.996093
1720440106089,-0.0331145,0.0792109,0.996308
1720440108657,-0.0324996,0.0774996,0.996463
1720440110171,-0.0318843,0.0747397,0.996693
1720440112442,-0.0314099,0.0764767,0.996577
1720440113796,-0.0297587,0.0761618,0.996651
1720440115874,-0.0292836,0.0753361,0.996728
1720440117576,-0.0293709,0.077038,0.996595
