"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722008042485,0.024016,0.054493,-0.017034
1722008042688,0.005533,0.025786,-0.002877
1722008044681,0.027949,-0.036349,0.011674
1722008045529,3.041881,0.037584,0.024651
1722008046554,1.81177,0.109943,-0.013888
1722008047344,0.179353,0.024213,0.002629
1722008048149,0.003174,0.001797,0.008134
1722008048967,0.005927,0.002583,-0.00563
1722008050583,0.013005,0.015168,0.009707
1722008051443,0.007499,-0.006069,-0.007989
1722008052476,0.006713,0.005729,0.002235
1722008053685,0.029129,-0.014327,-0.00327
1722008054591,3.381264,0.049775,0.012853
1722008055882,1.748849,-0.001349,0.012067
1722008056915,0.027743,0.093069,-0.048173
1722008057734,0.02205,0.03955,0.001056
1722008058767,0.018511,-0.004495,0.005381
1722008060579,0.031488,0.010449,0.021898
1722008061441,0.0016,0.014775,-0.007596
1722008062429,-0.012557,0.000617,0.009707
1722008063323,0.154185,-0.03045,0.030943
1722008064323,2.590421,0.011235,0.027404
1722008065174,2.022163,0.026179,0.034483
1722008066219,0.228118,-0.005282,0.034483
1722008067286,0.008286,-0.006854,0.015213
1722008068676,0.004675,0.01233,0.006315
1722008069569,0.009072,-0.003315,-0.00327
1722008070535,0.018904,0.001404,0.005381
1722008071388,0.025755,-0.016704,0.00552
1722008072422,0.004747,0.005729,0.006561
1722008073717,0.010646,-0.001742,0.015213
1722008074511,0.018118,-0.000563,-0.003663
1722008076002,0.017724,0.032471,-0.00445
1722008077032,2.171994,0.02146,0.005775
1722008077852,2.140139,0.010055,0.013247
1722008078886,0.68705,0.045842,-0.009956
1722008079707,0.001601,0.033651,-0.042596
1722008081514,-0.001546,0.001403,0.005382
1722008082702,0.01969,-0.010788,-0.00445
1722008084704,0.011432,0.015168,-0.001304
1722008085434,0.027162,0.002977,0.000662
1722008086813,0.180926,-0.068203,0.058078
1722008087632,6.025926,0.031292,0.077348
1722008088665,1.875084,0.02264,0.024651
1722008089484,-0.007654,0.03341,-0.037037
1722008090516,0.016544,0.000617,0.027404
1722008091680,-0.001939,0.019494,-0.011922
1722008092714,0.009072,-0.015506,0.000662
1722008093566,0.019297,0.006516,0.008921
1722008094565,0.013399,-0.003316,0.009707
1722008095243,0.00514,0.010448,0.006168
1722008096266,0.134915,-0.069776,0.099763
1722008097100,3.905869,0.034831,0.043134
1722008098447,-0.017995,0.001193,-0.010389
1722008099306,-0.012163,0.007695,-0.016248
1722008100297,-0.008624,-0.004102,0.003022
1722008101325,0.007499,0.004156,-0.009956
1722008102321,0.010646,-0.002136,0.01364
1722008103172,-0.006658,0.006909,-0.00327
1722008104217,0.009859,0.004156,0.010101
1722008105067,0.272556,-0.024158,0.042741
