"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722008042485,24.023594,19.959469,-12.78851
1722008042688,23.964268,20.019646,-12.637786
1722008044681,23.951525,20.033371,-12.605464
1722008045529,23.934931,19.941174,-12.821536
1722008046554,23.89666,19.599361,-13.518031
1722008047344,23.874487,19.367317,-13.980107
1722008048149,23.918266,19.319704,-14.055378
1722008048967,24.027376,19.280603,-14.173926
1722008050583,24.015985,19.284599,-14.174134
1722008051443,23.961327,19.330868,-14.026182
1722008052476,23.911427,19.3846,-13.97862
1722008053685,23.905527,19.380762,-13.973228
1722008054591,23.8815,19.309494,-14.110873
1722008055882,23.825014,18.769463,-15.023149
1722008056915,23.803717,18.649851,-15.189344
1722008057734,23.881454,18.624283,-15.232933
1722008058767,24.006069,18.627081,-15.476984
1722008060579,23.942524,18.587549,-15.458387
1722008061441,23.970287,18.580381,-15.388852
1722008062429,23.839231,18.654907,-15.197363
1722008063323,23.822472,18.656075,-15.204465
1722008064323,23.79541,18.441383,-15.514294
1722008065174,23.746151,18.032806,-16.111288
1722008066219,23.726822,17.826986,-16.37768
1722008067286,23.733353,17.788889,-16.433372
1722008068676,23.887024,17.74663,-16.639727
1722008069569,23.862354,17.774139,-16.622601
1722008070535,23.853094,17.766121,-16.619514
1722008071388,23.85203,17.772318,-16.621166
1722008072422,23.866369,17.765209,-16.633312
1722008073717,23.881895,17.753889,-16.626013
1722008074511,23.796642,17.825367,-16.41571
1722008076002,23.783373,17.829685,-16.40703
1722008077032,23.760857,17.717155,-16.546713
1722008077852,23.69487,17.213818,-17.133158
1722008078886,23.663826,16.945869,-17.420013
1722008079707,23.652128,16.876957,-17.496761
1722008081514,23.889683,16.896112,-17.816929
1722008082702,23.653759,16.872599,-17.646877
1722008084704,23.642729,16.866518,-17.60232
1722008085434,23.582901,16.833496,-17.58346
1722008086813,23.582386,16.832245,-17.572975
1722008087632,23.51252,16.301174,-18.117609
1722008088665,23.44182,15.783999,-18.582672
1722008089484,23.43581,15.680784,-18.668447
1722008090516,23.52821,15.624907,-18.705992
1722008091680,23.513514,15.709117,-18.70332
1722008092714,23.54216,15.734819,-18.724684
1722008093566,23.592775,15.709029,-18.711771
1722008094565,23.590851,15.624763,-18.688345
1722008095243,23.512936,15.671185,-18.647383
1722008096266,23.496435,15.66634,-18.644583
1722008097100,23.370358,14.873626,-19.258692
1722008098447,23.315292,14.495442,-19.521015
1722008099306,23.311447,14.446376,-19.586449
1722008100297,23.382608,14.412725,-19.583536
1722008101325,23.367834,14.54344,-19.60467
1722008102321,23.371675,14.548081,-19.610834
1722008103172,23.330746,14.482631,-19.57111
1722008104217,23.290604,14.491121,-19.56233
1722008105067,23.28285,14.512831,-19.5648
1722008106265,23.167564,13.654519,-20.067387
1722008107493,23.087917,13.104504,-20.35445
1722008108528,23.086933,13.058367,-20.447342
1722008109342,23.195139,13.104105,-20.565516
1722008110377,23.314791,13.287877,-20.536386
1722008111240,23.317808,13.300586,-20.618685
1722008112574,23.337688,13.296822,-20.564383
1722008113705,23.335117,13.322367,-20.539162
1722008114731,23.307114,13.207021,-20.579287
1722008115591,23.215347,12.563621,-20.844236
1722008116580,23.159483,12.22187,-20.964432
1722008117443,23.157614,12.05229,-21.010992
1722008118479,23.127396,12.0234,-20.936836
1722008119298,23.138382,12.04789,-20.970711
1722008120590,23.140699,12.054018,-20.96921
1722008121665,23.146723,12.046285,-20.974485
1722008122699,23.169987,12.06424,-21.003157
1722008123519,23.163406,12.131327,-20.976885
1722008124562,23.097225,11.716576,-21.111834
1722008125414,23.012899,11.155458,-21.28117
1722008126447,22.987932,10.870911,-21.373186
1722008127694,22.765934,10.754004,-21.452816
1722008128409,22.721972,10.696194,-21.40144
1722008129851,22.712534,10.689045,-21.408419
1722008130886,22.770826,10.684356,-21.473953
1722008131704,22.884636,10.760158,-21.477434
1722008132739,22.927641,10.793806,-21.340597
1722008133599,22.944136,10.818811,-21.354872
1722008134586,22.801661,9.993635,-21.500647
1722008135452,22.710686,9.488239,-21.555159
1722008136486,22.695419,9.351394,-21.547571
1722008137301,22.679026,9.42767,-21.680016
1722008138477,22.550289,9.330354,-21.678404
1722008139445,22.54388,9.291209,-21.677904
1722008140706,22.646099,9.254139,-21.678406
1722008141563,22.642859,9.255845,-21.651392
1722008142560,22.633921,9.112621,-21.663052
1722008143320,22.507778,8.450084,-21.700115
1722008144254,22.435629,8.107314,-21.694393
1722008145090,22.48008,8.091116,-21.708818
1722008146107,22.352777,8.110071,-21.758343
1722008146898,22.278749,8.139046,-21.672606
1722008148265,22.287317,8.13815,-21.670355
1722008149755,22.423326,8.124176,-21.788492
1722008150702,22.488974,8.104562,-21.674526
1722008151512,22.490839,8.151752,-21.652098
1722008152469,22.381205,7.63682,-21.620949
