"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722008042485,0.982921,0.183903,0.006864,0.000109
1722008042688,0.98291,0.18395,0.00709,0.000125
1722008044681,0.982867,0.18419,0.00676,0.000165
1722008045529,0.977634,0.210193,0.007044,0.000257
1722008046554,0.974182,0.225621,0.008011,0.000229
1722008047344,0.973826,0.227146,0.008212,0.000287
1722008048149,0.97382,0.227174,0.008211,0.000359
1722008048967,0.973808,0.227224,0.008244,0.000316
1722008050583,0.973781,0.227335,0.008354,0.000428
1722008051443,0.973766,0.227398,0.008318,0.000347
1722008052476,0.973753,0.227455,0.008362,0.000377
1722008053685,0.973696,0.227703,0.008247,0.000319
1722008054591,0.966551,0.256327,0.00865,0.000283
1722008055882,0.962526,0.271054,0.008615,0.00025
1722008056915,0.962453,0.271283,0.009511,0.000064
1722008057734,0.962397,0.271468,0.00984,0.000164
1722008058767,0.962354,0.271624,0.00979,0.000197
1722008060579,0.962255,0.271968,0.009925,0.000293
1722008061441,0.96225,0.271981,0.010067,0.000264
1722008062429,0.96228,0.271876,0.01005,0.000348
1722008063323,0.961916,0.273174,0.009721,0.000522
1722008064323,0.955493,0.294852,0.009759,0.000559
1722008065174,0.950141,0.311661,0.009897,0.000742
1722008066219,0.94952,0.313554,0.009761,0.000993
1722008067286,0.949497,0.313624,0.009663,0.0011
1722008068676,0.949484,0.313663,0.009747,0.001186
1722008069569,0.949459,0.313738,0.009729,0.001149
1722008070535,0.949407,0.313895,0.009726,0.001196
1722008071388,0.949338,0.314109,0.009573,0.001193
1722008072422,0.949324,0.314149,0.009602,0.001263
1722008073717,0.949295,0.314239,0.009546,0.001383
1722008074511,0.949245,0.314388,0.009552,0.00135
1722008076002,0.949194,0.314534,0.009833,0.001401
1722008077032,0.943061,0.332466,0.01002,0.001321
1722008077852,0.936687,0.350019,0.010087,0.001272
1722008078886,0.934568,0.355627,0.0105,0.00127
1722008079707,0.93456,0.355636,0.010907,0.001027
1722008081514,0.934501,0.355788,0.011011,0.001139
1722008082702,0.9344,0.356054,0.011044,0.001069
1722008084704,0.934363,0.356147,0.011172,0.001105
1722008085434,0.934278,0.356368,0.011195,0.001117
1722008086813,0.93372,0.357848,0.01046,0.00136
1722008087632,0.913636,0.406393,0.010531,0.001536
1722008088665,0.906862,0.421289,0.010647,0.00164
1722008089484,0.906888,0.421224,0.011048,0.001471
1722008090516,0.906827,0.421358,0.010952,0.001688
1722008091680,0.906832,0.421341,0.01115,0.001666
1722008092714,0.9068,0.421413,0.011025,0.001613
1722008093566,0.906729,0.421567,0.011044,0.001706
1722008094565,0.906679,0.421674,0.010983,0.001769
1722008095243,0.906659,0.421715,0.011043,0.001856
1722008096266,0.906167,0.422792,0.010126,0.002375
1722008097100,0.891234,0.453419,0.010317,0.002498
1722008098447,0.891305,0.453278,0.010367,0.002424
1722008099306,0.891353,0.453182,0.010491,0.002329
1722008100297,0.891388,0.453115,0.010447,0.002337
1722008101325,0.891358,0.453173,0.010519,0.002275
1722008102321,0.891316,0.453257,0.010448,0.002372
1722008103172,0.891341,0.453205,0.010515,0.002375
1722008104217,0.891302,0.453282,0.010507,0.002469
1722008105067,0.890223,0.455404,0.010156,0.00268
1722008106265,0.875555,0.482999,0.010405,0.002784
1722008107493,0.875268,0.483516,0.010467,0.002829
1722008108528,0.875323,0.483417,0.010459,0.002813
1722008109342,0.875178,0.483679,0.010494,0.002937
1722008110377,0.875014,0.483974,0.010546,0.003051
1722008111240,0.874926,0.484133,0.01052,0.002931
1722008112574,0.874902,0.484172,0.010785,0.002844
1722008113705,0.874727,0.484514,0.009134,0.003937
1722008114731,0.870604,0.491884,0.009063,0.004158
