sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1722008042485,4
1722008042688,4
1722008044681,4
1722008045529,4
1722008046554,4
1722008047344,4
1722008048149,4
1722008048967,4
1722008050583,4
1722008051443,4
1722008052476,4
1722008053685,4
1722008054591,4
1722008055882,4
1722008056915,4
1722008057734,4
1722008058767,4
1722008060579,4
1722008061441,4
1722008062429,4
1722008063323,4
1722008064323,4
1722008065174,4
1722008066219,4
1722008067286,4
1722008068676,4
1722008069569,4
1722008070535,4
1722008071388,4
1722008072422,4
1722008073717,4
1722008074511,4
1722008076002,4
1722008077032,4
1722008077852,4
1722008078886,4
1722008079707,4
1722008081514,4
1722008082702,4
1722008084704,4
1722008085434,4
1722008086813,4
1722008087632,4
1722008088665,4
1722008089484,4
1722008090516,4
1722008091680,4
1722008092714,4
1722008093566,4
1722008094565,4
1722008095243,4
1722008096266,4
1722008097100,4
1722008098447,4
1722008099306,4
1722008100297,4
1722008101325,4
1722008102321,4
1722008103172,4
1722008104217,4
1722008105067,4
1722008106265,4
1722008107493,4
1722008108528,4
1722008109342,4
1722008110377,4
1722008111240,4
1722008112574,4
1722008113705,4
1722008114731,4
1722008115591,4
1722008116580,4
1722008117443,4
1722008118479,4
1722008119298,4
1722008120590,4
1722008121665,4
1722008122699,4
1722008123519,4
1722008124562,4
1722008125414,4
1722008126447,4
1722008127694,5
1722008128409,5
1722008129851,5
1722008130886,5
1722008131704,5
1722008132739,5
1722008133599,5
1722008134586,5
1722008135452,5
1722008136486,5
1722008137301,5
1722008138477,5
1722008139445,5
1722008140706,5
1722008141563,5
1722008142560,5
1722008143320,5
1722008144254,5
1722008145090,5
1722008146107,5
1722008146898,5
1722008148265,5
1722008149755,5
1722008150702,5
1722008151512,5
1722008152469,5
1722008153284,5
1722008154254,5
1722008155083,5
1722008155980,5
1722008156836,5
1722008157782,5
1722008159525,5
1722008160480,5
1722008161328,5
1722008162290,5
1722008163098,5
1722008163905,5
1722008164727,5
1722008166638,5
1722008167455,5
1722008168470,5
1722008169340,5
1722008170301,5
1722008171195,5
1722008172110,5
1722008173621,5
1722008174651,5
1722008175632,5
1722008176562,5
1722008177410,5
1722008178442,5
1722008179292,5
1722008180563,5
1722008181632,5
1722008182666,5
1722008183485,5
1722008184473,5
1722008185293,5
1722008186593,5
1722008187662,5
1722008188699,5
1722008189517,5
1722008190551,5
1722008191712,5
1722008192704,5
1722008193562,5
1722008194603,5
1722008195449,5
1722008196472,5
1722008197303,5
1722008198283,5
1722008198853,5
1722008200503,5
1722008201363,5
1722008202696,5
1722008203336,5
1722008204939,5
1722008205757,5
1722008206745,5
1722008207651,5
1722008208601,5
1722008209503,5
1722008210536,5
1722008210744,5
1722008212693,5
1722008213499,5
1722008214523,5
1722008215351,5
1722008216375,5
1722008217163,5
1722008218681,5
1722008218882,5
1722008220534,5
1722008221697,5
1722008222729,5
1722008223496,5
1722008224521,5
1722008225264,5
1722008226867,5
1722008227106,5
1722008228674,5
1722008229535,5
1722008229860,5
1722008230769,5
1722008232681,5
1722008233585,5
1722008234491,5
1722008235296,5
1722008236280,5
1722008237154,5
1722008238168,5
1722008238963,5
1722008240027,5
1722008241856,5
1722008242890,5
1722008243635,5
1722008244641,5
1722008246251,5
1722008246446,5
1722008247314,5
1722008248297,5
1722008249169,5
1722008250108,5
1722008250893,5
1722008251826,5
1722008253489,5
1722008254523,5
1722008255374,5
1722008256376,5
1722008257227,5
1722008258494,5
1722008259560,5
1722008260555,5
1722008261416,5
1722008262450,5
1722008263696,5
1722008264753,5
1722008265544,5
1722008267014,5
1722008267792,5
1722008268822,5
1722008269651,5
1722008270677,5
1722008271536,5
1722008272538,5
1722008273390,5
1722008274427,5
1722008275316,5
1722008276579,5
1722008277654,5
1722008278653,5
1722008279510,5
1722008280544,5
1722008281706,8
1722008282696,3
1722008283549,3
1722008284569,3
1722008285400,3
1722008286422,3
1722008287207,3
1722008288684,3
1722008288889,3
1722008290537,3
1722008290749,3
1722008292692,3
1722008293552,3
1722008294542,3
1722008295269,3
1722008296245,3
1722008297114,3
1722008298141,3
1722008299649,3
1722008300658,3
1722008301476,3
1722008302513,3
1722008303719,3
1722008304752,3
1722008305602,3
1722008306633,3
1722008307453,3
1722008308478,3
1722008309220,3
1722008310699,3
1722008311517,3
1722008312550,3
1722008313409,3
1722008314706,3
1722008315469,3
1722008316445,3
1722008317241,3
1722008318254,3
1722008319131,3
1722008320113,3
1722008320940,3
1722008322891,3
1722008323785,3
1722008324786,3
1722008325583,3
1722008326422,3
1722008327057,3
1722008328617,3
1722008328906,3
1722008329848,3
1722008331549,3
1722008332579,3
1722008333402,3
1722008334648,3
1722008335728,3
1722008336761,3
1722008337667,3
1722008338614,3
1722008339473,3
1722008340506,3
1722008341712,3
