"Time","X","Y","Z"
1722008042485,-0.040793,-0.488164,0.871798
1722008042688,-0.040675,-0.48902,0.871323
1722008044681,-0.040916,-0.488746,0.871466
1722008045529,-0.041855,-0.490003,0.870716
1722008046554,-0.052566,-0.513678,0.856372
1722008047344,-0.049672,-0.530922,0.845964
1722008048149,-0.048537,-0.530998,0.845982
1722008048967,-0.048797,-0.53135,0.845746
1722008050583,-0.04923,-0.529964,0.84659
1722008051443,-0.049444,-0.531057,0.845892
1722008052476,-0.05004,-0.531255,0.845733
1722008053685,-0.049742,-0.530042,0.846512
1722008054591,-0.0509,-0.530791,0.845973
1722008055882,-0.044414,-0.544424,0.837634
1722008056915,-0.042538,-0.555525,0.830411
1722008057734,-0.041604,-0.556699,0.829672
1722008058767,-0.041706,-0.556284,0.829945
1722008060579,-0.042554,-0.556212,0.82995
1722008061441,-0.042834,-0.555872,0.830163
1722008062429,-0.042547,-0.556527,0.829739
1722008063323,-0.041492,-0.555739,0.830321
1722008064323,-0.041242,-0.562914,0.825486
1722008065174,-0.037789,-0.581669,0.812547
1722008066219,-0.036057,-0.588214,0.807901
1722008067286,-0.03679,-0.589099,0.807223
1722008068676,-0.036515,-0.589336,0.807063
1722008069569,-0.037508,-0.588075,0.807936
1722008070535,-0.03746,-0.589046,0.807231
1722008071388,-0.037378,-0.58804,0.807967
1722008072422,-0.037606,-0.587687,0.808214
1722008073717,-0.037492,-0.587903,0.808062
1722008074511,-0.037355,-0.587906,0.808066
1722008076002,-0.037818,-0.588889,0.807329
1722008077032,-0.038416,-0.588979,0.807235
1722008077852,-0.038038,-0.607901,0.793101
1722008078886,-0.037888,-0.614822,0.787755
1722008079707,-0.037853,-0.613397,0.788867
1722008081514,-0.037236,-0.613005,0.789201
1722008082702,-0.037935,-0.613408,0.788854
1722008084704,-0.037973,-0.613455,0.788817
1722008085434,-0.037622,-0.613593,0.788726
1722008086813,-0.037575,-0.613913,0.788479
1722008087632,-0.038087,-0.604649,0.795581
1722008088665,-0.037619,-0.586209,0.809286
1722008089484,-0.038275,-0.582589,0.811865
1722008090516,-0.038,-0.581485,0.812669
1722008091680,-0.037915,-0.581962,0.812332
1722008092714,-0.03797,-0.582021,0.812287
1722008093566,-0.038523,-0.582773,0.811721
1722008094565,-0.038583,-0.582888,0.811636
1722008095243,-0.038248,-0.583133,0.811476
1722008096266,-0.038469,-0.582708,0.81177
1722008097100,-0.03685,-0.564242,0.824787
1722008098447,-0.037753,-0.532085,0.845849
1722008099306,-0.036517,-0.53238,0.845718
1722008100297,-0.036404,-0.533343,0.845115
1722008101325,-0.035624,-0.534335,0.844522
1722008102321,-0.034968,-0.534242,0.844608
1722008103172,-0.034779,-0.533763,0.844919
1722008104217,-0.034761,-0.534786,0.844272
1722008105067,-0.034581,-0.535053,0.84411
1722008106265,-0.036043,-0.511953,0.858257
1722008107493,-0.037733,-0.46368,0.885199
1722008108528,-0.037638,-0.460123,0.887057
1722008109342,-0.037641,-0.45995,0.887147
1722008110377,-0.037838,-0.45982,0.887206
1722008111240,-0.037221,-0.460119,0.887077
1722008112574,-0.038015,-0.46029,0.886954
1722008113705,-0.037259,-0.460174,0.887047
1722008114731,-0.037745,-0.458467,0.88791
1722008115591,-0.039483,-0.422233,0.905627
1722008116580,-0.04097,-0.398011,0.916465
1722008117443,-0.040496,-0.396229,0.917258
1722008118479,-0.040402,-0.396432,0.917175
1722008119298,-0.040779,-0.396622,0.917076
1722008120590,-0.041327,-0.395696,0.917451
1722008121665,-0.041245,-0.396299,0.917195
1722008122699,-0.041357,-0.396018,0.917311
1722008123519,-0.042043,-0.395834,0.917359
1722008124562,-0.043065,-0.392436,0.91877
1722008125414,-0.043816,-0.370068,0.927971
1722008126447,-0.043615,-0.342203,0.938613
1722008127694,-0.04449,-0.339213,0.939657
1722008128409,-0.044573,-0.339103,0.939693
1722008129851,-0.044671,-0.339245,0.939637
1722008130886,-0.045103,-0.339048,0.939687
1722008131704,-0.0449,-0.33872,0.939815
1722008132739,-0.045117,-0.338892,0.939743
1722008133599,-0.045746,-0.338396,0.939891
1722008134586,-0.045575,-0.317609,0.947126
1722008135452,-0.045634,-0.269736,0.961852
1722008136486,-0.046452,-0.258704,0.964839
1722008137301,-0.046009,-0.25917,0.964735
1722008138477,-0.045887,-0.258244,0.964989
1722008139445,-0.046162,-0.259255,0.964705
1722008140706,-0.045882,-0.258786,0.964844
1722008141563,-0.046722,-0.258942,0.964762
1722008142560,-0.047202,-0.256404,0.965416
1722008143320,-0.046667,-0.212469,0.976053
1722008144254,-0.047015,-0.196219,0.979432
1722008145090,-0.046912,-0.192292,0.980216
1722008146107,-0.046826,-0.192897,0.980101
1722008146898,-0.04695,-0.19323,0.98003
1722008148265,-0.045573,-0.194556,0.979832
1722008149755,-0.045176,-0.195755,0.979612
1722008150702,-0.0434,-0.196543,0.979534
1722008151512,-0.042947,-0.196534,0.979556
1722008152469,-0.042879,-0.172616,0.984056
1722008153284,-0.04233,-0.108728,0.99317
1722008154254,-0.042149,-0.103327,0.993754
1722008155083,-0.041268,-0.102911,0.993834
1722008155980,-0.042007,-0.102689,0.993826
1722008156836,-0.041857,-0.103114,0.993788
1722008157782,-0.042235,-0.103891,0.993692
1722008159525,-0.042047,-0.103298,0.993761
1722008160480,-0.042105,-0.10316,0.993773
1722008161328,-0.041122,-0.103434,0.993786
1722008162290,-0.042109,-0.054879,0.997605
1722008163098,-0.043947,0.00254,0.999031
1722008163905,-0.044064,0.006938,0.999005
1722008164727,-0.044654,0.007596,0.998974
1722008166638,-0.044402,0.007426,0.998986
1722008167455,-0.044605,0.007316,0.998978
1722008168470,-0.045693,0.007993,0.998924
1722008169340,-0.045681,0.007693,0.998927
1722008170301,-0.045174,0.007917,0.998948
1722008171195,-0.045586,0.00805,0.998928
1722008172110,-0.046431,0.017987,0.99876
1722008173621,-0.047521,0.06853,0.996517
1722008174651,-0.047884,0.106113,0.993201
1722008175632,-0.047509,0.105242,0.993311
1722008176562,-0.048315,0.107666,0.993012
1722008177410,-0.049231,0.10801,0.99293
1722008178442,-0.048086,0.107311,0.993062
1722008179292,-0.049519,0.107631,0.992957
1722008180563,-0.049192,0.107959,0.992938
1722008181632,-0.048688,0.108306,0.992925
1722008182666,-0.049945,0.132513,0.989922
1722008183485,-0.046123,0.177066,0.983118
1722008184473,-0.047366,0.17775,0.982935
1722008185293,-0.047708,0.177154,0.983026
1722008186593,-0.046722,0.176079,0.983267
1722008187662,-0.046695,0.175455,0.983379
1722008188699,-0.047007,0.174556,0.983525
1722008189517,-0.045194,0.17496,0.983538
1722008190551,-0.044747,0.17445,0.983649
1722008191712,-0.045023,0.220444,0.97436
1722008192704,-0.044463,0.246527,0.968115
1722008193562,-0.045507,0.248343,0.967603
1722008194603,-0.043915,0.249898,0.967276
1722008195449,-0.044733,0.250754,0.967017
1722008196472,-0.045724,0.249553,0.967281
1722008197303,-0.044414,0.250673,0.967052
1722008198283,-0.043409,0.25075,0.967078
1722008198853,-0.044897,0.27936,0.959136
1722008200503,-0.042541,0.339741,0.939556
1722008201363,-0.04224,0.345287,0.937546
1722008202696,-0.041991,0.345573,0.937452
1722008203336,-0.041718,0.3455,0.937491
1722008204939,-0.04194,0.345345,0.937538
1722008205757,-0.041986,0.345418,0.937509
1722008206745,-0.042435,0.345417,0.93749
1722008207651,-0.04162,0.353481,0.934516
1722008208601,-0.040076,0.419223,0.906998
1722008209503,-0.038021,0.441649,0.896382
1722008210536,-0.038337,0.442309,0.896043
1722008210744,-0.03772,0.441454,0.896491
1722008212693,-0.037579,0.441325,0.89656
1722008213499,-0.037622,0.441974,0.896239
1722008214523,-0.037645,0.442139,0.896156
1722008215351,-0.038244,0.442267,0.896068
1722008216375,-0.037116,0.441963,0.896265
1722008217163,-0.036987,0.445163,0.894685
1722008218681,-0.036675,0.488361,0.871871
1722008218882,-0.036763,0.491074,0.870342
1722008220534,-0.036879,0.491701,0.869983
1722008221697,-0.037489,0.491265,0.870203
1722008222729,-0.036617,0.490505,0.870669
1722008223496,-0.036387,0.489957,0.870987
1722008224521,-0.036214,0.485447,0.873516
1722008225264,-0.035842,0.489805,0.871095
1722008226867,-0.036669,0.503149,0.863421
1722008227106,-0.036852,0.509296,0.859802
1722008228674,-0.03654,0.518407,0.854353
1722008229535,-0.035809,0.517894,0.854695
1722008229860,-0.034291,0.518989,0.854093
1722008230769,-0.036371,0.518832,0.854102
1722008232681,-0.036576,0.51739,0.854968
1722008233585,-0.036632,0.519557,0.85365
1722008234491,-0.034997,0.517212,0.855141
1722008235296,-0.03782,0.519643,0.853546
1722008236280,-0.035531,0.558054,0.829044
1722008237154,-0.037086,0.569478,0.821169
1722008238168,-0.037438,0.57249,0.819057
1722008238963,-0.036286,0.573175,0.81863
1722008240027,-0.0367,0.572744,0.818912
1722008241856,-0.036934,0.573185,0.818593
1722008242890,-0.036152,0.572943,0.818798
1722008243635,-0.035336,0.574522,0.817726
1722008244641,-0.035397,0.573197,0.818653
1722008246251,-0.035655,0.572615,0.819049
1722008246446,-0.036479,0.580436,0.813489
1722008247314,-0.037316,0.626284,0.778702
1722008248297,-0.038424,0.627928,0.777323
1722008249169,-0.036204,0.629699,0.775995
1722008250108,-0.036997,0.628091,0.77726
1722008250893,-0.037545,0.627755,0.777505
1722008251826,-0.035147,0.629349,0.776328
1722008253489,-0.037011,0.628232,0.777145
1722008254523,-0.036126,0.627372,0.777882
1722008255374,-0.037719,0.628217,0.777123
1722008256376,-0.041313,0.628395,0.776797
1722008257227,-0.042804,0.634753,0.771529
1722008258494,-0.041901,0.635564,0.770911
1722008259560,-0.041552,0.634987,0.771405
1722008260555,-0.042155,0.634422,0.771837
1722008261416,-0.041807,0.63473,0.771603
1722008262450,-0.040829,0.634555,0.771799
1722008263696,-0.041118,0.634512,0.771819
1722008264753,-0.040665,0.634548,0.771813
1722008265544,-0.046922,0.626281,0.778184
1722008267014,-0.046613,0.631991,0.773572
1722008267792,-0.047214,0.631824,0.773673
1722008268822,-0.046899,0.631659,0.773826
1722008269651,-0.045791,0.631596,0.773944
1722008270677,-0.045541,0.631301,0.774199
1722008271536,-0.045224,0.630639,0.774758
1722008272538,-0.044763,0.630609,0.774809
1722008273390,-0.045186,0.630276,0.775055
1722008274427,-0.046295,0.631988,0.773594
1722008275316,-0.041373,0.624759,0.779721
1722008276579,-0.041775,0.624044,0.780272
1722008277654,-0.041326,0.624847,0.779653
1722008278653,-0.041686,0.624431,0.779967
1722008279510,-0.042523,0.624084,0.780199
1722008280544,-0.042814,0.624379,0.779947
1722008281706,0,0,0
1722008282696,-0.011537,0.852097,0.523257
1722008283549,-0.011404,0.864412,0.502655
1722008284569,-0.011317,0.86421,0.503005
1722008285400,-0.010238,0.863971,0.503438
1722008286422,-0.009903,0.863416,0.504395
1722008287207,-0.009441,0.863649,0.504006
1722008288684,-0.009654,0.863193,0.504781
1722008288889,-0.009022,0.863192,0.504795
1722008290537,-0.008713,0.862977,0.505168
1722008290749,-0.009168,0.890314,0.455255
1722008292692,-0.009656,0.914478,0.40452
1722008293552,-0.009165,0.915945,0.401199
1722008294542,-0.008821,0.915437,0.402364
1722008295269,-0.009046,0.915675,0.401817
1722008296245,-0.008424,0.915578,0.402052
1722008297114,-0.008935,0.915702,0.40176
1722008298141,-0.008216,0.915339,0.402599
1722008299649,-0.008443,0.915323,0.402632
1722008300658,-0.008257,0.915228,0.402851
1722008301476,-0.009374,0.936689,0.350038
1722008302513,-0.010002,0.954167,0.299108
1722008303719,-0.009186,0.957042,0.289805
1722008304752,-0.009194,0.956815,0.290553
1722008305602,-0.009241,0.956697,0.29094
1722008306633,-0.00932,0.956452,0.291741
1722008307453,-0.008895,0.956547,0.291444
