"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1722008042397,0,0,0,0,0,0,-0.048595,-0.95226,0.301397,0,0,0,0,0,0,-0.040793,-0.488164,0.871798
1722008043434,0,0,0,0,0,0,-0.048883,-0.952153,0.301687,0,0,0,0,0,0,-0.040675,-0.48902,0.871323
1722008044553,0,0,0,0,0,0,-0.048889,-0.952315,0.301173,0,0,0,0,0,0,-0.040916,-0.488746,0.871466
1722008045817,0,0,0,0,0,0,-0.048658,-0.950859,0.305776,0,0,0,0,0,0,-0.041855,-0.490003,0.870716
1722008047436,0,0,0,0,0,0,-0.046048,-0.916247,0.39796,0,0,0,0,0,0,-0.049672,-0.530922,0.845964
1722008048601,0,0,0,0,0,0,-0.046132,-0.913732,0.40369,0,0,0,0,0,0,-0.048537,-0.530998,0.845982
1722008049379,0,0,0,0,0,0,-0.045891,-0.913965,0.403189,0,0,0,0,0,0,-0.048797,-0.53135,0.845746
1722008050455,0,0,0,0,0,0,-0.046221,-0.913712,0.403724,0,0,0,0,0,0,-0.04923,-0.529964,0.84659
1722008051228,0,0,0,0,0,0,-0.045082,-0.914066,0.403052,0,0,0,0,0,0,-0.049444,-0.531057,0.845892
1722008052261,0,0,0,0,0,0,-0.045716,-0.914325,0.402392,0,0,0,0,0,0,-0.05004,-0.531255,0.845733
1722008053598,0,0,0,0,0,0,-0.045587,-0.914203,0.402685,0,0,0,0,0,0,-0.049742,-0.530042,0.846512
1722008054760,0,0,0,0,0,0,-0.045132,-0.914353,0.402395,0,0,0,0,0,0,-0.0509,-0.530791,0.845973
1722008055749,0,0,0,0,0,0,-0.044085,-0.886196,0.461208,0,0,0,0,0,0,-0.044414,-0.544424,0.837634
1722008056874,0,0,0,0,0,0,-0.043543,-0.873683,0.484543,0,0,0,0,0,0,-0.042538,-0.555525,0.830411
1722008057655,0,0,0,0,0,0,-0.043604,-0.873314,0.485202,0,0,0,0,0,0,-0.041604,-0.556699,0.829672
1722008058726,0,0,0,0,0,0,-0.043584,-0.873697,0.484514,0,0,0,0,0,0,-0.041706,-0.556284,0.829945
1722008062213,0,0,0,0,0,0,-0.043561,-0.873545,0.484791,0,0,0,0,0,0,-0.042547,-0.556527,0.829739
1722008063120,0,0,0,0,0,0,-0.043492,-0.873859,0.48423,0,0,0,0,0,0,-0.041492,-0.555739,0.830321
1722008064929,0,0,0,0,0,0,-0.041893,-0.852042,0.521794,0,0,0,0,0,0,-0.037789,-0.581669,0.812547
1722008067169,0,0,0,0,0,0,-0.040342,-0.840879,0.539717,0,0,0,0,0,0,-0.03679,-0.589099,0.807223
1722008068548,0,0,0,0,0,0,-0.040296,-0.841147,0.539303,0,0,0,0,0,0,-0.036515,-0.589336,0.807063
1722008069367,0,0,0,0,0,0,-0.039643,-0.84154,0.538738,0,0,0,0,0,0,-0.037508,-0.588075,0.807936
1722008071260,0,0,0,0,0,0,-0.0399,-0.841333,0.539042,0,0,0,0,0,0,-0.037378,-0.58804,0.807967
1722008072340,0,0,0,0,0,0,-0.039791,-0.841757,0.538388,0,0,0,0,0,0,-0.037606,-0.587687,0.808214
1722008073630,0,0,0,0,0,0,-0.039284,-0.842408,0.537406,0,0,0,0,0,0,-0.037492,-0.587903,0.808062
1722008074834,0,0,0,0,0,0,-0.039697,-0.842353,0.537462,0,0,0,0,0,0,-0.037355,-0.587906,0.808066
1722008075749,0,0,0,0,0,0,-0.03943,-0.841976,0.538072,0,0,0,0,0,0,-0.037818,-0.588889,0.807329
1722008076863,0,0,0,0,0,0,-0.03918,-0.840972,0.539658,0,0,0,0,0,0,-0.038416,-0.588979,0.807235
1722008077725,0,0,0,0,0,0,-0.037842,-0.829569,0.55712,0,0,0,0,0,0,-0.038038,-0.607901,0.793101
1722008078845,0,0,0,0,0,0,-0.036866,-0.826703,0.56143,0,0,0,0,0,0,-0.037888,-0.614822,0.787755
1722008079620,0,0,0,0,0,0,-0.036391,-0.824851,0.564178,0,0,0,0,0,0,-0.037853,-0.613397,0.788867
1722008080567,0,0,0,0,0,0,-0.036093,-0.825155,0.563753,0,0,0,0,0,0,-0.037693,-0.613289,0.788959
1722008081386,0,0,0,0,0,0,-0.036457,-0.824932,0.564056,0,0,0,0,0,0,-0.037236,-0.613005,0.789201
1722008082421,0,0,0,0,0,0,-0.036881,-0.824721,0.564335,0,0,0,0,0,0,-0.037856,-0.613463,0.788815
1722008083106,0,0,0,0,0,0,-0.036716,-0.824728,0.564336,0,0,0,0,0,0,-0.037935,-0.613408,0.788854
1722008084530,0,0,0,0,0,0,-0.03663,-0.825069,0.563844,0,0,0,0,0,0,-0.037973,-0.613455,0.788817
1722008085485,0,0,0,0,0,0,-0.036613,-0.824954,0.564013,0,0,0,0,0,0,-0.037622,-0.613593,0.788726
