"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722011531160,-0.014916,0.017134,0.034089
1722011533370,0.018198,0.029034,0.027793
1722011535165,0.012219,0.02028,0.025438
1722011536971,-0.001939,0.027359,0.012853
1722011538801,0.012612,0.027359,0.022292
1722011540567,-0.043624,0.047808,0.006561
1722011543263,0.016151,0.041123,2.962291
1722011545024,0.036994,0.027359,0.019539
1722011546838,0.010252,0.002976,0.035269
1722011548809,0.008286,0.007302,0.036842
1722011550655,0.046825,0.001403,1.556786
1722011552465,0.010252,0.011628,0.037629
1722011554835,0.005533,0.00219,0.039595
1722011556639,0.049971,0.002583,0.039595
1722011559372,-0.0275,-0.010787,0.024258
1722011561006,0.00632,0.003763,0.01128
1722011562808,0.002289,0.002387,0.017054
1722011564624,0.092443,-0.055226,5.186955
1722011567265,0.026376,0.00219,0.027011
1722011569083,0.007893,-0.004889,0.034089
1722011570890,0.02205,0.007302,0.020325
1722011573156,0.003567,-0.004102,0.292067
1722011575572,-0.007837,0.004943,0.033303
1722011577211,0.052331,-0.015506,0.051393
1722011578992,0.034634,-0.020225,3.082235
1722011580800,0.02323,0.00573,0.023078
1722011582636,0.008286,0.01792,0.019539
1722011585347,0.084185,-0.0509,7.109595
1722011586944,0.001601,-0.008821,0.019932
1722011589138,0.009859,0.006123,0.021505
1722011590921,0.011039,0.007303,0.029764
1722011592781,0.022443,-0.002922,0.411224
1722011595259,-0.005871,0.006909,0.020719
1722011596392,0.071601,-0.03399,3.891169
1722011598984,0.019691,-0.021799,0.003022
1722011600833,0.032668,-0.030843,0.036056
1722011602622,-0.012427,0.029035,0.411997
1722011605297,0.00514,0.000617,0.023471
1722011607012,-0.001545,-0.022978,0.013247
1722011609129,0.012612,-0.002922,0.02937
1722011610953,0.003084,0.010739,0.014668
1722011612762,-0.001545,-0.004888,0.041561
1722011614571,0.056656,-0.012754,3.18409
1722011617271,-0.010984,0.037191,0.018359
