"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722011531160,-14.872387,6.990891,-38.426449
1722011533370,-14.876472,6.986696,-38.426327
1722011535165,-15.011598,6.932701,-38.258427
1722011536971,-15.01316,6.939209,-38.251614
1722011538801,-15.016327,6.943862,-38.250393
1722011540567,-14.934393,6.982087,-38.356686
1722011543263,-14.927879,6.882885,-38.354206
1722011545024,-14.892759,5.659431,-38.28347
1722011546838,-15.005564,5.71123,-38.197575
1722011548809,-14.926019,5.752614,-38.148487
1722011550655,-14.831873,4.741718,-38.120132
1722011552465,-14.895611,4.641369,-38.152042
1722011554835,-14.904961,4.638344,-38.14658
1722011556639,-14.856155,4.634639,-38.10247
1722011559372,-14.666518,3.558523,-38.066139
1722011561006,-14.710615,3.535539,-38.10767
1722011562808,-14.669431,3.537124,-38.123009
1722011564624,-14.532369,3.080575,-38.051998
1722011567265,-14.389758,2.458339,-38.040596
1722011569083,-14.411338,2.444672,-38.116482
1722011570890,-14.350521,2.439844,-38.050468
1722011573156,-14.012933,1.470399,-38.021843
1722011575572,-14.00861,1.512514,-38.27631
1722011577211,-14.044973,1.512062,-38.064278
1722011578992,-13.658947,0.633743,-38.02829
1722011580800,-13.609468,0.530518,-38.061256
1722011582636,-13.624769,0.507528,-38.057503
1722011585347,-13.420709,0.14633,-38.000473
1722011586944,-13.037398,-0.516845,-37.998802
1722011589138,-13.064075,-0.515867,-38.06749
1722011590921,-13.028195,-0.518365,-38.01265
1722011592781,-12.448776,-1.36346,-38.021187
1722011595259,-12.439791,-1.401752,-38.020184
1722011596392,-12.284484,-1.611038,-38.021244
1722011598984,-11.809891,-2.185242,-38.041641
1722011600833,-11.802034,-2.176836,-38.043499
1722011602622,-11.013352,-2.984021,-38.082432
1722011605297,-11.004895,-3.009623,-38.197048
1722011607012,-11.008638,-3.007805,-38.141045
1722011609129,-11.026958,-3.132935,-38.178459
1722011610953,-11.050454,-3.218256,-38.258823
1722011612762,-10.978875,-3.234812,-38.349461
1722011614571,-10.41785,-3.700417,-38.381966
1722011617271,-10.156514,-3.870765,-38.312733
1722011619047,-10.126007,-3.92997,-38.408947
1722011620862,-10.343687,-3.821654,-38.577053
1722011622705,-10.323458,-3.75521,-38.534668
1722011624505,-10.180401,-3.683408,-38.358795
1722011627179,-10.176657,-3.665996,-38.169479
1722011628955,-10.839084,-3.089174,-38.149319
1722011630813,-10.92686,-3.03036,-38.142086
1722011632613,-10.949015,-3.003029,-38.190205
1722011635192,-10.927238,-2.996823,-38.1408
1722011637077,-10.113987,-3.678731,-38.165401
1722011638819,-10.11774,-3.707371,-38.149742
1722011640632,-10.114482,-3.705961,-38.14016
1722011642657,-9.348446,-4.215909,-38.185246
1722011645140,-9.214695,-4.284065,-38.199764
1722011647450,-9.203064,-4.292385,-38.191063
1722011649233,-8.612201,-4.621847,-38.222321
1722011651688,-8.355701,-4.741543,-38.242039
1722011652855,-8.356362,-4.733373,-38.248547
1722011654626,-7.384483,-5.112647,-38.302357
1722011656985,-7.386479,-5.098242,-38.394222
1722011658811,-7.397639,-5.09936,-38.384724
1722011661467,-6.444753,-5.358016,-38.527496
1722011663190,-6.429158,-5.411665,-38.501526
1722011664975,-6.430114,-5.390863,-38.538338
1722011666785,-5.557858,-5.605743,-38.482285
1722011669135,-5.47395,-5.608892,-38.498856
1722011670962,-5.496691,-5.554144,-38.510212
1722011672719,-4.533328,-5.633228,-38.573711
1722011675039,-4.512565,-5.693525,-38.544144
1722011677082,-4.483116,-5.799461,-38.511486
1722011679217,-4.436032,-5.806834,-38.524448
1722011680995,-4.260507,-5.921773,-38.657665
1722011682810,-3.22776,-5.870441,-38.747353
1722011684574,-3.232502,-5.915536,-38.771633
1722011687357,-2.72522,-5.899742,-38.875092
1722011689380,-2.330472,-5.800192,-38.888153
1722011690921,-2.345274,-5.819804,-38.875576
1722011692759,-1.346362,-5.530541,-38.952747
1722011694536,-1.390424,-5.415776,-38.803284
1722011696776,-1.338134,-5.477701,-38.924068
1722011698556,-0.424465,-5.11755,-38.929382
1722011701359,-0.511847,-4.998,-38.863194
1722011703166,-0.477629,-5.021977,-38.858021
1722011704930,0.534516,-4.495574,-38.910885
1722011707113,0.488358,-4.45336,-38.913181
1722011708950,0.537761,-4.488713,-38.911087
1722011711071,1.353897,-3.943865,-38.951614
1722011713116,1.358652,-3.942014,-38.949318
1722011715124,1.372546,-3.946375,-38.954391
1722011717340,1.973896,-3.450793,-38.983688
1722011719149,1.971828,-3.476179,-38.987808
1722011720902,1.958182,-3.464509,-38.981609
1722011722682,2.603298,-2.842561,-39.013477
1722011724533,2.604035,-2.845261,-39.014668
1722011726950,3.089547,-2.323229,-39.045086
1722011729014,3.341936,-2.045261,-39.070732
1722011731091,3.401182,-2.149127,-39.209747
1722011732852,3.488817,-2.126583,-39.416618
1722011734615,4.030738,-1.442114,-39.446999
1722011736582,4.024756,-1.429894,-39.426876
1722011738748,4.191856,-1.175339,-39.439278
1722011741163,4.529892,-0.611151,-39.46109
1722011742913,4.529388,-0.622874,-39.484306
1722011745337,5.031208,0.30634,-39.493797
1722011746892,5.042273,0.313053,-39.323425
1722011748699,5.036125,0.307714,-39.35154
1722011750879,5.469923,1.305286,-39.378735
1722011752640,5.442734,1.280955,-39.501488
1722011754470,5.446785,1.267472,-39.587971
1722011756906,5.78894,2.224933,-39.650845
1722011758673,5.702196,2.281637,-39.345779
1722011761234,5.768076,2.177145,-39.668049
1722011762786,6.064428,3.175088,-39.673637
1722011765023,5.920886,3.289663,-39.341843
1722011766809,6.045231,3.16992,-39.674011
1722011768584,6.242419,4.129806,-39.729927
1722011770886,6.14983,4.189878,-39.446911
1722011773384,6.237016,4.166303,-39.710453
1722011774964,6.343524,5.167002,-39.766956
1722011776701,6.234064,5.264703,-39.446541
1722011780763,6.402642,6.225631,-39.815823
1722011783168,6.279979,6.306549,-39.457947
