"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722011531160,0.999999,0.000084,0.001266,0.00124
1722011533370,0.999997,0.000507,0.001686,0.001715
1722011535165,0.999995,0.000555,0.002098,0.002159
1722011536971,0.999993,0.000748,0.002518,0.002613
1722011538801,0.99999,0.001036,0.003098,0.003074
1722011540567,0.999987,0.000768,0.003743,0.003303
1722011543263,0.99956,0.000989,0.004293,0.029337
1722011545024,0.999254,0.001889,0.004587,0.038314
1722011546838,0.999234,0.001877,0.004792,0.038789
1722011548809,0.999213,0.001895,0.004861,0.039329
1722011550655,0.996209,0.002829,0.004693,0.086824
1722011552465,0.996166,0.003472,0.004731,0.087287
1722011554835,0.996112,0.003665,0.004722,0.087889
1722011556639,0.996059,0.004029,0.004697,0.088476
1722011559372,0.989755,0.004765,0.004098,0.142641
1722011561006,0.989704,0.004694,0.004166,0.142989
1722011562808,0.989644,0.004897,0.004355,0.143396
1722011564624,0.982075,0.005581,0.003742,0.18837
1722011567265,0.98151,0.005805,0.003819,0.191284
1722011569083,0.981417,0.006159,0.003753,0.191752
1722011570890,0.981312,0.006163,0.003848,0.192286
1722011573156,0.969807,0.007268,0.003389,0.24374
1722011575572,0.969667,0.007096,0.003459,0.244302
1722011577211,0.9695,0.007914,0.003376,0.24494
1722011578992,0.955943,0.008658,0.002921,0.293409
1722011580800,0.955819,0.009172,0.003014,0.293799
1722011582636,0.955731,0.009416,0.003159,0.294074
1722011585347,0.935547,0.010599,0.002422,0.353034
1722011586944,0.935218,0.010965,0.00237,0.353895
1722011589138,0.935069,0.011182,0.002522,0.354281
1722011590921,0.934867,0.011461,0.002588,0.354804
1722011592781,0.919957,0.012213,0.002019,0.391824
1722011595259,0.919667,0.012227,0.002009,0.392504
1722011596392,0.905683,0.012713,0.00166,0.423762
1722011598984,0.900326,0.013199,0.001215,0.435014
1722011600833,0.900132,0.013378,0.001219,0.435409
1722011602622,0.884806,0.014269,0.000643,0.465741
1722011605297,0.884581,0.014404,0.000697,0.466164
1722011607012,0.884417,0.014586,0.000549,0.466468
1722011609129,0.884174,0.014848,0.000707,0.466922
1722011610953,0.883969,0.015147,0.000979,0.467299
1722011612762,0.883724,0.015191,0.001095,0.46776
1722011614571,0.866447,0.01594,0.000763,0.499014
1722011617271,0.866316,0.016073,0.000804,0.499238
1722011619047,0.86615,0.016459,0.000953,0.499513
1722011620862,0.865853,0.016542,0.001261,0.500023
1722011622705,0.865702,0.016549,0.001419,0.500285
1722011624505,0.865468,0.016444,0.001553,0.500693
1722011627179,0.865633,0.016446,0.001596,0.500406
1722011628955,0.887575,0.01548,0.002729,0.460396
1722011630813,0.887396,0.014657,0.003701,0.460761
1722011632613,0.887056,0.014882,0.004061,0.461403
1722011635192,0.886843,0.014629,0.004649,0.461816
1722011637077,0.876819,0.014381,0.004924,0.48058
1722011638819,0.876688,0.013468,0.006247,0.48083
1722011640632,0.876519,0.01347,0.006701,0.481133
1722011642657,0.855014,0.014424,0.006712,0.518361
