"Time","X","Y","Z"
1722011531160,0.99393,0.031191,-0.105504
1722011533370,0.993957,0.03135,-0.105198
1722011535165,0.994395,0.027901,-0.101982
1722011536971,0.994398,0.027908,-0.101947
1722011538801,0.994402,0.027612,-0.101995
1722011540567,0.99445,0.027563,-0.10154
1722011543263,0.994429,0.026879,-0.101929
1722011545024,0.987186,0.124001,-0.100441
1722011546838,0.986996,0.125218,-0.100797
1722011548809,0.986879,0.125606,-0.101453
1722011550655,0.982424,0.156596,-0.101588
1722011552465,0.96854,0.227916,-0.099923
1722011554835,0.968284,0.228651,-0.100719
1722011556639,0.967966,0.229685,-0.10142
1722011559372,0.949581,0.297425,-0.099164
1722011561006,0.936967,0.335635,-0.097168
1722011562808,0.938536,0.331997,-0.094495
1722011564624,0.938508,0.332127,-0.094312
1722011567265,0.901566,0.422833,-0.091604
1722011569083,0.901137,0.423748,-0.091598
1722011570890,0.901,0.424078,-0.091415
1722011573156,0.868396,0.487609,-0.090139
1722011575572,0.864623,0.494161,-0.090725
1722011577211,0.864623,0.49419,-0.090571
1722011578992,0.852374,0.515178,-0.089725
1722011580800,0.838382,0.538003,-0.087571
1722011582636,0.838381,0.537958,-0.087857
1722011585347,0.837997,0.538531,-0.088005
1722011586944,0.80775,0.583052,-0.087125
1722011589138,0.808071,0.582536,-0.087596
1722011590921,0.808119,0.582371,-0.088248
1722011592781,0.809829,0.57965,-0.090456
1722011595259,0.623936,0.778908,-0.06329
1722011596392,0.623672,0.779111,-0.063402
1722011598984,0.602972,0.79526,-0.063147
1722011600833,0.601767,0.796148,-0.063443
1722011602622,0.594924,0.801369,-0.062234
1722011605297,0.588597,0.806075,-0.061619
1722011607012,0.588406,0.806192,-0.061913
1722011609129,0.588002,0.806471,-0.062123
1722011610953,0.589108,0.805747,-0.061029
1722011612762,0.589996,0.805075,-0.061311
1722011614571,0.586293,0.807791,-0.061114
1722011617271,0.555527,0.829284,-0.06065
1722011619047,0.555785,0.829087,-0.060971
1722011620862,0.55547,0.829315,-0.060735
1722011622705,0.554343,0.830009,-0.061553
1722011624505,0,0,0
1722011627179,0.553982,0.830235,-0.061763
1722011628955,0.570836,0.818705,-0.062193
1722011630813,0.587124,0.807031,-0.063135
1722011632613,0.587206,0.806972,-0.063122
1722011635192,0.586091,0.807714,-0.063997
1722011637077,0.579038,0.812762,-0.06429
1722011638819,0.546524,0.834992,-0.064029
1722011640632,0.545603,0.835558,-0.064498
1722011642657,0.526318,0.847919,-0.063426
1722011645140,0.483777,0.872789,-0.064811
1722011647450,0.483407,0.873049,-0.064059
1722011649233,0.475651,0.877229,-0.065007
1722011651688,0.394424,0.916488,-0.066925
1722011652855,0.394518,0.916465,-0.066687
1722011654626,0.307719,0.949025,-0.06827
1722011656985,0.281584,0.957031,-0.069303
1722011658811,0.281899,0.956975,-0.068793
1722011661467,0.238063,0.968775,-0.069294
1722011663190,0.185763,0.979974,-0.071718
1722011664975,0.185265,0.980066,-0.071742
1722011666785,0.133103,0.988413,-0.07296
1722011669135,0.105134,0.991637,-0.074851
1722011670962,0.104249,0.991577,-0.076852
1722011672719,0.076341,0.994185,-0.075948
1722011675039,0.040513,0.996193,-0.077184
1722011677082,0,0,0
1722011679217,0.041503,0.996302,-0.075236
1722011680995,0.041934,0.996337,-0.074524
1722011682810,-0.023643,0.996879,-0.075324
1722011684574,-0.033458,0.996579,-0.075569
1722011687357,-0.034559,0.996536,-0.075639
1722011689380,-0.089745,0.993084,-0.0757
1722011690921,-0.088557,0.993151,-0.076211
1722011692759,-0.129567,0.988613,-0.076535
1722011694536,-0.172224,0.982145,-0.075704
1722011696776,-0.171891,0.982218,-0.075512
1722011698556,-0.264524,0.96155,-0.073817
1722011701359,-0.26839,0.960429,-0.074459
1722011703166,-0.268285,0.960435,-0.074746
1722011704930,-0.362923,0.928837,-0.074494
1722011707113,-0.395184,0.915591,-0.074324
