"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1722011530940,0,0,0,0,0,0,0,0,0,0.99393,0.031191,-0.105504,0,0,0,0,0,0
1722011532149,0,0,0,0,0,0,0,0,0,0.993941,0.031129,-0.10541,0,0,0,0,0,0
1722011533444,0,0,0,0,0,0,0,0,0,0.993957,0.03135,-0.105198,0,0,0,0,0,0
1722011534283,0,0,0,0,0,0,0,0,0,0.994142,0.029887,-0.10387,0,0,0,0,0,0
1722011535379,0,0,0,0,0,0,0,0,0,0.994395,0.027901,-0.101982,0,0,0,0,0,0
1722011536097,0,0,0,0,0,0,0,0,0,0.994361,0.027909,-0.102311,0,0,0,0,0,0
1722011537187,0,0,0,0,0,0,0,0,0,0.994398,0.027908,-0.101947,0,0,0,0,0,0
1722011537920,0,0,0,0,0,0,0,0,0,0.994405,0.027735,-0.101931,0,0,0,0,0,0
1722011539000,0,0,0,0,0,0,0,0,0,0.994402,0.027612,-0.101995,0,0,0,0,0,0
1722011539733,0,0,0,0,0,0,0,0,0,0.99445,0.02732,-0.101598,0,0,0,0,0,0
1722011540809,0,0,0,0,0,0,0,0,0,0.99445,0.027563,-0.10154,0,0,0,0,0,0
1722011541798,0,0,0,0,0,0,0,0,0,0.994464,0.027068,-0.101528,0,0,0,0,0,0
1722011543048,0,0,0,0,0,0,0,0,0,0.994429,0.026879,-0.101929,0,0,0,0,0,0
1722011543917,0,0,0,0,0,0,0,0,0,0.992554,0.067737,-0.101237,0,0,0,0,0,0
1722011549162,0,0,0,0,0,0,0,0,0,0.986879,0.125606,-0.101453,0,0,0,0,0,0
1722011549941,0,0,0,0,0,0,0,0,0,0.986806,0.125557,-0.102222,0,0,0,0,0,0
1722011550974,0,0,0,0,0,0,0,0,0,0.982424,0.156596,-0.101588,0,0,0,0,0,0
1722011551619,0,0,0,0,0,0,0,0,0,0.968773,0.22691,-0.099953,0,0,0,0,0,0
1722011552868,0,0,0,0,0,0,0,0,0,0.96854,0.227916,-0.099923,0,0,0,0,0,0
1722011553732,0,0,0,0,0,0,0,0,0,0.968262,0.228633,-0.100978,0,0,0,0,0,0
1722011554939,0,0,0,0,0,0,0,0,0,0.968284,0.228651,-0.100719,0,0,0,0,0,0
1722011555726,0,0,0,0,0,0,0,0,0,0.968359,0.228061,-0.101333,0,0,0,0,0,0
1722011556791,0,0,0,0,0,0,0,0,0,0.967966,0.229685,-0.10142,0,0,0,0,0,0
1722011557610,0,0,0,0,0,0,0,0,0,0.967936,0.229848,-0.101338,0,0,0,0,0,0
1722011558988,0,0,0,0,0,0,0,0,0,0.949581,0.297425,-0.099164,0,0,0,0,0,0
1722011559889,0,0,0,0,0,0,0,0,0,0.936945,0.335488,-0.097882,0,0,0,0,0,0
1722011561142,0,0,0,0,0,0,0,0,0,0.936967,0.335635,-0.097168,0,0,0,0,0,0
1722011561894,0,0,0,0,0,0,0,0,0,0.937986,0.333439,-0.094869,0,0,0,0,0,0
1722011562950,0,0,0,0,0,0,0,0,0,0.938536,0.331997,-0.094495,0,0,0,0,0,0
1722011563752,0,0,0,0,0,0,0,0,0,0.938506,0.332162,-0.094204,0,0,0,0,0,0
1722011564804,0,0,0,0,0,0,0,0,0,0.938508,0.332127,-0.094312,0,0,0,0,0,0
1722011565879,0,0,0,0,0,0,0,0,0,0.909607,0.405035,-0.092532,0,0,0,0,0,0
1722011566999,0,0,0,0,0,0,0,0,0,0.901566,0.422833,-0.091604,0,0,0,0,0,0
1722011570940,0,0,0,0,0,0,0,0,0,0.901,0.424078,-0.091415,0,0,0,0,0,0
1722011572168,0,0,0,0,0,0,0,0,0,0.901089,0.423881,-0.091455,0,0,0,0,0,0
