"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722005915829,5.894971,0.09264,0.039595
1722005916568,1.856207,0.043482,0.009707
1722005917682,-0.014916,0.053707,-0.03827
1722005919487,0.001994,-0.005282,-0.002091
1722005920230,-0.008231,0.03837,-0.00445
1722005921383,0.009466,0.034438,-0.020967
1722005922079,0.000814,0.029718,0.009707
1722005923240,0.004747,0.072584,-0.020967
1722005925220,3.532275,0.043875,0.008528
1722005925914,0.21514,-0.015113,0.022685
1722005927068,0.030308,0.002584,0.013247
1722005928239,0.034634,0.030112,-0.007989
1722005929358,0.009466,0.030505,-0.009169
1722005930135,0.001601,-0.005675,0.006954
1722005931724,0.134915,-0.055619,0.021898
1722005932463,3.672668,-0.03045,0.041561
1722005933617,-0.018062,0.036797,-0.030405
1722005934300,0.026769,-0.048934,0.0101
1722005935437,0.001207,-0.033596,0.003808
1722005936062,0.001601,0.026965,-0.013102
1722005937759,0.006713,-0.008821,-0.022147
1722005937882,0.002387,0.018313,-0.02372
1722005939655,0.00278,-0.008035,-0.007203
1722005939776,0.172668,-0.029271,0.019146
1722005940857,3.110528,0.036989,-0.000844
1722005941620,0.092443,0.047809,-0.028439
1722005943570,0.003174,-0.042248,0.006955
1722005944135,0.001994,0.051348,-0.04181
1722005945081,0.003174,-0.018259,0.01482
1722005946508,0.010645,-0.06663,0.038022
1722005947584,0.001096,0,0.008702
1722005948404,0.033061,-0.033989,0.017179
1722005949516,3.629016,0.046235,0.01482
1722005950254,1.303287,-0.001349,0.015606
1722005951420,-0.018456,0.013595,-0.011529
1722005952150,-0.001546,0.033258,-0.022147
1722005953530,-0.000759,-0.011181,-0.002091
1722005954560,0.02441,-0.024551,0.012067
1722005955598,0.028342,0.021066,-0.012315
1722005956370,3.657799,0.032216,0.032168
1722005957446,1.772443,0.017921,0.025831
1722005958610,-0.011377,0.113482,-0.10945
1722005959550,0.009859,0.018707,-0.016248
1722005960723,0.033455,0.008089,0.000662
1722005961878,0.017724,-0.007641,0.001056
1722005962694,0.011039,-0.003708,-0.000124
1722005963774,0.021263,0.008089,-0.007989
1722005964475,0.814859,-0.01472,0.03173
1722005965625,4.113117,0.039943,0.039202
1722005966365,0.00514,-0.029664,0.009314
1722005967488,0.001207,0.004943,0.001056
1722005968217,0.014185,0.015168,-0.037091
1722005969338,-0.01295,-0.009214,-0.006023
1722005970068,0.049971,-0.019046,-0.00445
1722005971227,0.006713,0.013202,-0.001697
1722005972139,0.372443,-0.013933,0.004202
1722005973208,2.008005,0.079269,-0.067765
1722005973972,-0.009017,0.100505,-0.14209
1722005975060,0.02205,0.048202,-0.098439
1722005975825,0.015758,-0.027697,0.032123
1722005977343,0.027556,0.011235,-0.012315
1722005978731,0.009466,-0.004888,-0.00563
1722005979803,0.005927,-0.013541,0.005382
1722005980582,0.038567,-0.094551,0.11864
1722005981693,0.876994,-0.039495,0.085999
1722005982433,3.673847,0.037583,0.067516
1722005983548,1.225814,0.016347,0.020719
1722005984284,0.042499,0.093819,-0.171192
1722005985447,0.018117,0.027752,-0.064618
1722005986139,0.008652,-0.019488,0.019838
1722005987724,-0.002332,-0.005675,-0.009169
1722005988635,0.033454,0.032471,0.000269
1722005989706,0.009859,0.029325,0.01246
1722005990441,0.026769,0.030505,0.024258
1722005991555,0.02087,0.024213,0.022685
1722005992295,0.033848,0.028146,0.02937
1722005993410,1.520365,0.008482,0.044707
1722005994151,2.899521,0.056853,0.035269
1722005995263,0.035421,0.126067,-0.263214
1722005996002,-0.007838,0.02028,-0.008383
1722005997122,0.017331,0.021066,0.005382
1722005998115,0.022443,0.01792,0.028584
1722005999791,0.011432,0.021066,0.01246
1722006000571,0.025983,0.043876,-0.02254
1722006001648,0.031488,-0.073709,0.20555
1722006002419,0.836095,0.014775,0.050213
1722006003498,3.551937,0.043089,0.055719
1722006003614,0.036207,0.080449,-0.171978
1722006005736,0.006266,0.036591,0.004327
1722006006429,0.028342,0.029325,-0.000911
1722006007581,0.029732,0.023069,0.002736
1722006008322,0.022837,0.026572,0.012067
1722006009452,0.027162,0.010055,0.034089
1722006010177,0.357499,0.013595,0.034483
1722006011290,2.45396,0.041123,0.019539
1722006012026,1.290702,0.017134,0.030157
1722006013143,0.392893,0.045449,0.012067
1722006014137,-0.025141,0.028932,-0.031978
1722006015732,0.020084,0.023033,0.041954
1722006016506,0.009466,0.00455,-0.001304
1722006017585,0.007499,-0.004102,-0.023326
1722006018357,0.018904,-0.019439,0.103696
1722006019477,2.95969,0.002583,0.127292
1722006020213,3.616433,0.027752,0.117853
1722006021708,0.123118,0.007696,-0.112596
1722006022455,0.007857,0.005569,-0.000048
1722006023606,0.032118,0.006762,0.011486
1722006024305,-0.001546,0.015954,-0.008383
1722006025473,0.00278,0.008482,-0.015461
1722006026200,0.03013,-0.009943,0.076713
1722006027316,2.378062,0.02264,0.036449
1722006028051,3.5353,0.039773,-0.000048
1722006029169,0.099522,-0.000169,-0.088214
1722006029904,0.005533,-0.002136,0.024258
1722006031273,0.001994,-0.000563,-0.010742
1722006032491,0.029522,-0.005282,-0.004843
1722006033611,0.013005,-0.010394,-0.001304
1722006034383,0.16655,-0.016704,0.172963
1722006035505,1.005196,0.015168,0.03055
1722006036238,1.452331,0.023426,0.027404
1722006037352,0.775073,0.020284,0.002338
1722006038046,-0.06368,0.00337,-0.109057
1722006039249,0.007893,0.000224,0.002629
1722006040158,-0.002882,0.009148,-0.013571
1722006041273,0.015365,-0.006855,-0.013102
1722006043670,0.024409,0.013201,0.001842
1722006044766,5.100985,0.046235,0.079314
1722006045538,2.980141,-0.026911,0.02819
1722006046360,-0.010984,0.005729,0.025044
1722006047431,-0.001546,-0.001743,-0.026473
1722006048214,0.014578,0.011628,-0.000517
1722006049371,0.006266,0.004376,-0.002832
1722006050064,0.002387,0.004943,-0.007596
1722006051268,0.084578,0.017134,0.106842
1722006051961,4.573767,0.040966,0.036145
1722006053287,1.495983,-0.001349,0.035269
1722006054057,0.001994,-0.021405,-0.089001
1722006055150,0.007106,-0.009608,0.010494
1722006055883,0.009072,0.023426,0.003415
1722006056997,0.004353,0.005336,-0.00445
1722006058420,0.00632,0.004943,0.004988
1722006060015,0.018118,-0.007248,-0.011135
1722006060136,0.040926,0.030112,0.070662
1722006061862,4.55396,0.034831,0.028584
1722006062603,2.002106,0.032864,0.025831
1722006063715,0.010252,-0.030844,-0.105911
1722006064452,0.005926,0.016741,-0.019394
1722006065576,0.00632,0.008876,0.002629
1722006066304,0.009859,0.017527,0.006955
1722006067417,0.001891,0.005569,-0.006014
1722006068158,0.000027,0.004156,0.016393
1722006069548,6.752274,0.067864,0.069876
1722006070615,0.620589,0.008089,-0.006416
1722006072377,-0.010984,0.001403,-0.02254
1722006073458,0.011039,0.017103,0.031372
1722006074233,0.013005,0.009269,0.008921
1722006075617,0.007499,0.012022,0.002236
1722006076085,-0.000098,-0.005568,0.003531
1722006077852,0.035027,0.010055,0.012067
1722006078626,4.915758,0.038763,0.032516
1722006079659,0.257611,-0.035956,-0.065405
1722006079819,0.006713,0.02146,0.023471
1722006081556,0.018117,-0.011967,-0.008776
1722006081674,0.00396,0.009269,0.010494
1722006083624,-0.006658,-0.002136,-0.014675
1722006084398,0.02323,-0.007641,-0.022933
1722006085470,0.028937,0.004773,0.011486
1722006086164,1.933286,0.021853,0.022292
1722006087237,3.369858,0.053314,0.025831
1722006087974,0.00905,-0.006761,-0.010787
1722006089219,0.005533,-0.043821,-0.068551
1722006090300,-0.000759,0.030898,0.028191
1722006091416,0.00632,-0.010394,-0.004843
1722006092107,0.0075,0.024212,0.025831
1722006093182,0.013791,0.000617,-0.009169
1722006094134,0.029129,0.050954,0.057685
1722006095077,4.269241,0.056066,0.008134
1722006095878,0.648511,0.008876,0.01128
1722006096975,-0.001152,-0.011967,-0.044562
1722006097742,0.02138,-0.0175,-0.02073
1722006099475,0.004747,0.008089,-0.00563
1722006099598,0.010252,0.014381,-0.000517
1722006101719,0.016607,-0.013125,0.001145
1722006102404,0.010645,0.041516,0.055718
1722006103476,1.261994,0.028538,0.038415
1722006104211,4.892163,0.057247,0.045101
1722006105327,0.379129,-0.028877,-0.045349
1722006105980,0.024803,0.038764,0.034483
1722006106931,0.02323,0.035618,0.015606
1722006107695,0.026376,-0.012754,-0.010349
1722006109470,0.012612,0.007302,-0.011135
1722006110635,0.024016,0.006516,0.000662
1722006111449,0.604073,0.013201,0.017966
1722006113842,4.332556,0.061572,0.034876
1722006114511,0.771601,-0.004496,-0.003664
1722006114855,-0.003512,-0.008035,-0.022933
1722006115623,0.025196,0.008089,0.001056
1722006116361,0.014578,0.018314,0.006954
1722006117438,0.003174,0.006516,-0.001304
1722006118174,0.038174,-0.010394,-0.006809
1722006119328,0.190812,0.031421,0.058418
1722006120024,3.665983,0.041516,0.028584
1722006121177,0.535646,0.002583,0.000269
1722006122136,0.02323,-0.062304,-0.05754
1722006123247,0.012612,0.029325,0.000662
1722006123796,0.021657,-0.001349,-0.004843
1722006125530,0.001994,0.006123,-0.006416
1722006126272,0.02205,0.023426,0.000269
1722006127348,0.320533,0.010842,-0.013495
1722006128165,3.661263,0.054887,0.029764
1722006129236,0.851432,-0.011181,-0.016248
1722006130071,-0.015309,-0.008821,-0.012708
1722006131213,-0.013343,0.013988,-0.006416
1722006131776,0.020084,0.00337,0.000662
1722006133519,0.004747,-0.015506,-0.000124
1722006134283,0.00396,0.002977,-0.000518
1722006135357,0.039353,0.050954,0.035662
1722006136134,4.692781,0.047022,0.03055
1722006137250,0.009859,-0.099664,-0.062652
1722006138206,-0.006658,0.029719,-0.001697
1722006139313,-0.002725,-0.024158,-0.008383
1722006140053,0.019789,0.011137,0.003929
1722006141165,0.015758,-0.005675,0.008134
1722006142125,0.007106,-0.003316,-0.011529
1722006143280,0.021263,0.002583,0.012853
1722006143874,0.019691,-0.002136,-0.013495
1722006145613,0.3575,0.053314,0.010101
1722006145741,5.200478,0.059606,0.033303
1722006147544,0.017331,-0.143315,-0.053214
1722006149545,-0.005871,0.002583,-0.005237
1722006150652,0.00396,-0.003316,-0.02136
1722006151730,0.011432,0.015168,0.008528
1722006152502,0.010645,0.000617,0.002235
1722006153537,0.036207,0.017134,0.004595
1722006153660,0.880533,0.02146,0.005382
1722006155389,2.715981,0.080739,0.033759
1722006155510,0.183679,0.008876,-0.001304
1722006157582,0.009073,-0.06663,-0.022147
1722006158748,0.017403,0.034205,-0.000048
1722006159820,0.024016,-0.020618,-0.026866
1722006160559,0.018511,0.00455,0.009314
1722006161674,0.010646,0.024999,0.008528
1722006162410,0.029915,0.018314,0.003022
1722006163479,2.786656,0.049382,0.021112
1722006164222,2.074073,0.016741,0.023471
1722006165342,0.319747,-0.053259,-0.017034
1722006166074,-0.016096,-0.023372,-0.00681
1722006167191,0.008679,0.006516,0.004595
1722006168141,0.018904,0.029718,-0.02254
1722006169253,0.01969,-0.011574,-0.004843
1722006169894,0.010252,0.093819,0.018752
1722006171587,0.523454,0.033258,0.01482
1722006171716,5.266544,0.023426,0.005381
1722006173696,0.195084,-0.062697,-0.016248
1722006174444,-0.007051,-0.003315,-0.001697
1722006175594,-0.003905,0.034831,-0.000517
1722006176327,-0.007654,-0.003976,0.0091
1722006177437,0.032275,-0.005281,0.003415
1722006178134,0.030308,0.018707,0.001842
1722006179292,0.017331,-0.001742,-0.017034
1722006180033,0.037387,-0.008821,-0.012315
1722006181239,0.022836,0.083201,0.000662
1722006181968,2.1075,0.037977,0.011674
1722006183086,2.424073,0.049775,0.015213
1722006184123,0.010252,-0.047753,0.009314
1722006185846,0.021264,0.011629,-0.00209
1722006186664,0.005926,0.028539,0.007348
1722006187701,0.035028,0.047022,-0.005236
1722006188518,0.022836,0.029719,-0.003663
1722006189507,0.005533,0.02028,-0.010742
1722006190328,0.018904,0.108763,-0.008776
1722006191440,3.559803,0.068258,0.008134
1722006192138,0.475084,0.042303,-0.002877
1722006193782,-0.003512,-0.076855,-0.006416
1722006194313,0.031488,0.02028,0.008134
1722006196049,-0.005871,0.012415,0.007741
1722006196789,0.009466,0.001797,-0.00209
1722006197905,0.007893,0.001797,0.001449
1722006198642,0.015365,0.000224,0.003415
1722006199765,0.005073,-0.001193,0.000747
1722006200533,0.014185,-0.001349,0.001449
1722006201611,-0.003905,0.006909,-0.015461
1722006202384,0.005533,0.000224,0.003022
1722006203502,0.018118,-0.001742,-0.004843
1722006204241,0.008286,0.004157,-0.019787
1722006205546,0.02205,0.00337,-0.00563
1722006206567,0.017331,-0.009608,-0.019787
1722006207641,-0.000759,-0.001349,0.000662
1722006208422,0.004747,0.00219,-0.014675
1722006209495,0.012219,-0.000169,-0.006416
1722006209615,0.000814,0.005336,-0.015855
1722006211650,0.015365,0.015954,0.006954
1722006212297,0.011039,0.00875,0.012281
1722006213456,0.011432,-0.011967,-0.02136
1722006214189,0.00278,0.010055,0.001449
1722006215303,-0.011377,0.014774,-0.010349
1722006216046,0.013005,-0.002136,-0.009956
1722006217153,0.025196,0.002977,-0.00681
1722006217894,0.024959,0.000398,-0.013173
1722006219230,0.028342,0.014381,0.002629
1722006220434,0.003174,0.010449,0.005775
1722006221514,-0.000759,0.011235,-0.006416
