"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722005915829,23.852951,20.287043,-12.037312
1722005916568,23.828371,20.049772,-12.595075
1722005917682,23.819918,19.956635,-12.803655
1722005919487,23.821447,20.061832,-12.758056
1722005920230,23.802744,20.101547,-12.77498
1722005921383,23.798105,20.105003,-12.767673
1722005922079,23.797155,20.118444,-12.760948
1722005923240,23.799646,20.084131,-12.764277
1722005925220,23.789209,19.729759,-13.391985
1722005925914,23.772903,19.372534,-14.036451
1722005927068,23.802774,19.302895,-14.12933
1722005928239,23.802982,19.30747,-14.12415
1722005929358,23.800858,19.312506,-14.123756
1722005930135,23.801422,19.320961,-14.121836
1722005931724,23.799364,19.3239,-14.104115
1722005932463,23.718643,18.776297,-15.121269
1722005933617,23.695475,18.521801,-15.493346
1722005934300,23.730572,18.598589,-15.421988
1722005935437,23.727455,18.606377,-15.386179
1722005936062,23.72365,18.588369,-15.393567
1722005937759,23.717985,18.591061,-15.385831
1722005937882,23.718178,18.584188,-15.39301
1722005939655,23.723274,18.589909,-15.392768
1722005939776,23.713421,18.584663,-15.396542
1722005940857,23.66258,18.095688,-16.091301
1722005941620,23.637592,17.763374,-16.508846
1722005943570,23.781448,17.633278,-16.671053
1722005944135,23.811193,17.667538,-16.701385
1722005945081,23.793266,17.66152,-16.695324
1722005946508,23.697632,17.729591,-16.558426
1722005947584,23.661522,17.751364,-16.532557
1722005948404,23.660311,17.751856,-16.542198
1722005949516,23.611134,17.300856,-17.098518
1722005950254,23.565754,16.855453,-17.599834
1722005951420,23.588007,16.754068,-17.670507
1722005952150,23.634695,16.694296,-17.727608
1722005953530,23.627911,16.689384,-17.76968
1722005954560,23.576216,16.818745,-17.645159
1722005955598,23.561464,16.836206,-17.638191
1722005956370,23.54084,16.680696,-17.801226
1722005957446,23.442045,15.839793,-18.570356
1722005958610,23.428623,15.692142,-18.67767
1722005959550,23.539427,15.587066,-18.754538
1722005960723,23.565905,15.564631,-18.779802
1722005961878,23.487169,15.638915,-18.708515
1722005962694,23.451612,15.6738,-18.683187
1722005963774,23.440214,15.668089,-18.676861
1722005964475,23.441172,15.65853,-18.686445
1722005965625,23.322088,14.737771,-19.386747
1722005966365,23.279448,14.473135,-19.562723
1722005967488,23.278805,14.476271,-19.567167
1722005968217,23.279987,14.476732,-19.576454
1722005969338,23.278362,14.476413,-19.58165
1722005970068,23.276543,14.475992,-19.575573
1722005971227,23.271793,14.477636,-19.580322
1722005972139,23.27438,14.464514,-19.582258
1722005973208,23.189878,13.738406,-20.03689
1722005973972,23.09935,13.102859,-20.357885
1722005975060,23.135798,13.149553,-20.326496
1722005975825,23.363482,13.334527,-20.555555
1722005977343,23.29315,13.252074,-20.555712
1722005978731,23.316105,13.248258,-20.548092
1722005979803,23.316797,13.244178,-20.565773
1722005980582,23.312069,13.29123,-20.52067
1722005981693,23.298496,13.162898,-20.551708
1722005982433,23.235163,12.725469,-20.737598
1722005983548,23.158556,12.209724,-20.943367
1722005984284,23.143703,12.055861,-21.004305
1722005985447,23.14443,12.000206,-21.031929
1722005986139,23.077272,12.011447,-20.955011
1722005987724,23.08386,12.039131,-20.955023
1722005988635,23.142998,11.992243,-21.004051
1722005989706,23.15444,12.000694,-21.014833
1722005990441,23.148661,12.018835,-21.009668
1722005991555,23.139158,12.033593,-21.010118
1722005992295,23.147177,12.05875,-20.988304
1722005993410,23.129393,11.985122,-21.008533
1722005994151,22.991247,11.057007,-21.281752
1722005995263,22.95648,10.767436,-21.36064
1722005996002,22.903643,10.659729,-21.322668
1722005997122,22.82542,10.658455,-21.294094
1722005998115,22.842062,10.676371,-21.293003
1722005999791,22.860416,10.695808,-21.291962
1722006000571,22.934675,10.68829,-21.403675
1722006001648,22.952696,10.737413,-21.401718
1722006002419,22.949396,10.715814,-21.397011
1722006003498,22.842499,10.094335,-21.516979
1722006003614,22.722893,9.423181,-21.588293
1722006005736,22.698877,9.267761,-21.596306
1722006006429,22.599854,9.301366,-21.52017
1722006007581,22.609425,9.319448,-21.527792
1722006008322,22.691366,9.338292,-21.583582
1722006009452,22.699488,9.272366,-21.594753
1722006010177,22.725204,9.31798,-21.598152
1722006011290,22.654058,8.917184,-21.614408
1722006012026,22.53616,8.271614,-21.621626
1722006013143,22.509531,8.115723,-21.617502
1722006014137,22.46253,7.993044,-21.601633
1722006015732,22.470707,8.011093,-21.595943
1722006016506,22.47542,8.018735,-21.594503
1722006017585,22.482519,8.006747,-21.599758
1722006018357,22.497372,8.033565,-21.59993
1722006019477,22.46656,7.926956,-21.582935
1722006020213,22.321236,7.273046,-21.531149
1722006021708,22.258718,6.909408,-21.492416
1722006022455,22.201015,6.84748,-21.637522
1722006023606,22.040565,6.789193,-21.593424
1722006024305,22.042959,6.772863,-21.582439
1722006025473,22.085461,6.775373,-21.615124
1722006026200,22.267817,6.800734,-21.790951
1722006027316,22.283556,6.674241,-21.768665
1722006028051,22.106516,5.9144,-21.608917
1722006029169,22.001694,5.647093,-21.510725
1722006029904,21.984276,5.609772,-21.297487
1722006031273,21.963911,5.639465,-21.232574
1722006032491,22.007517,5.639086,-21.286987
1722006033611,22.093561,5.667014,-21.410215
1722006034383,22.061241,5.716622,-21.436565
1722006035505,22.033623,5.623994,-21.433868
1722006036238,21.904385,5.069552,-21.279968
1722006037352,21.83548,4.780558,-21.176254
1722006038046,21.845949,4.667252,-21.155605
1722006039249,21.582417,4.632769,-21.013458
1722006040158,21.538536,4.607785,-20.967638
1722006041273,21.733124,4.5381,-20.9387
1722006043670,21.745573,4.571154,-20.942907
1722006044766,21.674959,4.30411,-20.834141
1722006045538,21.528028,3.564005,-20.518646
1722006046360,21.501543,3.412271,-20.46587
1722006047431,21.520651,3.477709,-20.437536
1722006048214,21.453003,3.480134,-20.445839
1722006049371,21.56056,3.443868,-20.496363
1722006050064,21.479235,3.475219,-20.408091
1722006051268,21.455833,3.495471,-20.400169
1722006051961,21.376417,3.046313,-20.148932
1722006053287,21.318325,2.647907,-19.908701
1722006054057,21.31204,2.572486,-19.877228
1722006055150,21.374346,2.520556,-19.927078
1722006055883,21.239681,2.581613,-19.935011
1722006056997,21.236586,2.594252,-19.962444
1722006058420,21.327415,2.526462,-19.962002
1722006060015,21.268532,2.544598,-19.850708
1722006060136,21.265875,2.559229,-19.845161
1722006061862,21.236687,2.325138,-19.685659
1722006062603,21.17626,1.801522,-19.333847
1722006063715,21.16671,1.737485,-19.319326
1722006064452,21.290726,1.691104,-19.380945
1722006065576,21.160955,1.711995,-19.388176
1722006066304,21.117228,1.76409,-19.378149
1722006067417,21.100798,1.69393,-19.319956
1722006068158,21.093039,1.691786,-19.287983
1722006069548,21.07243,1.511451,-19.148874
1722006070615,21.034227,0.951667,-18.719107
1722006072377,21.046846,0.981906,-18.751461
1722006073458,21.0783,0.969391,-18.772099
1722006074233,21.094376,0.938891,-18.787817
1722006075617,21.173464,0.896226,-18.81959
1722006076085,21.161167,0.932117,-18.767378
1722006077852,21.167452,0.899123,-18.752684
1722006078626,21.155523,0.788788,-18.652325
1722006079659,21.146709,0.195341,-18.159992
1722006079819,21.152382,0.161234,-18.148901
1722006081556,21.232742,0.181333,-18.213125
1722006081674,21.16151,0.163545,-18.240065
1722006083624,21.201303,0.181638,-18.165798
1722006084398,21.12755,0.162462,-18.165712
1722006085470,21.126272,0.166608,-18.154055
1722006086164,21.128122,0.143805,-18.125654
1722006087237,21.15251,-0.353773,-17.684509
1722006087974,21.162148,-0.486147,-17.56464
1722006089219,21.194941,-0.490156,-17.549171
1722006090300,21.187853,-0.491171,-17.635145
1722006091416,21.162264,-0.47271,-17.638832
1722006092107,21.217247,-0.472613,-17.596487
1722006093182,21.146944,-0.487751,-17.579611
1722006094134,21.145632,-0.513494,-17.587374
1722006095077,21.17098,-0.782448,-17.318748
1722006095878,21.212591,-1.161303,-16.949139
1722006096975,21.197369,-1.213145,-16.912487
1722006097742,21.229635,-1.159458,-16.921328
1722006099475,21.23547,-1.160896,-16.939547
1722006099598,21.24095,-1.161746,-16.938036
1722006101719,21.207479,-1.186231,-16.916986
1722006102404,21.197527,-1.197543,-16.931162
1722006103476,21.195436,-1.221773,-16.895054
1722006104211,21.265131,-1.614992,-16.469925
1722006105327,21.307753,-1.832525,-16.236782
1722006105980,21.295755,-1.832358,-16.239355
1722006106931,21.305155,-1.835515,-16.283388
1722006107695,21.427622,-1.962476,-16.424263
1722006109470,21.428797,-1.975773,-16.286106
1722006110635,21.424274,-1.985058,-16.277468
1722006111449,21.449532,-1.983529,-16.26713
1722006113842,21.526775,-2.34582,-15.859772
1722006114511,21.571827,-2.615338,-15.556527
1722006114855,21.590294,-2.675546,-15.533758
1722006115623,21.701799,-2.61751,-15.611475
1722006116361,21.621031,-2.64831,-15.557194
1722006117438,21.55204,-2.595017,-15.440013
1722006118174,21.549204,-2.59464,-15.435531
1722006119328,21.531855,-2.586566,-15.451763
1722006120024,21.614391,-2.893571,-15.065993
1722006121177,21.698969,-3.199056,-14.640038
1722006122136,21.706404,-3.218221,-14.581233
1722006123247,21.711857,-3.207259,-14.565359
1722006123796,21.710682,-3.223708,-14.562796
1722006125530,21.715467,-3.225045,-14.564449
1722006126272,21.712641,-3.221951,-14.562006
1722006127348,21.707476,-3.22422,-14.560267
1722006128165,21.752748,-3.458312,-14.252151
1722006129236,21.819378,-3.851269,-13.690524
1722006130071,21.869919,-3.924621,-13.703693
1722006131213,21.956526,-3.874527,-13.967171
1722006131776,21.796156,-3.80863,-13.805186
1722006133519,21.776573,-3.783165,-13.782505
1722006134283,21.720959,-3.898417,-13.758479
1722006135357,21.719587,-3.876871,-13.751828
1722006136134,21.795547,-4.200281,-13.175793
1722006137250,21.83844,-4.401155,-12.790688
1722006138206,21.974922,-4.294788,-12.71243
1722006139313,22.104919,-4.207347,-12.783571
1722006140053,22.180204,-4.060481,-12.831254
1722006141165,22.221222,-4.098166,-12.852638
1722006142125,22.247496,-4.136226,-12.856817
1722006143280,22.129988,-4.386887,-12.830173
1722006143874,21.976486,-4.378103,-12.712029
1722006145613,21.976419,-4.373097,-12.71127
1722006145741,22.042717,-4.679726,-12.104221
1722006147544,22.092712,-4.895674,-11.643444
1722006149545,21.971672,-4.765055,-11.804486
1722006150652,21.953461,-4.723518,-11.810974
1722006151730,22.028095,-4.763587,-11.786333
1722006152502,22.256145,-4.859799,-11.766665
1722006153537,22.094753,-4.795234,-11.584927
1722006153660,22.077387,-4.85176,-11.579981
1722006155389,22.157606,-5.190052,-10.78534
1722006155510,22.176098,-5.283968,-10.545305
1722006157582,22.24811,-5.249849,-10.533426
1722006158748,22.329893,-5.34069,-10.691144
1722006159820,22.301004,-5.344802,-10.669184
1722006160559,22.335207,-5.34125,-10.679575
1722006161674,22.337835,-5.266469,-10.56004
1722006162410,22.243254,-5.279488,-10.532628
1722006163479,22.245722,-5.313021,-10.417233
1722006164222,22.309555,-5.578709,-9.653577
1722006165342,22.321617,-5.654452,-9.411176
1722006166074,22.326607,-5.65519,-9.420931
1722006167191,22.413862,-5.70073,-9.604166
1722006168141,22.380415,-5.700764,-9.599459
1722006169253,22.302616,-5.630028,-9.441221
1722006169894,22.231344,-5.648995,-9.425894
1722006171587,22.237654,-5.67131,-9.399235
1722006171716,22.277174,-5.805368,-8.900428
1722006173696,22.315693,-5.962842,-8.171555
1722006174444,22.456146,-5.86844,-8.09688
1722006175594,22.514744,-5.865801,-8.283237
1722006176327,22.529257,-5.744331,-8.301657
1722006177437,22.522818,-5.654006,-8.263393
1722006178134,22.54884,-5.66971,-8.266584
1722006179292,22.561302,-5.672138,-8.26963
1722006180033,22.571516,-6.015803,-8.232578
1722006181239,22.336792,-5.950999,-8.145944
1722006181968,22.336096,-5.978337,-8.069185
1722006183086,22.37414,-6.133713,-7.116546
1722006184123,22.392984,-6.158772,-6.8599
1722006185846,22.60111,-6.010158,-6.85275
1722006186664,22.882206,-5.79843,-7.202703
1722006187701,22.870794,-5.794834,-7.201701
1722006188518,22.903601,-5.860516,-7.148986
1722006189507,22.619547,-6.226142,-6.950366
1722006190328,22.473,-6.174735,-6.862576
1722006191440,22.498243,-6.253805,-6.090349
1722006192138,22.486038,-6.268631,-5.65689
1722006193782,22.513987,-6.2212,-5.651092
1722006194313,22.815702,-6.0652,-6.006138
1722006196049,22.501001,-6.021064,-5.876615
1722006196789,22.624443,-6.092215,-6.048257
1722006197905,22.609379,-6.10034,-6.066785
1722006198642,22.61536,-6.086943,-6.063419
1722006199765,22.608992,-6.087746,-6.052414
1722006200533,22.622652,-6.092625,-6.083231
1722006201611,22.636673,-6.117472,-6.083268
1722006202384,22.645807,-6.113594,-6.096774
1722006203502,22.650614,-6.080283,-5.997796
1722006204241,22.653763,-6.073886,-5.985045
1722006205546,22.662422,-6.111776,-5.985242
1722006206567,22.644548,-6.088868,-5.979877
1722006207641,22.647299,-6.08851,-5.980339
1722006208422,22.643446,-6.076869,-5.983195
1722006209495,22.691175,-6.140534,-6.078107
1722006209615,22.659401,-6.148746,-5.986823
1722006211650,22.628857,-6.039928,-5.997355
1722006212297,22.543585,-6.031897,-5.925267
1722006213456,22.535961,-6.032998,-5.921479
1722006214189,22.539862,-6.01766,-5.917687
1722006215303,22.543478,-6.022262,-5.924959
1722006216046,22.546263,-6.028091,-5.923348
1722006217153,22.541706,-6.028861,-5.918015
1722006217894,22.535576,-6.0241,-5.924377
1722006219230,22.545496,-6.018813,-5.924633
1722006220434,22.53968,-6.012525,-5.930212
1722006221514,22.562256,-6.016553,-5.94029
