"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722005915829,0.986228,0.165372,0.001813,-0.001815
1722005916568,0.983421,0.181316,0.002144,-0.001698
1722005917682,0.983443,0.181188,0.002665,-0.001941
1722005919487,0.983435,0.181212,0.003582,-0.0022
1722005920230,0.983447,0.181142,0.003919,-0.002177
1722005921383,0.98343,0.181223,0.004247,-0.002303
1722005922079,0.983428,0.181231,0.004487,-0.002173
1722005923240,0.983417,0.181272,0.005143,-0.002238
1722005925220,0.976971,0.213293,0.005407,-0.002259
1722005925914,0.97657,0.215127,0.005231,-0.002104
1722005927068,0.976513,0.215386,0.005228,-0.001988
1722005928239,0.976446,0.215681,0.005499,-0.002001
1722005929358,0.976427,0.215762,0.005776,-0.002022
1722005930135,0.976424,0.215776,0.005715,-0.001973
1722005931724,0.976173,0.216925,0.005197,-0.001898
1722005932463,0.968728,0.248071,0.004796,-0.001768
1722005933617,0.968765,0.247918,0.005173,-0.001944
1722005934300,0.96871,0.248144,0.004737,-0.001966
1722005935437,0.968709,0.248153,0.004445,-0.002007
1722005936062,0.968704,0.248167,0.004702,-0.002059
1722005937759,0.968689,0.248223,0.004675,-0.002266
1722005937882,0.968683,0.248242,0.004881,-0.002427
1722005939655,0.968677,0.248265,0.004829,-0.002505
1722005939776,0.968303,0.249725,0.004536,-0.002414
1722005940857,0.961167,0.275917,0.004783,-0.002463
1722005941620,0.960941,0.276691,0.00525,-0.00259
1722005943570,0.960935,0.276717,0.004879,-0.002634
1722005944135,0.960927,0.276733,0.005411,-0.00286
1722005945081,0.960921,0.27676,0.005222,-0.00278
1722005946508,0.960899,0.27685,0.004571,-0.002623
1722005947584,0.960896,0.276859,0.00455,-0.00255
1722005948404,0.960818,0.277136,0.004223,-0.002489
1722005949516,0.951561,0.307418,0.004493,-0.002386
1722005950254,0.948003,0.318222,0.004413,-0.002311
1722005951420,0.948054,0.318069,0.004558,-0.002368
1722005952150,0.948056,0.318056,0.004894,-0.002459
1722005953530,0.948059,0.318049,0.004808,-0.002507
1722005954560,0.947992,0.318251,0.00457,-0.002476
1722005955598,0.947912,0.318485,0.004778,-0.002521
1722005956370,0.937264,0.34858,0.004873,-0.002316
1722005957446,0.931762,0.36303,0.004904,-0.002126
1722005958610,0.93179,0.362935,0.006174,-0.002656
1722005959550,0.931758,0.363015,0.006377,-0.002729
1722005960723,0.931651,0.363287,0.00644,-0.0027
1722005961878,0.931595,0.363431,0.006374,-0.002716
1722005962694,0.931561,0.363521,0.006344,-0.00273
1722005963774,0.931493,0.363693,0.006435,-0.00277
1722005964475,0.928884,0.370309,0.006195,-0.002605
1722005965625,0.915002,0.403394,0.006294,-0.002379
1722005966365,0.914985,0.403435,0.006024,-0.002409
1722005967488,0.914981,0.403445,0.00606,-0.002383
1722005968217,0.914929,0.403557,0.006311,-0.002627
1722005969338,0.914975,0.403453,0.006259,-0.002707
1722005970068,0.9148,0.403851,0.006122,-0.002812
1722005971227,0.914776,0.403905,0.006233,-0.002779
1722005972139,0.91346,0.406874,0.006098,-0.002815
1722005973208,0.906184,0.422814,0.00692,-0.00318
1722005973972,0.906207,0.422736,0.008239,-0.003933
1722005975060,0.906118,0.422905,0.008983,-0.004535
1722005975825,0.906063,0.423031,0.008645,-0.004384
1722005977343,0.90596,0.423248,0.008778,-0.004442
1722005978731,0.905925,0.423323,0.00876,-0.004506
1722005979803,0.905905,0.423369,0.008633,-0.004514
1722005980582,0.905773,0.423679,0.007446,-0.003928
1722005981693,0.90251,0.430603,0.006785,-0.003451
1722005982433,0.888248,0.459305,0.006714,-0.002994
1722005983548,0.883284,0.468782,0.006725,-0.00284
1722005984284,0.883099,0.469101,0.008147,-0.003778
1722005985447,0.883021,0.469237,0.008625,-0.004164
1722005986139,0.882987,0.469304,0.008393,-0.004091
1722005987724,0.882997,0.469285,0.008387,-0.004185
1722005988635,0.882857,0.469544,0.008635,-0.004052
1722005989706,0.882815,0.469622,0.00881,-0.003837
1722005990441,0.882704,0.469831,0.008944,-0.003527
1722005991555,0.882617,0.469995,0.009037,-0.003255
1722005992295,0.882477,0.470258,0.009132,-0.002916
1722005993410,0.876161,0.481928,0.008975,-0.002657
1722005994151,0.863681,0.503949,0.009191,-0.002375
1722005995263,0.863507,0.504196,0.011297,-0.003807
1722005996002,0.863539,0.504136,0.011487,-0.00378
1722005997122,0.863461,0.504268,0.011622,-0.003648
1722005998115,0.863362,0.504441,0.01163,-0.003356
1722005999791,0.863309,0.504529,0.011734,-0.003171
1722006000571,0.86319,0.504723,0.012163,-0.00315
1722006001648,0.863063,0.504979,0.010701,-0.00193
1722006002419,0.859355,0.511268,0.010577,-0.001565
1722006003498,0.843099,0.537652,0.010598,-0.001282
1722006003614,0.842919,0.537903,0.011997,-0.002173
1722006005736,0.842885,0.53795,0.012246,-0.00197
1722006006429,0.842749,0.538159,0.012465,-0.001842
1722006007581,0.842607,0.538378,0.012621,-0.001717
1722006008322,0.842497,0.538548,0.01276,-0.001506
1722006009452,0.842369,0.538751,0.012673,-0.001211
1722006010177,0.840684,0.541379,0.012607,-0.000933
1722006011290,0.828895,0.559257,0.012794,-0.000866
1722006012026,0.82254,0.568564,0.01276,-0.000708
1722006013143,0.820581,0.571382,0.013024,-0.00044
1722006014137,0.820703,0.571198,0.01339,-0.000521
1722006015732,0.8206,0.571347,0.013346,-0.000108
1722006016506,0.820552,0.571415,0.013385,-0.000096
1722006017585,0.820515,0.571466,0.013472,-0.000284
1722006018357,0.820423,0.571613,0.012816,0.000359
1722006019477,0.805391,0.592618,0.012204,0.000952
1722006020213,0.786291,0.617742,0.011814,0.001538
1722006021708,0.785627,0.618574,0.012476,0.000794
1722006022455,0.785584,0.618628,0.012514,0.000823
1722006023606,0.78541,0.618849,0.012499,0.000935
1722006024305,0.785416,0.618838,0.012653,0.000963
1722006025473,0.7854,0.618855,0.012795,0.000903
1722006026200,0.785238,0.61907,0.012313,0.001372
1722006027316,0.772222,0.635232,0.012297,0.001488
1722006028051,0.752275,0.658727,0.012605,0.001328
1722006029169,0.751703,0.65937,0.013112,0.000737
1722006029904,0.751672,0.65941,0.012958,0.000883
1722006031273,0.75166,0.659421,0.013016,0.000809
1722006032491,0.751491,0.659615,0.01301,0.000744
1722006033611,0.751417,0.6597,0.012949,0.000674
1722006034383,0.750458,0.66081,0.011845,0.001693
1722006035505,0.744628,0.667373,0.011782,0.001877
1722006036238,0.736111,0.676754,0.011798,0.002042
1722006037352,0.731515,0.681717,0.011928,0.002097
1722006038046,0.731895,0.681299,0.012597,0.001427
1722006039249,0.731848,0.68135,0.012583,0.001445
1722006040158,0.731865,0.68133,0.012722,0.001413
1722006041273,0.731774,0.681426,0.012756,0.001286
1722006043670,0.731539,0.681682,0.012577,0.001567
1722006044766,0.700494,0.713547,0.012458,0.001786
1722006045538,0.681719,0.731511,0.01216,0.001467
1722006046360,0.681788,0.731449,0.012034,0.001654
1722006047431,0.681799,0.731437,0.012193,0.001485
1722006048214,0.681705,0.731523,0.012265,0.001555
1722006049371,0.681664,0.73156,0.01231,0.001565
1722006050064,0.681648,0.731573,0.012388,0.001551
1722006051268,0.681105,0.732087,0.011809,0.002287
1722006051961,0.651363,0.75867,0.011903,0.00229
1722006053287,0.6414,0.767114,0.011691,0.002326
1722006054057,0.64139,0.767117,0.012167,0.001685
1722006055150,0.641343,0.767158,0.012043,0.001678
1722006055883,0.64128,0.767209,0.012151,0.001853
1722006056997,0.64125,0.767232,0.012211,0.001864
1722006058420,0.641207,0.767268,0.012205,0.001924
1722006060015,0.641087,0.767368,0.01224,0.001811
1722006060136,0.640809,0.767604,0.011936,0.002404
1722006061862,0.609802,0.792459,0.012025,0.002321
1722006062603,0.595862,0.802993,0.01206,0.002475
1722006063715,0.595795,0.803035,0.012642,0.001707
1722006064452,0.595752,0.803064,0.012865,0.001723
1722006065576,0.595707,0.803097,0.012893,0.001798
1722006066304,0.595636,0.803148,0.012935,0.001956
1722006067417,0.595622,0.803157,0.013006,0.001964
1722006068158,0.595621,0.803159,0.012913,0.002078
1722006069548,0.547314,0.836825,0.012876,0.002152
1722006070615,0.542775,0.839775,0.012973,0.002111
1722006072377,0.543085,0.83957,0.013311,0.002016
1722006073458,0.543002,0.839625,0.013162,0.002289
1722006074233,0.542905,0.839688,0.013141,0.002397
1722006075617,0.542849,0.839723,0.013182,0.002495
