sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1722005905621,1
1722005906399,1
1722005907474,1
1722005908254,1
1722005909367,1
1722005910105,1
1722005911693,1
1722005912303,1
1722005913975,1
1722005914715,1
1722005915829,1
1722005916568,5
1722005917682,5
1722005919487,5
1722005920230,5
1722005921383,5
1722005922079,5
1722005923240,5
1722005925220,5
1722005925914,5
1722005927068,5
1722005928239,5
1722005929358,5
1722005930135,5
1722005931724,5
1722005932463,5
1722005933617,5
1722005934300,5
1722005935437,5
1722005936062,5
1722005937759,5
1722005937882,5
1722005939655,5
1722005939776,5
1722005940857,5
1722005941620,5
1722005943570,5
1722005944135,5
1722005945081,5
1722005946508,5
1722005947584,5
1722005948404,5
1722005949516,5
1722005950254,5
1722005951420,5
1722005952150,5
1722005953530,5
1722005954560,5
1722005955598,5
1722005956370,5
1722005957446,5
1722005958610,5
1722005959550,5
1722005960723,5
1722005961878,5
1722005962694,5
1722005963774,5
1722005964475,5
1722005965625,5
1722005966365,5
1722005967488,5
1722005968217,5
1722005969338,5
1722005970068,5
1722005971227,5
1722005972139,5
1722005973208,5
1722005973972,5
1722005975060,5
1722005975825,5
1722005977343,5
1722005978731,5
1722005979803,5
1722005980582,5
1722005981693,5
1722005982433,5
1722005983548,5
1722005984284,5
1722005985447,5
1722005986139,5
1722005987724,5
1722005988635,5
1722005989706,5
1722005990441,5
1722005991555,5
1722005992295,5
1722005993410,5
1722005994151,5
1722005995263,5
1722005996002,5
1722005997122,5
1722005998115,5
1722005999791,5
1722006000571,5
1722006001648,5
1722006002419,5
1722006003498,5
1722006003614,5
1722006005736,5
1722006006429,5
1722006007581,5
1722006008322,5
1722006009452,5
1722006010177,5
1722006011290,5
1722006012026,5
1722006013143,5
1722006014137,5
1722006015732,5
1722006016506,5
1722006017585,5
1722006018357,5
1722006019477,5
1722006020213,5
1722006021708,5
1722006022455,5
1722006023606,5
1722006024305,5
1722006025473,5
1722006026200,5
1722006027316,5
1722006028051,5
1722006029169,5
1722006029904,5
1722006031273,5
1722006032491,5
1722006033611,5
1722006034383,5
1722006035505,5
1722006036238,5
1722006037352,5
1722006038046,5
1722006039249,5
1722006040158,5
1722006041273,5
1722006043670,5
1722006044766,5
1722006045538,5
1722006046360,5
1722006047431,5
1722006048214,5
1722006049371,5
1722006050064,5
1722006051268,5
1722006051961,5
1722006053287,5
1722006054057,5
1722006055150,5
1722006055883,5
1722006056997,5
1722006058420,5
1722006060015,5
1722006060136,5
1722006061862,5
1722006062603,5
1722006063715,5
1722006064452,5
1722006065576,5
1722006066304,5
1722006067417,5
1722006068158,5
1722006069548,5
1722006070615,5
1722006072377,5
1722006073458,5
1722006074233,5
1722006075617,5
1722006076085,5
1722006077852,5
1722006078626,5
1722006079659,5
1722006079819,5
1722006081556,5
1722006081674,5
1722006083624,5
1722006084398,5
1722006085470,5
1722006086164,5
1722006087237,5
1722006087974,5
1722006089219,5
1722006090300,5
1722006091416,5
1722006092107,5
1722006093182,5
1722006094134,5
1722006095077,5
1722006095878,5
1722006096975,5
1722006097742,5
1722006099475,5
1722006099598,5
1722006101719,5
1722006102404,5
1722006103476,5
1722006104211,5
1722006105327,5
1722006105980,5
1722006106931,5
1722006107695,5
1722006109470,5
1722006110635,5
1722006111449,5
1722006113842,5
1722006114511,5
1722006114855,5
1722006115623,5
1722006116361,5
1722006117438,5
1722006118174,5
1722006119328,5
1722006120024,5
1722006121177,5
1722006122136,5
1722006123247,5
1722006123796,5
1722006125530,5
1722006126272,5
1722006127348,5
1722006128165,5
1722006129236,5
1722006130071,5
1722006131213,5
1722006131776,2
1722006133519,2
1722006134283,5
1722006135357,5
1722006136134,2
1722006137250,2
1722006138206,2
1722006139313,2
1722006140053,2
1722006141165,2
1722006142125,2
1722006143280,2
1722006143874,2
1722006145613,2
1722006145741,2
1722006147544,2
1722006149545,2
1722006150652,2
1722006151730,2
1722006152502,2
1722006153537,2
1722006153660,2
1722006155389,2
1722006155510,2
1722006157582,2
1722006158748,2
1722006159820,2
1722006160559,2
1722006161674,2
1722006162410,2
1722006163479,2
1722006164222,2
1722006165342,2
1722006166074,2
1722006167191,2
1722006168141,2
1722006169253,2
1722006169894,2
1722006171587,2
1722006171716,2
1722006173696,2
1722006174444,2
1722006175594,2
1722006176327,2
1722006177437,2
1722006178134,2
1722006179292,2
1722006180033,2
1722006181239,2
1722006181968,2
1722006183086,2
1722006184123,2
1722006185846,2
1722006186664,2
1722006187701,2
1722006188518,2
1722006189507,2
1722006190328,2
1722006191440,2
1722006192138,2
1722006193782,2
1722006194313,2
1722006196049,2
1722006196789,2
1722006197905,2
1722006198642,2
1722006199765,2
1722006200533,2
1722006201611,2
1722006202384,2
1722006203502,2
1722006204241,2
1722006205546,2
1722006206567,2
1722006207641,2
1722006208422,2
1722006209495,2
1722006209615,2
1722006211650,2
1722006212297,2
1722006213456,2
1722006214189,2
1722006215303,2
1722006216046,2
1722006217153,2
1722006217894,2
1722006219230,2
1722006220434,2
