"Time","X","Y","Z"
1722005915829,-0.049855,-0.96619,0.252965
1722005916568,-0.025963,-0.461193,0.88692
1722005917682,-0.030911,-0.464824,0.884863
1722005919487,-0.031651,-0.46298,0.885803
1722005920230,-0.032223,-0.462095,0.886245
1722005921383,-0.033063,-0.460698,0.886941
1722005922079,-0.033177,-0.461178,0.886687
1722005923240,-0.032746,-0.460132,0.887246
1722005925220,-0.038326,-0.470491,0.881572
1722005925914,-0.035259,-0.505123,0.862327
1722005927068,-0.035291,-0.504128,0.862908
1722005928239,-0.034992,-0.504839,0.862504
1722005929358,-0.034041,-0.505831,0.861961
1722005930135,-0.035357,-0.505871,0.861884
1722005931724,-0.034562,-0.506564,0.86151
1722005932463,-0.03116,-0.517176,0.855312
1722005933617,-0.027694,-0.541372,0.840327
1722005934300,-0.027925,-0.541168,0.840451
1722005935437,-0.027388,-0.540484,0.840908
1722005936062,-0.028917,-0.539805,0.841293
1722005937759,-0.028419,-0.537636,0.842698
1722005937882,-0.029575,-0.537585,0.842691
1722005939655,-0.029713,-0.536337,0.843481
1722005939776,-0.030223,-0.538143,0.842311
1722005940857,-0.025558,-0.558956,0.828803
1722005941620,-0.023718,-0.575606,0.817383
1722005943570,-0.023425,-0.576814,0.81654
1722005944135,-0.023238,-0.577026,0.816395
1722005945081,-0.023185,-0.577488,0.81607
1722005946508,-0.022797,-0.577061,0.816383
1722005947584,-0.022676,-0.577545,0.816044
1722005948404,-0.022817,-0.578785,0.815161
1722005949516,-0.022838,-0.591923,0.805671
1722005950254,-0.022931,-0.605329,0.795645
1722005951420,-0.023517,-0.600201,0.799503
1722005952150,-0.024053,-0.599956,0.799671
1722005953530,-0.024162,-0.598647,0.800648
1722005954560,-0.024965,-0.59744,0.801525
1722005955598,-0.025334,-0.596633,0.802114
1722005956370,-0.025516,-0.594675,0.803561
1722005957446,-0.023572,-0.568082,0.822634
1722005958610,-0.023148,-0.562061,0.826772
1722005959550,-0.022757,-0.563594,0.825739
1722005960723,-0.023106,-0.563271,0.825949
1722005961878,-0.023458,-0.56367,0.825667
1722005962694,-0.023006,-0.563283,0.825944
1722005963774,-0.023464,-0.562558,0.826425
1722005964475,-0.023746,-0.562083,0.82674
1722005965625,-0.023158,-0.524975,0.850802
1722005966365,-0.023572,-0.500598,0.865359
1722005967488,-0.024489,-0.499917,0.865727
1722005968217,-0.024605,-0.498852,0.866338
1722005969338,-0.025302,-0.498234,0.866673
1722005970068,-0.02526,-0.49855,0.866493
1722005971227,-0.024132,-0.499922,0.865734
1722005972139,-0.022348,-0.501473,0.864884
1722005973208,-0.023391,-0.479292,0.877344
1722005973972,-0.025254,-0.435794,0.899692
1722005975060,-0.025034,-0.435666,0.89976
1722005975825,-0.025294,-0.435208,0.899975
1722005977343,-0.02488,-0.435783,0.899708
