"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1722005915617,0,0,0,0,0,0,-0.049855,-0.96619,0.252965,0,0,0,0,0,0,0,0,0
1722005916436,0,0,0,0,0,0,-0.050255,-0.953268,0.297918,0,0,0,0,0,0,-0.025963,-0.461193,0.88692
1722005917472,0,0,0,0,0,0,-0.049587,-0.948108,0.314057,0,0,0,0,0,0,-0.030911,-0.464824,0.884863
1722005919381,0,0,0,0,0,0,-0.048761,-0.948092,0.314236,0,0,0,0,0,0,-0.031651,-0.46298,0.885803
1722005920099,0,0,0,0,0,0,-0.048069,-0.948222,0.31395,0,0,0,0,0,0,-0.032223,-0.462095,0.886245
1722005921995,0,0,0,0,0,0,-0.046799,-0.94876,0.312514,0,0,0,0,0,0,-0.033177,-0.461178,0.886687
1722005924104,0,0,0,0,0,0,-0.045843,-0.949077,0.311692,0,0,0,0,0,0,-0.03418,-0.459965,0.887279
1722005925352,0,0,0,0,0,0,-0.047584,-0.941363,0.334022,0,0,0,0,0,0,-0.038326,-0.470491,0.881572
1722005926470,0,0,0,0,0,0,-0.047625,-0.918472,0.392608,0,0,0,0,0,0,-0.035259,-0.505123,0.862327
1722005927206,0,0,0,0,0,0,-0.048212,-0.917515,0.394767,0,0,0,0,0,0,-0.035291,-0.504128,0.862908
1722005928113,0,0,0,0,0,0,-0.047977,-0.917513,0.3948,0,0,0,0,0,0,-0.034992,-0.504839,0.862504
1722005929019,0,0,0,0,0,0,-0.047717,-0.917439,0.395006,0,0,0,0,0,0,-0.034041,-0.505831,0.861961
1722005929963,0,0,0,0,0,0,-0.047914,-0.917256,0.395406,0,0,0,0,0,0,-0.035357,-0.505871,0.861884
1722005931514,0,0,0,0,0,0,-0.047524,-0.917327,0.395289,0,0,0,0,0,0,-0.034562,-0.506564,0.86151
1722005932288,0,0,0,0,0,0,-0.046692,-0.898691,0.436089,0,0,0,0,0,0,-0.03116,-0.517176,0.855312
1722005933669,0,0,0,0,0,0,-0.046393,-0.880031,0.472645,0,0,0,0,0,0,-0.027694,-0.541372,0.840327
1722005934789,0,0,0,0,0,0,-0.044962,-0.88021,0.47245,0,0,0,0,0,0,-0.027925,-0.541168,0.840451
1722005935521,0,0,0,0,0,0,-0.045268,-0.880316,0.472223,0,0,0,0,0,0,-0.027388,-0.540484,0.840908
1722005936424,0,0,0,0,0,0,-0.044795,-0.880912,0.471156,0,0,0,0,0,0,-0.028917,-0.539805,0.841293
