"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722010814876,0.030701,0.001797,0.037236
1722010816701,0.057443,-0.097697,0.03055
1722010818507,-0.188736,-0.607754,0.047853
1722010821132,0.053117,-0.003709,0.024258
1722010823158,0.024409,0.018707,0.022685
1722010825656,0.02559,-0.456349,0.017966
1722010827296,-0.15531,0.008482,0.072235
1722010829156,0.047612,0.004156,0.024258
1722010830970,-0.006265,0.015561,0.016393
1722010832717,0.043679,-4.591462,-0.02018
1722010834570,-0.000495,0.029034,0.038531
1722010836468,0.101488,0.017134,0.011674
1722010839002,0.085758,-0.015113,0.004595
1722010840817,0.02441,-1.111124,0.022685
1722010842627,0.048792,-0.003316,-0.012315
1722010845191,0.015365,0.017527,0.021112
1722010847047,0.035028,0.027752,0.024258
1722010848836,0.024016,-1.680956,-0.013888
1722010850640,-0.006658,0.016348,0.054539
1722010852623,0.09087,-0.004102,-0.006023
1722010855056,0.020084,0.00455,0.039202
1722010857093,0.038567,-3.329102,-0.025686
1722010859269,0.025196,0.008876,0.042348
1722010861071,0.001207,0.011628,0.026224
1722010862868,0.09559,-0.026125,-0.011922
1722010864682,-0.119916,0.048988,0.125325
1722010866457,0.001994,0.00337,0.035662
1722010868813,0.027162,0.014381,0.023865
1722010870652,0.043286,0.023426,0.003022
1722010872680,0.043286,-2.695168,-0.0249
1722010875047,0.011437,0.036989,0.0266
1722010877109,0.030527,0.007955,0.023418
1722010879268,0.077499,-0.006855,-0.00209
1722010881091,-0.006264,-1.214551,0.02937
1722010882939,0.018117,0.013201,0.024651
1722010884691,0.020477,0.029718,0.023865
1722010886506,0.012612,0.002977,0.016393
1722010888972,0.036207,-3.14309,0.000662
1722010891072,0.012232,0.045341,0.044895
1722010892925,0.002781,0.040336,0.025831
1722010894705,-0.000759,0.02028,0.053359
1722010897146,0.016544,-5.11017,-0.012315
1722010899340,0.04132,0.027359,0.000662
1722010901149,-0.001152,0.018314,0.036842
1722010902944,0.011432,0.005336,0.030157
1722010904776,0.068061,-7.006067,-0.083888
1722010906537,0.056657,0.030112,-0.006416
1722010908905,0.036891,0.005966,-0.019537
1722010910903,0.002387,0.007302,0.030943
1722010912737,0.060589,-3.112024,-0.019787
1722010915055,0.00396,-0.004102,0.006561
1722010916869,0.015758,0.019494,0.039202
1722010918638,0.027556,0.002977,0.016
1722010921176,0.053117,-2.536292,-0.028439
1722010923424,-0.01362,0.013523,0.023418
1722010925272,0.010252,0.010448,0.039988
1722010927084,0.007893,0.005336,0.022685
1722010928912,0.040533,-4.301238,-0.033944
1722010930716,0.027949,0.014381,0.009707
1722010933261,-0.000097,0.010739,0.041315
1722010935092,0.02087,0.005336,0.042741
1722010936882,0.034634,-3.285057,-0.02018
1722010938733,-0.005871,0.025786,0.041561
1722010940631,0.014185,0.011628,0.030943
1722010942604,0.030308,0.004943,0.033303
1722010944957,0.043286,-2.436405,0.014033
1722010946770,-0.000366,0.013595,0.009314
1722010949226,0.020477,0.009269,0.037629
1722010951034,0.025589,0.018314,0.027011
1722010952860,0.034241,-3.598486,-0.013102
1722010954681,0.020477,0.053314,-0.000911
1722010956608,0.014578,0.043482,0.025438
1722010959089,0.034634,0.035617,0.030157
1722010961205,0.042893,-4.075506,-0.034731
1722010963570,0.018511,0.02028,0.062404
1722010965208,0.020584,0.010341,0.036145
1722010967005,0.026152,0.014716,0.029384
1722010968845,0.004747,-0.245169,-0.059113
1722010970638,0.084578,0.037583,0.320382
1722010972655,0.010645,0.024999,0.044707
1722010975071,0.01422,0.034603,0.036941
1722010976709,-0.030325,-0.068011,-0.115389
1722010979251,0.077499,0.031684,0.288134
