"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722010814876,5.535283,39.925537,-2.795547
1722010816701,5.532959,39.918236,-2.795829
1722010818507,5.380059,39.909286,-1.357001
1722010821132,5.383871,39.885979,-1.344368
1722010823158,5.38235,39.882042,-1.333833
1722010825656,5.382641,39.88221,-1.310899
1722010827296,5.17295,39.85799,-0.018872
1722010829156,5.15551,39.863705,0.050651
1722010830970,5.186217,39.817417,0.014269
1722010832717,5.111606,39.837379,0.316638
1722010834570,4.8654,39.841461,1.357175
1722010836468,4.891223,39.859398,1.344797
1722010839002,4.884649,39.859253,1.287782
1722010840817,4.535354,39.857666,2.444376
1722010842627,4.482176,39.835911,2.647316
1722010845191,4.472507,39.843765,2.644617
1722010847047,4.463476,39.834908,2.694796
1722010848836,4.055569,39.80698,3.815821
1722010850640,3.990223,39.794209,3.981086
1722010852623,3.978068,39.829979,3.966083
1722010855056,3.983351,39.818336,3.966091
1722010857093,3.524408,39.808792,5.004256
1722010859269,3.437699,39.850758,5.197578
1722010861071,3.432083,39.849987,5.204545
1722010862868,3.414024,39.828964,5.207537
1722010864682,2.834615,39.814224,6.292478
1722010866457,2.861426,39.854813,6.288707
1722010868813,2.84044,39.849243,6.292409
1722010870652,2.828039,39.838711,6.27989
1722010872680,2.193934,39.824417,7.305564
1722010875047,2.135525,39.846889,7.406747
1722010877109,2.12386,39.840446,7.40906
1722010879268,2.123712,39.809925,7.416213
1722010881091,1.36613,39.800598,8.438318
1722010882939,1.349974,39.83009,8.478999
1722010884691,1.349873,39.83585,8.481357
1722010886506,1.31683,39.805595,8.500851
1722010888972,0.730108,39.796658,9.192261
1722010891072,0.530873,39.835682,9.469206
1722010892925,0.511083,39.838348,9.497755
1722010894705,0.509252,39.879227,9.459549
1722010897146,-0.159255,39.888176,10.115417
1722010899340,-0.316094,39.88097,10.33642
1722010901149,-0.308496,39.869648,10.341613
1722010902944,-0.324102,39.86821,10.310148
1722010904776,-0.711964,39.868702,10.657328
1722010906537,-1.25875,39.908737,11.138949
1722010908905,-1.234018,39.851597,11.155926
1722010910903,-1.244278,39.87114,11.140644
1722010912737,-1.409509,39.863571,11.290583
1722010915055,-2.18134,39.89674,11.840452
1722010916869,-2.170907,39.829571,11.835281
1722010918638,-2.194035,39.867435,11.816856
1722010921176,-2.702541,39.873672,12.115719
1722010923424,-3.080921,39.890255,12.343002
1722010925272,-3.061589,39.818295,12.343334
1722010927084,-3.07332,39.866524,12.355566
1722010928912,-3.39134,39.863636,12.486433
1722010930716,-4.19841,39.89344,12.86922
1722010933261,-4.204527,39.805111,12.839644
1722010935092,-4.221955,39.846119,12.847632
1722010936882,-4.609659,39.874405,12.990882
1722010938733,-5.119861,39.870975,13.175571
1722010940631,-5.098851,39.790054,13.144158
1722010942604,-5.117453,39.852139,13.167257
1722010944957,-5.53423,39.860687,13.273458
1722010946770,-6.146411,39.864395,13.40381
1722010949226,-6.136825,39.813824,13.397685
1722010951034,-6.152989,39.835934,13.403826
1722010952860,-6.591128,39.846851,13.451274
1722010954681,-7.084727,39.854897,13.505114
1722010956608,-7.060779,39.802948,13.504744
1722010959089,-7.069939,39.852394,13.506847
1722010961205,-7.741285,39.854263,13.539415
1722010963570,-8.208591,39.891747,13.546941
1722010965208,-8.187792,39.785107,13.503719
1722010967005,-8.20405,39.868839,13.517294
1722010968845,-8.183931,39.853371,13.497319
1722010970638,-9.230876,39.850803,13.372963
1722010972655,-9.210173,39.798225,13.361801
1722010975071,-9.212198,39.806618,13.374235
1722010976709,-9.21974,39.842991,13.3704
1722010979251,-10.154675,39.839199,13.155235
1722010981059,-10.142599,39.807842,13.152483
1722010982882,-10.145823,39.817516,13.193505
1722010984693,-10.179996,39.816105,13.141894
1722010986532,-11.893543,39.820282,12.458322
1722010989028,-11.980637,39.798012,12.396724
1722010991697,-11.992109,39.892925,12.484147
1722010993510,-12.029031,39.870991,12.444873
1722010995318,-12.923813,39.879429,11.871768
1722010997125,-12.903962,39.837238,11.863742
1722010998881,-12.909778,39.852257,11.872561
1722011000748,-12.91963,39.885994,11.864776
1722011003052,-13.384936,39.892155,11.519204
1722011006615,-13.687833,39.847137,11.281117
1722011009251,-13.723253,39.906136,11.244621
1722011011058,-13.878679,39.910915,11.100432
1722011012863,-14.523666,39.915031,10.466745
1722011014671,-14.482887,39.867531,10.504628
1722011016614,-14.498196,39.909702,10.508541
1722011018966,-14.501616,39.915173,10.464686
1722011020877,-15.188367,39.930946,9.673964
1722011023103,-15.167423,39.882381,9.686099
1722011025259,-15.177563,39.868637,9.684029
1722011027067,-15.202485,39.944096,9.647152
1722011028873,-15.53368,39.947639,9.20671
1722011030702,-15.852616,39.944561,8.71819
1722011032511,-15.826797,39.857563,8.710891
1722011035249,-15.832593,39.881329,8.732907
1722011037032,-15.974678,39.957073,8.490335
1722011038839,-16.410042,39.981243,7.678308
1722011040676,-16.399059,39.899826,7.709492
1722011042616,-16.414301,39.883469,7.70594
1722011044442,-16.418636,39.972427,7.683403
1722011047029,-16.956898,39.978363,6.568984
1722011048832,-16.881838,39.816708,6.524807
1722011051403,-16.870516,39.835373,6.534853
1722011053819,-16.917181,39.885071,6.596883
1722011054988,-16.955002,39.954197,6.593337
1722011057176,-17.385622,39.972023,5.472982
1722011059001,-17.378368,40.037704,5.450844
1722011060856,-17.289974,40.046726,5.485579
1722011062659,-17.393242,40.015331,5.469483
1722011065532,-17.578979,40.001972,4.883773
1722011067256,-17.755539,39.994244,4.261598
1722011069109,-17.653938,39.846859,4.20614
1722011070938,-17.65189,39.852451,4.202956
1722011072748,-17.739237,40.016438,4.259835
1722011074550,-17.818573,39.992397,4.010549
1722011076480,-17.994007,39.893898,3.042732
1722011079190,-17.88929,39.855682,2.998322
1722011080969,-17.928452,39.886047,3.016523
1722011083453,-17.975252,39.901535,3.027784
1722011084586,-18.124008,39.896114,2.051647
1722011086945,-18.143206,39.909538,1.762926
1722011088769,-18.088484,39.87941,1.740381
1722011090603,-18.173819,39.937798,1.73253
1722011092598,-18.249907,39.930054,0.924124
1722011094915,-18.267902,39.925667,0.280576
1722011096739,-18.201916,39.907776,0.294706
1722011098592,-18.267607,39.953182,0.306051
1722011100621,-18.271616,39.98045,0.32236
1722011102926,-18.280647,39.989456,-0.963049
1722011105123,-18.256659,40.100449,-0.985983
1722011106933,-18.143175,39.90337,-1.002815
1722011109389,-18.16235,39.8895,-1.01919
1722011110554,-18.159672,39.890587,-1.015633
1722011113309,-18.152496,39.89241,-1.013785
1722011115040,-18.157898,39.887104,-1.016439
1722011116814,-18.161623,39.885235,-1.018759
1722011118495,-18.166502,39.887589,-1.016671
1722011121275,-18.152876,39.888905,-1.009717
1722011123043,-18.148006,39.887718,-1.012219
1722011125411,-18.143002,39.89241,-1.02565
1722011127051,-18.151716,39.88353,-1.013711
1722011128877,-18.146317,39.886124,-1.00942
1722011130691,-18.126093,39.961304,-0.912786
1722011133250,-18.218807,39.977436,-0.911865
1722011135076,-18.201998,39.945198,-0.948911
1722011136886,-18.193508,39.930489,-0.993209
1722011138693,-18.129951,39.923683,-0.964651
1722011140532,-18.176563,39.888435,-1.012048
1722011142855,-18.185413,39.897717,-1.003509
1722011145486,-18.163019,39.897854,-1.005576
1722011147295,-18.165041,39.881027,-1.01744
1722011149076,-18.172401,39.893063,-1.017008
1722011150887,-18.17581,39.897385,-1.02141
1722011152708,-18.184803,39.888542,-1.013088
1722011155351,-18.205173,39.851112,-1.025579
