"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722010814876,0.999999,0.000757,0.000203,0.001111
1722010816701,0.999997,0.001685,-0.000537,0.001702
1722010818507,0.999358,0.000524,-0.035772,0.001964
1722010821132,0.999359,0.002051,-0.035652,0.002405
1722010823158,0.999367,0.002871,-0.035369,0.002707
1722010825656,0.999207,0.003908,-0.039517,0.003058
1722010827296,0.997054,0.003694,-0.076552,0.00309
1722010829156,0.997081,0.004096,-0.076155,0.003674
1722010830970,0.997092,0.004136,-0.075992,0.004051
1722010832717,0.99324,0.004996,-0.115903,0.003926
1722010834570,0.993275,0.004727,-0.115589,0.004621
1722010836468,0.993278,0.004339,-0.115548,0.005382
1722010839002,0.993277,0.005232,-0.1155,0.005785
1722010840817,0.988997,0.005882,-0.147701,0.005846
1722010842627,0.989001,0.003844,-0.147701,0.006775
1722010845191,0.989046,0.004008,-0.147365,0.007458
1722010847047,0.989095,0.005118,-0.14698,0.007839
1722010848836,0.984568,0.005914,-0.174731,0.007755
1722010850640,0.984637,0.005431,-0.174313,0.008734
1722010852623,0.984586,0.006725,-0.174537,0.009053
1722010855056,0.984588,0.006931,-0.174481,0.009722
1722010857093,0.973189,0.007996,-0.229687,0.009141
1722010859269,0.973215,0.007981,-0.229544,0.009916
1722010861071,0.973256,0.008094,-0.229339,0.010493
1722010862868,0.973183,0.009174,-0.229597,0.010787
1722010864682,0.963884,0.00876,-0.265953,0.01098
1722010866457,0.963894,0.009083,-0.265882,0.011552
1722010868813,0.963973,0.009476,-0.265561,0.012015
1722010870652,0.96403,0.00992,-0.265318,0.012387
1722010872680,0.950383,0.011364,-0.310648,0.011851
1722010875047,0.950652,0.01197,-0.309785,0.012285
1722010877109,0.950727,0.012309,-0.309517,0.012884
1722010879268,0.950735,0.013056,-0.309443,0.01336
1722010881091,0.935249,0.013812,-0.353494,0.012691
1722010882939,0.935328,0.013724,-0.35326,0.013434
1722010884691,0.93543,0.014012,-0.352963,0.01388
1722010886506,0.935487,0.014094,-0.352793,0.014202
1722010888972,0.914875,0.01565,-0.40321,0.013422
1722010891072,0.915238,0.016042,-0.402355,0.013865
1722010892925,0.915515,0.016059,-0.401703,0.014463
1722010894705,0.915751,0.016011,-0.401138,0.01523
1722010897146,0.893383,0.017155,-0.448732,0.014561
1722010899340,0.893589,0.016707,-0.448312,0.01534
1722010901149,0.893774,0.016627,-0.447925,0.015961
1722010902944,0.893909,0.016704,-0.447628,0.016623
1722010904776,0.86475,0.019437,-0.501606,0.014885
1722010906537,0.864881,0.017446,-0.501388,0.016933
1722010908905,0.864981,0.017554,-0.501196,0.017414
1722010910903,0.864994,0.017289,-0.501161,0.018029
1722010912737,0.850944,0.018427,-0.524625,0.017999
1722010915055,0.84833,0.018589,-0.528826,0.018266
1722010916869,0.84854,0.018644,-0.528462,0.018965
1722010918638,0.848581,0.018874,-0.528371,0.019465
1722010921176,0.836477,0.020436,-0.547296,0.018872
1722010923424,0.835765,0.019893,-0.548375,0.01962
1722010925272,0.835876,0.019876,-0.548194,0.019983
1722010927084,0.835909,0.0198,-0.548134,0.02031
1722010928912,0.814699,0.021237,-0.579165,0.019543
1722010930716,0.811755,0.021031,-0.583262,0.020426
1722010933261,0.81182,0.020834,-0.583164,0.020846
1722010935092,0.811919,0.020892,-0.582993,0.02167
1722010936882,0.794649,0.022587,-0.606302,0.020518
1722010938733,0.791949,0.022565,-0.609813,0.020846
1722010940631,0.792096,0.022613,-0.609602,0.021402
1722010942604,0.792155,0.022726,-0.609498,0.022054
1722010944957,0.778608,0.024232,-0.626687,0.021141
1722010946770,0.772999,0.024714,-0.633576,0.021072
1722010949226,0.773129,0.024729,-0.6334,0.021574
1722010951034,0.773239,0.024672,-0.633245,0.022207
1722010952860,0.752782,0.026163,-0.657409,0.021173
1722010954681,0.748049,0.026538,-0.662772,0.021266
1722010956608,0.74867,0.026341,-0.662059,0.021853
1722010959089,0.749114,0.02643,-0.661531,0.02251
1722010961205,0.720977,0.028156,-0.692054,0.021466
1722010963570,0.721249,0.02723,-0.691754,0.023126
1722010965208,0.721413,0.027012,-0.691568,0.023808
1722010967005,0.721544,0.026971,-0.691408,0.024523
1722010968845,0.72007,0.027364,-0.692929,0.024493
1722010970638,0.688268,0.027386,-0.724495,0.025376
1722010972655,0.688529,0.027165,-0.724229,0.026123
1722010975071,0.688745,0.026988,-0.724009,0.02668
1722010976709,0.688418,0.027616,-0.724316,0.026163
1722010979251,0.660082,0.027385,-0.750192,0.027448
1722010981059,0.660337,0.026842,-0.749964,0.028077
1722010982882,0.660381,0.026656,-0.749907,0.028735
1722010984693,0.66092,0.026904,-0.749427,0.028653
1722010986532,0.598443,0.029852,-0.800172,0.026439
1722010989028,0.598897,0.029869,-0.799818,0.026857
1722010991697,0.599198,0.02958,-0.799584,0.027417
1722010993510,0.59945,0.029609,-0.799384,0.027742
1722010995318,0.557741,0.031077,-0.829007,0.02658
1722010997125,0.557857,0.0307,-0.828939,0.026708
1722010998881,0.557989,0.030474,-0.828839,0.027297
1722011000748,0.557394,0.030663,-0.82925,0.026766
1722011003052,0.524161,0.032012,-0.850623,0.025921
1722011006615,0.518426,0.031536,-0.85412,0.026794
1722011009251,0.5186,0.031143,-0.854,0.027722
1722011011058,0.490348,0.032171,-0.870518,0.026883
1722011012863,0.461002,0.033006,-0.886382,0.026733
1722011014671,0.461228,0.032651,-0.886253,0.027527
1722011016614,0.46122,0.032525,-0.886253,0.027812
1722011018966,0.456672,0.032504,-0.8886,0.028018
1722011020877,0.433254,0.033264,-0.900232,0.027699
1722011023103,0.433926,0.033029,-0.8999,0.028233
1722011025259,0.434238,0.032674,-0.899751,0.028591
1722011027067,0.434803,0.032447,-0.899475,0.028941
1722011028873,0.407703,0.03342,-0.912059,0.028464
1722011030702,0.401015,0.033391,-0.915019,0.028491
1722011032511,0.401657,0.033077,-0.914729,0.029122
1722011035249,0.40168,0.032864,-0.914705,0.0298
