"Time","X","Y","Z"
1722010814876,0,0,0
1722010816701,0,0,0
1722010818507,0,0,0
1722010821132,0,0,0
1722010823158,0,0,0
1722010825656,0,0,0
1722010827296,0,0,0
1722010829156,0,0,0
1722010830970,0,0,0
1722010832717,0,0,0
1722010834570,0,0,0
1722010836468,0,0,0
1722010839002,0,0,0
1722010840817,0,0,0
1722010842627,0,0,0
1722010845191,0,0,0
1722010847047,0,0,0
1722010848836,0,0,0
1722010850640,0,0,0
1722010852623,0,0,0
1722010855056,0,0,0
1722010857093,-0.239786,-0.054878,-0.969273
1722010859269,-0.475648,-0.015453,-0.8795
1722010861071,-0.475629,-0.014671,-0.879524
1722010862868,-0.47439,-0.015338,-0.880181
1722010864682,-0.491071,-0.006663,-0.871094
1722010866457,-0.489919,-0.007168,-0.871738
1722010868813,-0.488808,-0.006509,-0.872367
1722010870652,-0.490119,-0.006705,-0.87163
1722010872680,-0.481035,-0.00366,-0.876694
1722010875047,-0.483816,-0.000743,-0.87517
1722010877109,-0.483666,-0.000256,-0.875253
1722010879268,-0.48249,0.000897,-0.875901
1722010881091,-0.476261,0.001689,-0.879302
1722010882939,-0.462375,0.002727,-0.88668
1722010884691,-0.462906,0.002898,-0.886402
1722010886506,-0.463304,0.002632,-0.886195
1722010888972,-0.457431,0.001855,-0.889243
1722010891072,-0.445068,0.0037,-0.895489
1722010892925,-0.44572,0.003229,-0.895167
1722010894705,-0.446419,0.002568,-0.89482
1722010897146,-0.445496,0.00216,-0.895281
1722010899340,-0.445209,0.003404,-0.89542
1722010901149,-0.44454,0.003272,-0.895753
1722010902944,-0.444518,0.003658,-0.895762
1722010904776,-0.443918,0.004333,-0.896057
1722010906537,-0.395818,0.006513,-0.918306
1722010908905,-0.394531,0.009189,-0.918837
1722010910903,-0.394362,0.009206,-0.918909
1722010912737,-0.394016,0.009613,-0.919053
1722010915055,-0.362923,0.007791,-0.931787
1722010916869,-0.362681,0.008404,-0.931876
1722010918638,-0.36209,0.008238,-0.932107
1722010921176,-0.361951,0.008355,-0.93216
1722010923424,-0.303116,0.008588,-0.952915
1722010925272,-0.303214,0.008811,-0.952882
1722010927084,-0.304117,0.00789,-0.952602
1722010928912,-0.3042,0.007672,-0.952577
1722010930716,-0.208883,0.010641,-0.977883
1722010933261,-0.210004,0.010132,-0.977648
1722010935092,-0.210503,0.009217,-0.97755
1722010936882,-0.209195,0.008441,-0.977838
1722010938733,-0.136943,0.007194,-0.990553
1722010940631,-0.136396,0.00669,-0.990632
1722010942604,-0.136807,0.006986,-0.990573
1722010944957,-0.131135,0.006732,-0.991342
1722010946770,-0.058869,0.003769,-0.998259
1722010949226,-0.055801,0.003432,-0.998436
1722010951034,-0.054119,0.004724,-0.998523
1722010952860,-0.049729,0.007477,-0.998735
1722010954681,0.016827,0.001441,-0.999857
1722010956608,0.016762,0.000047,-0.99986
1722010959089,0.016418,0.000024,-0.999865
1722010961205,0.02333,-0.001812,-0.999726
1722010963570,0.094331,-0.003005,-0.995536
1722010965208,0.093945,-0.003404,-0.995572
1722010967005,0.093746,-0.003875,-0.995589
1722010968845,0.093408,-0.004496,-0.995618
1722010970638,0.160578,0.007184,-0.986997
1722010972655,0.173137,0.010256,-0.984845
1722010975071,0.172944,0.010265,-0.984878
1722010976709,0.174606,0.011532,-0.984571
1722010979251,0.244469,0.022471,-0.969397
1722010981059,0.259671,0.02426,-0.965392
1722010982882,0.258416,0.023446,-0.965749
1722010984693,0.258237,0.022679,-0.965816
1722010986532,0.340908,0.025254,-0.939757
1722010989028,0.375068,0.024987,-0.926661
1722010991697,0.374614,0.024279,-0.926863
1722010993510,0.374235,0.02393,-0.927025
1722010995318,0.402346,0.025114,-0.915143
1722010997125,0.418047,0.025596,-0.908065
1722010998881,0.417393,0.025767,-0.908361
1722011000748,0.418021,0.025757,-0.908072
1722011003052,0.428391,0.026358,-0.903209
1722011006615,0.441454,0.029259,-0.896807
1722011009251,0.440558,0.027501,-0.897303
1722011011058,0.439971,0.027186,-0.8976
1722011012863,0.44902,0.025097,-0.893169
1722011014671,0.448718,0.025515,-0.893309
1722011016614,0.447444,0.024894,-0.893965
1722011018966,0.447216,0.024559,-0.894089
1722011020877,0.453993,0.025116,-0.890651
1722011023103,0.456672,0.026523,-0.889239
1722011025259,0.456217,0.027466,-0.889445
1722011027067,0.456249,0.02723,-0.889436
1722011028873,0.455928,0.029245,-0.889536
1722011030702,0.447492,0.034016,-0.893641
1722011032511,0.449808,0.034953,-0.892441
1722011035249,0.450965,0.038397,-0.891715
1722011037032,0.449862,0.036854,-0.892337
1722011038839,0.438854,0.036509,-0.897816
1722011040676,0.437947,0.035282,-0.898308
1722011042616,0.437714,0.035314,-0.898421
1722011044442,0.437351,0.035198,-0.898602
1722011047029,0.245945,0.028341,-0.968869
1722011048832,0.162641,0.029598,-0.986241
1722011051403,0.161476,0.026334,-0.986525
1722011053819,0.160342,0.027471,-0.986679
1722011054988,0.16276,0.027446,-0.986284
1722011057176,0,0,0
1722011059001,0,0,0
1722011060856,0,0,0
1722011062659,0,0,0
1722011065532,0,0,0
1722011067256,0,0,0
1722011069109,0,0,0
1722011070938,0,0,0
1722011072748,0,0,0
1722011074550,0,0,0
1722011076480,0,0,0
1722011079190,0,0,0
1722011080969,0,0,0
1722011083453,0,0,0
1722011084586,0,0,0
1722011086945,0,0,0
1722011088769,0,0,0
1722011090603,0,0,0
1722011092598,0,0,0
1722011094915,0,0,0
1722011096739,0,0,0
1722011098592,0,0,0
1722011100621,0,0,0
1722011102926,0,0,0
1722011105123,0,0,0
1722011106933,0,0,0
1722011109389,0,0,0
1722011110554,0,0,0
1722011113309,0,0,0
1722011115040,0,0,0
1722011116814,0,0,0
1722011118495,0,0,0
1722011121275,0,0,0
1722011123043,0,0,0
1722011125411,0,0,0
1722011127051,0,0,0
1722011128877,0,0,0
1722011130691,0,0,0
1722011133250,0,0,0
1722011135076,0,0,0
1722011136886,0,0,0
1722011138693,0,0,0
1722011140532,0,0,0
1722011142855,0,0,0
1722011145486,0,0,0
1722011147295,0,0,0
1722011149076,0,0,0
1722011150887,0,0,0
1722011152708,0,0,0
1722011155351,0,0,0
