Time, X, Y, Z
1722010814876,0,0,0
1722010816701,0,0,0
1722010818507,0,0,0
1722010821132,0,0,0
1722010823158,0,0,0
1722010825656,0,0,0
1722010827296,0,0,0
1722010829156,0,0,0
1722010830970,0,0,0
1722010832717,0,0,0
1722010834570,0,0,0
1722010836468,0,0,0
1722010839002,0,0,0
1722010840817,0,0,0
1722010842627,0,0,0
1722010845191,0,0,0
1722010847047,0,0,0
1722010848836,0,0,0
1722010850640,0,0,0
1722010852623,0,0,0
1722010855056,0,0,0
1722010857093,-0.260682,-0.0595583,-0.963586
1722010859269,-0.432672,-0.0120668,-0.901471
1722010861071,-0.432655,-0.011313,-0.901489
1722010862868,-0.431601,-0.0119506,-0.901985
1722010864682,-0.446189,-0.00410194,-0.894929
1722010866457,-0.44515,-0.0045417,-0.895444
1722010868813,-0.444151,-0.00396357,-0.895943
1722010870652,-0.445329,-0.00413703,-0.895357
1722010872680,-0.437292,-0.00146861,-0.899318
1722010875047,-0.439718,0.0010953,-0.898135
1722010877109,-0.439586,0.00152998,-0.898199
1722010879268,-0.438556,0.00256916,-0.8987
1722010881091,-0.433177,0.00329478,-0.901303
1722010882939,-0.421543,0.0042577,-0.906798
1722010884691,-0.42198,0.00441652,-0.906594
1722010886506,-0.422308,0.00416928,-0.906443
1722010888972,-0.417507,0.00345597,-0.908667
1722010891072,-0.407718,0.00516974,-0.913093
1722010892925,-0.408222,0.00472848,-0.912871
1722010894705,-0.408764,0.00411496,-0.912631
1722010897146,-0.408049,0.00373984,-0.912952
1722010899340,-0.407827,0.00489205,-0.913046
1722010901149,-0.407311,0.00476874,-0.913277
1722010902944,-0.407294,0.00513027,-0.913283
1722010904776,-0.406832,0.00576843,-0.913485
1722010906537,-0.372226,0.00785513,-0.928109
1722010908905,-0.371329,0.0105639,-0.928441
1722010910903,-0.371212,0.0105815,-0.928488
1722010912737,-0.370972,0.0110085,-0.928579
1722010915055,-0.350455,0.00909689,-0.936535
1722010916869,-0.350297,0.00971566,-0.936588
1722010918638,-0.349913,0.00954659,-0.936734
1722010921176,-0.349822,0.00966511,-0.936766
1722010923424,-0.309317,0.00985841,-0.950908
1722010925272,-0.309382,0.0100842,-0.950884
1722010927084,-0.309977,0.00915981,-0.9507
1722010928912,-0.310032,0.00894366,-0.950684
1722010930716,-0.236781,0.0119476,-0.97149
1722010933261,-0.237785,0.011417,-0.971251
1722010935092,-0.238227,0.0104792,-0.971153
1722010936882,-0.237064,0.00969936,-0.971446
1722010938733,-0.162639,0.00851415,-0.986649
1722010940631,-0.162147,0.00802697,-0.986734
1722010942604,-0.162517,0.00831248,-0.986671
1722010944957,-0.157607,0.00806876,-0.987469
1722010946770,-0.0712748,0.00532045,-0.997443
1722010949226,-0.0671301,0.00501326,-0.997732
1722010951034,-0.0648873,0.00620397,-0.997873
1722010952860,-0.059245,0.00883238,-0.998204
1722010954681,0.0223884,0.00322748,-0.999744
1722010956608,0.0222922,0.00199931,-0.999749
1722010959089,0.0217828,0.00197922,-0.999761
1722010961205,0.0318178,0.000386848,-0.999494
1722010963570,0.108861,-0.000643364,-0.994057
1722010965208,0.108447,-0.000983496,-0.994102
1722010967005,0.108234,-0.00138431,-0.994124
1722010968845,0.10787,-0.00191178,-0.994163
1722010970638,0.173293,0.0085139,-0.984834
1722010972655,0.1818,0.0116097,-0.983267
1722010975071,0.181666,0.011619,-0.983292
1722010976709,0.182833,0.0129603,-0.983059
1722010979251,0.242711,0.0265226,-0.969736
1722010981059,0.254183,0.0290682,-0.966719
1722010982882,0.253301,0.027919,-0.966985
1722010984693,0.253178,0.0268511,-0.967047
1722010986532,0.30472,0.0309879,-0.951938
1722010989028,0.33067,0.0308292,-0.943243
1722010991697,0.330302,0.0297938,-0.943405
1722010993510,0.329992,0.0292854,-0.943529
1722010995318,0.352306,0.0312164,-0.935364
1722010997125,0.363627,0.0320752,-0.930992
1722010998881,0.363168,0.0323237,-0.931163
1722011000748,0.363607,0.032315,-0.930992
1722011003052,0.370735,0.0333247,-0.928141
1722011006615,0.379643,0.0378937,-0.924357
1722011009251,0.379045,0.0351954,-0.924709
1722011011058,0.378644,0.0347095,-0.924891
1722011012863,0.385015,0.0316594,-0.922367
1722011014671,0.384794,0.032284,-0.922438
1722011016614,0.383891,0.0313382,-0.922846
1722011018966,0.383732,0.0308354,-0.922929
1722011020877,0.388677,0.0317413,-0.920827
1722011023103,0.390731,0.0338974,-0.91988
1722011025259,0.390364,0.0353302,-0.919983
1722011027067,0.390391,0.0349699,-0.919985
1722011028873,0.390117,0.0380582,-0.919978
1722011030702,0.383805,0.0453047,-0.922302
1722011032511,0.385451,0.0467785,-0.921542
1722011035249,0.386235,0.0520269,-0.920932
1722011037032,0.385458,0.0496809,-0.921387
1722011038839,0.377737,0.0489878,-0.924616
1722011040676,0.377135,0.0471038,-0.92496
1722011042616,0.376974,0.0471492,-0.925023
1722011044442,0.376727,0.0469664,-0.925133
1722011047029,0.243854,0.0348963,-0.969184
1722011048832,0.174616,0.0365254,-0.983959
1722011051403,0.173851,0.0317868,-0.984259
1722011053819,0.173081,0.0334195,-0.98434
1722011054988,0.174708,0.0333895,-0.984054
1722011057176,0,0,0
1722011059001,0,0,0
1722011060856,0,0,0
1722011062659,0,0,0
1722011065532,0,0,0
1722011067256,0,0,0
1722011069109,0,0,0
1722011070938,0,0,0
1722011072748,0,0,0
1722011074550,0,0,0
1722011076480,0,0,0
1722011079190,0,0,0
1722011080969,0,0,0
1722011083453,0,0,0
1722011084586,0,0,0
1722011086945,0,0,0
1722011088769,0,0,0
1722011090603,0,0,0
1722011092598,0,0,0
1722011094915,0,0,0
1722011096739,0,0,0
1722011098592,0,0,0
1722011100621,0,0,0
1722011102926,0,0,0
1722011105123,0,0,0
1722011106933,0,0,0
1722011109389,0,0,0
1722011110554,0,0,0
1722011113309,0,0,0
1722011115040,0,0,0
1722011116814,0,0,0
1722011118495,0,0,0
1722011121275,0,0,0
1722011123043,0,0,0
1722011125411,0,0,0
1722011127051,0,0,0
1722011128877,0,0,0
1722011130691,0,0,0
1722011133250,0,0,0
1722011135076,0,0,0
1722011136886,0,0,0
1722011138693,0,0,0
1722011140532,0,0,0
1722011142855,0,0,0
1722011145486,0,0,0
1722011147295,0,0,0
1722011149076,0,0,0
1722011150887,0,0,0
1722011152708,0,0,0
1722011155351,0,0,0
