"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1722010813998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010815101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010815835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010816997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010817685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010818981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010819797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010820917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010822125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010823675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010824192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010825267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010826045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010828225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010829221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010831027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010831852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010832871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010833666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010834835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010835651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010837114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010837892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010839096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010839903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010840907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010841733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010843167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010843735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010845241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010846108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010847105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010847948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010848898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010849723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010850790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010851738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010852948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722010853722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
