"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722012256996,0,0,0
1722012259087,0.009448,0.036194,0.023418
1722012261395,0.011825,0.035224,0.004202
1722012263177,0.012612,0.016347,0.020325
1722012264986,0.012612,0.010842,0.018359
1722012266819,0.000421,0.012415,0.014426
1722012269374,1.955309,0.005336,0.010494
1722012271180,-0.002086,-0.184943,0.043702
1722012273040,0.033848,-0.017866,0.008527
1722012274834,0.019297,0.012022,0.017966
1722012277147,0.14514,0.085561,-0.006416
1722012279107,1.939579,0.025786,0.020325
1722012281296,0.018117,-0.033989,0.01128
1722012283095,0.025589,0.017528,0.022292
1722012284905,0.037387,0.015954,0.012067
1722012286722,0.14396,0.002976,0.01128
1722012288741,0.008286,0.012415,0.015606
1722012291331,0.013005,0.008876,0.019539
1722012293056,0.013398,0.014774,0.017966
1722012294903,0.659522,0.094999,-0.02372
1722012296992,1.496376,0.038764,0.014426
1722012298732,0.010243,0.001592,0.012281
1722012300598,0.015758,-0.01118,0.023471
1722012303392,0.02087,0.001404,0.014426
1722012305158,0.433028,0.023864,-0.006412
1722012306960,0.204128,-0.064664,0.043528
1722012308773,0.000421,0.025786,0.003415
1722012310638,0.009859,-0.013934,0.025831
1722012313300,-0.003905,0.000224,0.021505
1722012315125,3.754465,0.067078,0.007348
1722012316903,0.007499,-0.003315,0.015999
1722012319102,0.001096,-0.017897,0.027793
1722012321396,0.000421,-0.001742,0.012067
1722012323206,3.115421,0.109157,-0.009956
1722012325011,0.007499,-0.005675,0.021505
1722012326863,0.003567,-0.010787,0.018359
1722012328591,0.007499,-0.01708,0.010494
1722012330556,0.044072,0.006123,-0.002091
1722012332945,3.317163,0.02028,0.033303
1722012334811,0.009859,0.020674,0.014426
1722012337596,0.002387,-0.007248,0.010887
1722012339279,0.019297,-0.008428,0.038022
1722012341115,4.653848,0.038763,0.046674
1722012342894,-0.009411,0.00101,0.021898
1722012345086,0.00396,-0.0159,0.019539
1722012347381,0.834521,0.058819,-0.047315
1722012349181,0.034634,-0.071349,0.094258
1722012350946,-0.005085,0.002977,0.015999
1722012352784,0.011825,0.000224,0.006168
1722012354601,2.743792,0.044662,-0.02372
1722012357194,-0.01295,0.021853,-0.011135
1722012358955,-0.004473,0.007955,0.006713
1722012360794,0.016151,-0.007248,0.033303
1722012363224,3.6416,0.061179,0.030943
1722012365036,0.013005,-0.006068,-0.00327
1722012366849,-0.003512,0.011628,0.017572
1722012368714,0.018117,-0.002136,0.016393
1722012370547,4.246039,0.048201,0.005775
1722012373092,0.008679,0.015954,-0.010349
1722012374925,0.006713,0.010056,0.025831
1722012376689,0.00632,0.006516,0.009707
1722012379070,4.917725,0.061572,-0.002484
1722012380891,0.007893,0.017527,0.002629
1722012382707,0.009072,0.00337,0.021505
1722012385325,0.021657,0.00573,0.005381
1722012387123,0.045645,0.025786,-0.078383
1722012388937,-0.013343,-0.035956,0.180775
1722012390791,-0.005871,0.009269,-0.003663
1722012392629,0.009859,-0.000956,0.013247
1722012395147,0.394466,0.008876,-0.077203
1722012397266,-0.02868,-0.038316,0.206337
1722012399072,0.012612,-0.011181,0.036842
1722012400850,0.001891,0.000001,0.034554
1722012402700,0.012612,-0.019833,0.021898
1722012404680,3.735983,0.030111,0.008134
1722012407166,0.000421,0.012415,0.045101
1722012409059,0.013005,0.032864,0.02937
1722012411431,0.013791,0.019494,0.021505
1722012413021,0.265084,0.028538,-0.122427
1722012414849,0.870702,0.00337,0.040381
1722012417328,-0.010836,0.007557,0.041315
1722012419356,0.018511,-0.001742,0.033303
1722012421164,5.787611,0.067471,0.043134
1722012422989,-0.017995,-0.003181,0.024213
1722012425259,0.016544,0.002583,0.003415
1722012427082,-0.002332,0.001404,0.006168
1722012428898,0.361432,-0.010787,-0.063046
1722012430965,0.079466,0.016347,0.047853
1722012432773,0.008286,0.012021,0.041561
1722012435251,-0.003512,0.001404,0.034876
1722012437405,-0.001939,0.00101,0.023471
1722012439105,-0.006265,0.010842,0.027404
1722012440869,2.926264,0.043876,0.04628
1722012442715,0.019691,0.01674,0.052572
1722012444522,0.012219,0.013988,0.029764
1722012446961,-0.001939,0.003763,0.03173
1722012449102,2.27896,0.07219,0.035269
1722012451321,-0.01413,0.07101,0.149314
1722012453108,0.02087,0.033651,0.03055
1722012454916,0.016938,0.033651,0.026617
1722012456706,4.822557,0.069831,0.04864
1722012458624,-0.002332,0.027752,0.023078
1722012460452,0.008653,0.019489,0.01785
1722012463104,0.00278,0.031684,0.033303
1722012464886,0.558455,0.041516,0.009314
1722012466644,0.007106,0.049775,0.062404
1722012468614,-0.011377,-0.005675,0.03055
1722012471395,-0.003905,0.018313,0.043921
1722012473056,0.031488,-0.074102,-0.090574
1722012474861,1.436994,-0.010787,0.015999
1722012476592,0.007106,-0.005675,0.016393
1722012479061,0.007499,0.012415,0.02937
1722012480939,0.892331,-0.000956,-0.002484
1722012483101,-0.032711,0.02983,0.043702
1722012485264,-0.006265,-0.016686,-0.004843
1722012487098,0.016151,-0.005675,0.020719
1722012488914,0.038084,-0.035397,-0.037435
1722012490671,0.064129,0.052921,0.08364
1722012492586,-0.007444,0.029325,0.050213
1722012494996,0.001207,0.03601,0.014426
1722012496674,0.014185,0.03955,0.025831
1722012499120,3.675027,0.082808,0.037629
1722012500786,0.020084,0.024606,0.007348
1722012503010,0.009859,0.026572,0.020325
1722012504844,0.004353,0.027358,0.019932
1722012507408,4.534297,0.082808,0.030943
1722012509113,0.017331,0.046235,0.037235
1722012510893,0.011432,0.045842,0.035269
1722012513069,0.104634,-0.060338,-0.027259
1722012515286,-0.004298,0.144943,0.086786
1722012517117,0.00278,0.047808,0.025044
1722012518925,0.019297,0.014381,0.018359
1722012520785,0.011825,-0.035169,-0.006023
1722012522591,1.985196,0.016348,0.022685
1722012525021,-0.004692,0.045449,0.045101
1722012526863,0.001207,0.015168,0.019146
1722012529459,0.013005,0.032471,0.025831
1722012531185,1.698511,0.055673,0.041561
1722012533039,0.003567,0.004943,0.02819
1722012534859,0.02205,0.002583,0.021898
1722012536670,0.019297,0.02028,0.019539
1722012539067,3.655758,0.038763,0.040775
1722012541610,0.017724,-0.001349,0.018752
1722012543420,-0.014916,0.029325,0.019145
1722012545227,0.013398,0.005729,0.018752
1722012547012,0.318482,0.232671,0.050065
1722012548823,0.005533,0.02146,0.025045
1722012550686,0.014185,0.020674,0.018359
1722012552480,5.991319,0.124887,0.060044
1722012555046,-0.007444,0.001404,0.033303
1722012556880,0.015365,0.029325,0.03173
1722012559078,-0.007444,0.009662,0.022292
1722012561435,3.588118,0.017528,0.056898
1722012563235,-0.019636,-0.002136,0.004202
1722012565038,-0.000759,0.01674,0.009707
1722012566851,0.003567,0.006516,0.022292
