"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722012256996,0,0,0
1722012259087,23.084082,-6.637115,-5.128059
1722012261395,23.081032,-6.644032,-5.12672
1722012263177,23.083099,-6.639013,-5.130033
1722012264986,23.061588,-6.643127,-5.116674
1722012266819,23.078623,-6.634309,-5.132403
1722012269374,23.069004,-6.633589,-4.995374
1722012271180,23.01335,-6.508392,-3.671761
1722012273040,22.965485,-6.591636,-3.657473
1722012274834,22.976494,-6.564805,-3.654345
1722012277147,22.95365,-6.539012,-3.661786
1722012279107,22.89263,-6.354337,-2.461818
1722012281296,22.904442,-6.349736,-2.273344
1722012283095,22.895767,-6.356269,-2.265052
1722012284905,22.878546,-6.333767,-2.257683
1722012286722,22.83099,-6.028582,-1.015331
1722012288741,22.847881,-6.039043,-0.991018
1722012291331,22.856146,-6.043014,-0.989134
1722012293056,22.894634,-6.0049,-0.990703
1722012294903,22.834599,-5.99594,-0.965825
1722012296992,22.789103,-5.631257,0.141864
1722012298732,22.818998,-5.608345,0.248486
1722012300598,22.821659,-5.603385,0.250797
1722012303392,22.815866,-5.60949,0.250976
1722012305158,22.780138,-5.613309,0.250937
1722012306960,22.723579,-5.088297,1.501327
1722012308773,22.7833,-5.071048,1.518451
1722012310638,22.772104,-5.078732,1.537082
1722012313300,22.743113,-5.058117,1.546507
1722012315125,22.691536,-4.590336,2.446815
1722012316903,22.746346,-4.521476,2.55609
1722012319102,22.737555,-4.518763,2.565499
1722012321396,22.751503,-4.51107,2.550247
1722012323206,22.694405,-4.450626,2.671141
1722012325011,22.643446,-3.863998,3.602039
1722012326863,22.701046,-3.878949,3.60182
1722012328591,22.694479,-3.875011,3.601512
1722012330556,22.652246,-3.870389,3.613998
1722012332945,22.612556,-3.285896,4.432397
1722012334811,22.631525,-3.115974,4.622686
1722012337596,22.653538,-3.130584,4.631239
1722012339279,22.599981,-3.113015,4.634567
1722012341115,22.577852,-2.633872,5.199303
1722012342894,22.625154,-2.359467,5.516356
1722012345086,22.629005,-2.372454,5.619038
1722012347381,22.646959,-2.344851,5.532991
1722012349181,22.605778,-1.370018,6.462284
1722012350946,22.614574,-1.378542,6.53544
1722012352784,22.63044,-1.364553,6.464947
1722012354601,22.595482,-0.664017,7.039391
1722012357194,22.558958,-0.435686,7.319169
1722012358955,22.562973,-0.438513,7.327569
1722012360794,22.565231,-0.411284,7.260035
1722012363224,22.543165,0.248829,7.691746
1722012365036,22.511988,0.550706,7.935662
1722012366849,22.504177,0.552605,7.94828
1722012368714,22.49975,0.572266,7.913961
1722012370547,22.490885,1.098262,8.201857
1722012373092,22.439497,1.594768,8.480857
1722012374925,22.445978,1.577402,8.474458
1722012376689,22.464128,1.619614,8.473263
1722012379070,22.452244,2.249057,8.753743
1722012380891,22.421556,2.689105,8.983784
1722012382707,22.42028,2.629111,8.954081
1722012385325,22.428059,2.64149,8.955154
1722012387123,22.434349,2.682391,8.944551
1722012388937,22.402313,3.826916,9.298347
1722012390791,22.401518,3.799712,9.281333
1722012392629,22.395218,3.817182,9.276854
1722012395147,22.405506,3.825962,9.273338
1722012397266,22.378181,4.92226,9.503963
1722012399072,22.398432,4.904149,9.51782
1722012400850,22.401583,4.901621,9.496048
1722012402700,22.389599,4.946403,9.505502
1722012404680,22.378418,5.411737,9.568267
1722012407166,22.377317,5.988347,9.635749
1722012409059,22.378637,5.950477,9.642542
1722012411431,22.380333,5.949085,9.624809
1722012413021,22.365166,5.943235,9.61029
1722012414849,22.365044,6.748071,9.641647
1722012417328,22.379614,6.855806,9.647916
1722012419356,22.474976,6.86655,9.736021
1722012421164,22.445057,7.092863,9.696526
1722012422989,22.455925,8.093637,9.628696
1722012425259,22.367327,8.052928,9.593962
1722012427082,22.41127,8.068602,9.640722
1722012428898,22.434612,8.059953,9.629065
1722012430965,22.433001,9.115114,9.45469
1722012432773,22.362511,9.115966,9.413051
1722012435251,22.36249,9.097529,9.405586
1722012437405,22.36685,9.098577,9.411529
1722012439105,22.418287,9.157421,9.4441
1722012440869,22.43235,10.06587,9.229427
1722012442715,22.37932,10.242961,9.164329
1722012444522,22.371695,10.209269,9.148726
1722012446961,22.417324,10.253459,9.188403
1722012449102,22.368711,10.306149,9.142579
