"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722012256996,1,0,0,0
1722012259087,1,0.000158,0.000561,0.000419
1722012261395,0.999999,0.000464,0.001118,0.000616
1722012263177,0.999998,0.000625,0.001587,0.000804
1722012264986,0.999997,0.000859,0.001986,0.001121
1722012266819,0.999996,0.000836,0.002274,0.001342
1722012269374,0.999814,0.018977,0.003062,0.001506
1722012271180,0.997629,0.06876,0.002178,0.002134
1722012273040,0.997598,0.069191,0.002328,0.002327
1722012274834,0.997564,0.069657,0.002642,0.00262
1722012277147,0.99745,0.071229,0.003481,0.002778
1722012279107,0.98971,0.142985,0.004454,0.003132
1722012281296,0.989714,0.142987,0.003211,0.003366
1722012283095,0.989703,0.143045,0.003608,0.00374
1722012284905,0.989638,0.143485,0.00359,0.004046
1722012286722,0.977091,0.212729,0.004391,0.004609
1722012288741,0.977066,0.21282,0.005099,0.004905
1722012291331,0.97699,0.213163,0.005164,0.005143
1722012293056,0.976957,0.213298,0.005275,0.005512
1722012294903,0.975671,0.219089,0.005973,0.005523
1722012296992,0.969688,0.244186,0.00671,0.005784
1722012298732,0.969644,0.244352,0.006935,0.005817
1722012300598,0.969558,0.244683,0.006999,0.0062
1722012303392,0.969509,0.244868,0.007203,0.00634
1722012305158,0.968535,0.24868,0.007621,0.006284
1722012306960,0.959417,0.281809,0.007724,0.006489
1722012308773,0.959411,0.281823,0.007822,0.006766
1722012310638,0.959362,0.281984,0.007719,0.007014
1722012313300,0.95935,0.282015,0.007842,0.007352
1722012315125,0.943233,0.331918,0.009315,0.007368
1722012316903,0.943211,0.331969,0.009717,0.007383
1722012319102,0.943155,0.332126,0.009732,0.007573
1722012321396,0.943139,0.332166,0.009753,0.00772
1722012323206,0.933758,0.357652,0.010961,0.007772
1722012325011,0.926475,0.376105,0.011209,0.007906
1722012326863,0.926452,0.376158,0.011241,0.008123
1722012328591,0.926432,0.376204,0.011242,0.008231
1722012330556,0.926252,0.376642,0.011362,0.008286
1722012332945,0.909301,0.415884,0.011966,0.008269
1722012334811,0.909282,0.415955,0.01004,0.009279
1722012337596,0.909308,0.415896,0.009919,0.009505
1722012339279,0.909127,0.416289,0.009652,0.009888
1722012341115,0.889547,0.456611,0.010678,0.00995
1722012342894,0.889633,0.456455,0.009586,0.01052
1722012345086,0.889611,0.456499,0.009332,0.01068
1722012347381,0.886263,0.462949,0.010159,0.010588
1722012349181,0.8682,0.495983,0.009963,0.01141
1722012350946,0.868266,0.495861,0.00983,0.011768
1722012352784,0.868164,0.49604,0.009726,0.011924
1722012354601,0.85397,0.52008,0.010675,0.011747
1722012357194,0.854305,0.519523,0.010512,0.01215
1722012358955,0.854356,0.519435,0.010377,0.012495
1722012360794,0.854306,0.519513,0.010112,0.012872
1722012363224,0.834554,0.550657,0.011364,0.012926
1722012365036,0.834394,0.550911,0.009686,0.013789
1722012366849,0.834398,0.550902,0.009568,0.014
1722012368714,0.834292,0.551058,0.009644,0.01408
1722012370547,0.813167,0.58177,0.010896,0.013563
1722012373092,0.813266,0.581627,0.011114,0.013577
1722012374925,0.813245,0.581653,0.010923,0.013892
1722012376689,0.813195,0.581719,0.010885,0.014088
1722012379070,0.786748,0.616993,0.013024,0.013319
1722012380891,0.785336,0.618783,0.012724,0.013861
1722012382707,0.785266,0.61887,0.012571,0.014126
1722012385325,0.785047,0.619144,0.012484,0.014317
1722012387123,0.784681,0.619599,0.013071,0.014191
1722012388937,0.748607,0.662715,0.013108,0.015015
1722012390791,0.748694,0.662615,0.013121,0.015078
1722012392629,0.748594,0.662728,0.01287,0.01529
1722012395147,0.746268,0.665344,0.013132,0.015137
1722012397266,0.731222,0.681837,0.012099,0.016292
1722012399072,0.73129,0.681763,0.011787,0.016588
1722012400850,0.731207,0.681852,0.011433,0.01682
1722012402700,0.731153,0.681916,0.011124,0.016775
1722012404680,0.70854,0.705372,0.011518,0.017
1722012407166,0.707596,0.706306,0.011348,0.017666
1722012409059,0.707476,0.706407,0.011469,0.018306
