"Time", "selection"
1722010814876,5
1722010816701,5
1722010818507,5
1722010821132,5
1722010823158,5
1722010825656,5
1722010827296,5
1722010829156,5
1722010830970,5
1722010832717,5
1722010834570,5
1722010836468,5
1722010839002,5
1722010840817,5
1722010842627,5
1722010845191,5
1722010847047,5
1722010848836,5
1722010850640,5
1722010852623,5
1722010855056,5
1722010857093,5
1722010859269,5
1722010861071,5
1722010862868,5
1722010864682,5
1722010866457,5
1722010868813,5
1722010870652,5
1722010872680,5
1722010875047,5
1722010877109,5
1722010879268,5
1722010881091,5
1722010882939,5
1722010884691,5
1722010886506,5
1722010888972,5
1722010891072,5
1722010892925,5
1722010894705,5
1722010897146,5
1722010899340,5
1722010901149,5
1722010902944,5
1722010904776,5
1722010906537,5
1722010908905,5
1722010910903,5
1722010912737,5
1722010915055,5
1722010916869,5
1722010918638,5
1722010921176,5
1722010923424,5
1722010925272,5
1722010927084,5
1722010928912,5
1722010930716,5
1722010933261,5
1722010935092,5
1722010936882,5
1722010938733,5
1722010940631,5
1722010942604,5
1722010944957,5
1722010946770,5
1722010949226,5
1722010951034,5
1722010952860,5
1722010954681,5
1722010956608,5
1722010959089,5
1722010961205,5
1722010963570,5
1722010965208,5
1722010967005,5
1722010968845,5
1722010970638,5
1722010972655,5
1722010975071,5
1722010976709,5
1722010979251,5
1722010981059,5
1722010982882,5
1722010984693,5
1722010986532,5
1722010989028,5
1722010991697,5
1722010993510,5
1722010995318,5
1722010997125,5
1722010998881,5
1722011000748,5
1722011003052,5
1722011006615,5
1722011009251,5
1722011011058,5
1722011012863,5
1722011014671,5
1722011016614,5
1722011018966,5
1722011020877,5
1722011023103,5
1722011025259,5
1722011027067,5
1722011028873,5
1722011030702,5
1722011032511,5
1722011035249,5
1722011037032,5
1722011038839,5
1722011040676,5
1722011042616,5
1722011044442,5
1722011047029,5
1722011048832,5
1722011051403,5
1722011053819,5
1722011054988,5
1722011057176,5
1722011059001,5
1722011060856,5
1722011062659,5
1722011065532,5
1722011067256,5
1722011069109,5
1722011070938,5
1722011072748,5
1722011074550,5
1722011076480,5
1722011079190,5
1722011080969,5
1722011083453,5
1722011084586,5
1722011086945,5
1722011088769,5
1722011090603,5
1722011092598,5
1722011094915,5
1722011096739,5
1722011098592,5
1722011100621,5
1722011102926,5
1722011105123,5
1722011106933,5
1722011109389,5
1722011110554,5
1722011113309,5
1722011115040,5
1722011116814,5
1722011118495,5
1722011121275,5
1722011123043,5
1722011125411,5
1722011127051,5
