sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1722012256996,8
1722012259087,8
1722012261395,8
1722012263177,8
1722012264986,8
1722012266819,8
1722012269374,8
1722012271180,8
1722012273040,8
1722012274834,8
1722012277147,8
1722012279107,8
1722012281296,8
1722012283095,8
1722012284905,8
1722012286722,8
1722012288741,8
1722012291331,8
1722012293056,8
1722012294903,8
1722012296992,8
1722012298732,8
1722012300598,8
1722012303392,8
1722012305158,8
1722012306960,6
1722012308773,6
1722012310638,6
1722012313300,6
1722012315125,6
1722012316903,6
1722012319102,6
1722012321396,6
1722012323206,6
1722012325011,6
1722012326863,6
1722012328591,6
1722012330556,6
1722012332945,6
1722012334811,6
1722012337596,6
1722012339279,6
1722012341115,6
1722012342894,6
1722012345086,6
1722012347381,6
1722012349181,6
1722012350946,6
1722012352784,6
1722012354601,6
1722012357194,6
1722012358955,6
1722012360794,6
1722012363224,6
1722012365036,6
1722012366849,6
1722012368714,6
1722012370547,6
1722012373092,6
1722012374925,6
1722012376689,6
1722012379070,6
1722012380891,6
1722012382707,6
1722012385325,6
1722012387123,6
1722012388937,6
1722012390791,6
1722012392629,6
1722012395147,6
1722012397266,6
1722012399072,6
1722012400850,6
1722012402700,6
1722012404680,6
1722012407166,6
1722012409059,6
1722012411431,6
1722012413021,6
1722012414849,6
1722012417328,6
1722012419356,6
1722012421164,6
1722012422989,6
1722012425259,6
1722012427082,6
1722012428898,6
1722012430965,6
1722012432773,6
1722012435251,6
1722012437405,6
1722012439105,6
1722012440869,6
1722012442715,6
1722012444522,6
1722012446961,6
1722012449102,6
1722012451321,6
1722012453108,6
1722012454916,6
1722012456706,6
1722012458624,6
1722012460452,6
1722012463104,6
1722012464886,6
1722012466644,6
1722012468614,6
1722012471395,6
1722012473056,6
1722012474861,6
1722012476592,6
1722012479061,6
1722012480939,6
1722012483101,6
1722012485264,6
1722012487098,6
1722012488914,6
1722012490671,8
1722012492586,6
1722012494996,8
1722012496674,8
1722012499120,6
1722012500786,6
1722012503010,6
1722012504844,6
1722012507408,8
1722012509113,6
1722012510893,6
1722012513069,8
1722012515286,6
1722012517117,6
1722012518925,6
1722012520785,6
1722012522591,6
1722012525021,8
1722012526863,8
1722012529459,8
1722012531185,8
1722012533039,8
1722012534859,8
1722012536670,8
1722012539067,8
1722012541610,8
1722012543420,8
1722012545227,8
1722012547012,8
1722012548823,8
1722012550686,8
1722012552480,8
1722012555046,8
1722012556880,8
1722012559078,8
1722012561435,8
1722012563235,8
1722012565038,8
1722012566851,8
