"Time","X","Y","Z"
1722012256996,0,0,0
1722012259087,0,0,0
1722012261395,0,0,0
1722012263177,0,0,0
1722012264986,0,0,0
1722012266819,0,0,0
1722012269374,0,0,0
1722012271180,0,0,0
1722012273040,0,0,0
1722012274834,0,0,0
1722012277147,0,0,0
1722012279107,0,0,0
1722012281296,0,0,0
1722012283095,0,0,0
1722012284905,0,0,0
1722012286722,0,0,0
1722012288741,0,0,0
1722012291331,0,0,0
1722012293056,0,0,0
1722012294903,0,0,0
1722012296992,0,0,0
1722012298732,0,0,0
1722012300598,0,0,0
1722012303392,0,0,0
1722012305158,0,0,0
1722012306960,-0.033047,0.225477,-0.973688
1722012308773,-0.038343,0.281284,-0.958858
1722012310638,-0.035954,0.280751,-0.959107
1722012313300,-0.038478,0.280566,-0.959063
1722012315125,-0.043229,0.360844,-0.931624
1722012316903,-0.050207,0.439913,-0.896636
1722012319102,-0.049679,0.440346,-0.896453
1722012321396,-0.05102,0.439965,-0.896565
1722012323206,-0.050283,0.440499,-0.896344
1722012325011,-0.069963,0.462602,-0.883801
1722012326863,-0.069163,0.463171,-0.883566
1722012328591,-0.068887,0.463238,-0.883553
1722012330556,-0.068446,0.463368,-0.883519
1722012332945,-0.068906,0.466499,-0.881834
1722012334811,-0.065033,0.475365,-0.877382
1722012337596,-0.065417,0.475288,-0.877395
1722012339279,-0.064707,0.476229,-0.876937
1722012341115,-0.062579,0.475706,-0.877375
1722012342894,-0.056957,0.484987,-0.872664
1722012345086,-0.0567,0.486147,-0.872036
1722012347381,-0.059839,0.482329,-0.873944
1722012349181,-0.054735,0.493704,-0.867906
1722012350946,-0.055228,0.493318,-0.868094
1722012352784,-0.054713,0.494187,-0.867632
1722012354601,-0.055625,0.494787,-0.867232
1722012357194,-0.054979,0.474002,-0.878806
1722012358955,-0.054532,0.47446,-0.878587
1722012360794,-0.053009,0.475151,-0.878306
1722012363224,-0.053805,0.469971,-0.881041
1722012365036,-0.057748,0.430993,-0.900506
1722012366849,-0.057859,0.43096,-0.900514
1722012368714,-0.05778,0.431674,-0.900177
1722012370547,-0.057174,0.431055,-0.900512
1722012373092,-0.05978,0.368122,-0.927854
1722012374925,-0.059017,0.36927,-0.927446
1722012376689,-0.057718,0.369466,-0.92745
1722012379070,-0.056155,0.368572,-0.927902
1722012380891,-0.057045,0.305211,-0.950575
1722012382707,-0.058384,0.30454,-0.950709
1722012385325,-0.059043,0.305547,-0.950345
1722012387123,-0.058922,0.304946,-0.950545
1722012388937,-0.058949,0.247318,-0.967139
1722012390791,-0.057846,0.231974,-0.971
1722012392629,-0.056803,0.233242,-0.970758
1722012395147,-0.056538,0.232561,-0.970937
1722012397266,-0.05926,0.161278,-0.985128
1722012399072,-0.058389,0.150213,-0.986928
1722012400850,-0.058337,0.151002,-0.986811
1722012402700,-0.05735,0.152033,-0.98671
1722012404680,-0.057071,0.153159,-0.986552
1722012407166,-0.051772,0.088429,-0.994736
1722012409059,-0.050163,0.090952,-0.994591
1722012411431,-0.052257,0.086813,-0.994853
1722012413021,-0.054735,0.087057,-0.994699
1722012414849,-0.05356,0.043098,-0.997634
1722012417328,-0.051861,0.027942,-0.998263
1722012419356,-0.052626,0.029203,-0.998187
1722012421164,-0.051177,0.029426,-0.998256
1722012422989,-0.047739,-0.046511,-0.997776
1722012425259,-0.045346,-0.044986,-0.997958
1722012427082,-0.043952,-0.044863,-0.998026
1722012428898,-0.048549,-0.04828,-0.997653
1722012430965,-0.046543,-0.102041,-0.993691
1722012432773,-0.046546,-0.122361,-0.991394
1722012435251,-0.046919,-0.121236,-0.991514
1722012437405,-0.045807,-0.12134,-0.991553
1722012439105,-0.045825,-0.119749,-0.991746
1722012440869,-0.04523,-0.154851,-0.986902
1722012442715,-0.044548,-0.201989,-0.978374
1722012444522,-0.04396,-0.199688,-0.978873
1722012446961,-0.043727,-0.200864,-0.978643
1722012449102,-0.046205,-0.203423,-0.978
1722012451321,-0.053526,-0.281481,-0.958073
1722012453108,-0.053539,-0.285626,-0.956845
1722012454916,-0.054117,-0.285359,-0.956892
1722012456706,-0.055288,-0.288543,-0.955869
1722012458624,-0.062254,-0.364089,-0.929281
1722012460452,-0.062255,-0.363389,-0.929555
1722012463104,-0.061646,-0.36356,-0.929529
1722012464886,-0.062151,-0.36236,-0.929964
1722012466644,-0.063443,-0.419784,-0.905404
1722012468614,-0.062964,-0.421082,-0.904834
1722012471395,-0.063439,-0.42056,-0.905044
1722012473056,-0.063247,-0.420684,-0.905
1722012474861,-0.063584,-0.464915,-0.883069
1722012476592,-0.064282,-0.484391,-0.872487
1722012479061,-0.063877,-0.484431,-0.872494
1722012480939,-0.063827,-0.484218,-0.872616
1722012483101,-0.064125,-0.498905,-0.864281
1722012485264,-0.06309,-0.508172,-0.858942
1722012487098,-0.062434,-0.508099,-0.859033
1722012488914,-0.062152,-0.507703,-0.859288
1722012490671,0,0,0
1722012492586,-0.060437,-0.55533,-0.829431
1722012494996,0,0,0
1722012496674,0,0,0
1722012499120,-0.059817,-0.555126,-0.829613
1722012500786,-0.060671,-0.575393,-0.815623
1722012503010,-0.060684,-0.574971,-0.81592
1722012504844,-0.060784,-0.574783,-0.816045
1722012507408,0,0,0
1722012509113,-0.064428,-0.54896,-0.833362
1722012510893,-0.064737,-0.549604,-0.832913
1722012513069,0,0,0
1722012515286,-0.067193,-0.477727,-0.875935
1722012517117,-0.067285,-0.466983,-0.881703
1722012518925,-0.067714,-0.469229,-0.880477
1722012520785,-0.068492,-0.468223,-0.880952
1722012522591,-0.069625,-0.437076,-0.896726
1722012525021,0,0,0
1722012526863,0,0,0
1722012529459,0,0,0
1722012531185,0,0,0
1722012533039,0,0,0
1722012534859,0,0,0
1722012536670,0,0,0
1722012539067,0,0,0
1722012541610,0,0,0
1722012543420,0,0,0
1722012545227,0,0,0
1722012547012,0,0,0
1722012548823,0,0,0
1722012550686,0,0,0
1722012552480,0,0,0
1722012555046,0,0,0
1722012556880,0,0,0
1722012559078,0,0,0
1722012561435,0,0,0
1722012563235,0,0,0
1722012565038,0,0,0
1722012566851,0,0,0
