Time, X, Y, Z
1722012256996,0,0,0
1722012259087,0,0,0
1722012261395,0,0,0
1722012263177,0,0,0
1722012264986,0,0,0
1722012266819,0,0,0
1722012269374,0,0,0
1722012271180,0,0,0
1722012273040,0,0,0
1722012274834,0,0,0
1722012277147,0,0,0
1722012279107,0,0,0
1722012281296,0,0,0
1722012283095,0,0,0
1722012284905,0,0,0
1722012286722,0,0,0
1722012288741,0,0,0
1722012291331,0,0,0
1722012293056,0,0,0
1722012294903,0,0,0
1722012296992,0,0,0
1722012298732,0,0,0
1722012300598,0,0,0
1722012303392,0,0,0
1722012305158,0,0,0
1722012306960,-0.0409704,0.234405,-0.971275
1722012308773,-0.0463321,0.281638,-0.958402
1722012310638,-0.0438824,0.281263,-0.958627
1722012313300,-0.0464707,0.281115,-0.958548
1722012315125,-0.0521041,0.33116,-0.942135
1722012316903,-0.0620265,0.387167,-0.919921
1722012319102,-0.0613075,0.387474,-0.91984
1722012321396,-0.0631516,0.387188,-0.919836
1722012323206,-0.0621421,0.387568,-0.919744
1722012325011,-0.0884586,0.402534,-0.911121
1722012326863,-0.0874626,0.402958,-0.91103
1722012328591,-0.0871172,0.403012,-0.911039
1722012330556,-0.0865667,0.403115,-0.911046
1722012332945,-0.0872093,0.405364,-0.909986
1722012334811,-0.082534,0.412027,-0.907426
1722012337596,-0.0830135,0.411961,-0.907412
1722012339279,-0.0821417,0.412693,-0.907159
1722012341115,-0.0794523,0.412334,-0.907562
1722012342894,-0.072296,0.419736,-0.904763
1722012345086,-0.0719696,0.420686,-0.904347
1722012347381,-0.0760629,0.417544,-0.905468
1722012349181,-0.069411,0.427107,-0.901533
1722012350946,-0.0700863,0.426762,-0.901644
1722012352784,-0.0693892,0.427529,-0.901335
1722012354601,-0.0706588,0.42804,-0.900993
1722012357194,-0.0693642,0.41119,-0.908907
1722012358955,-0.0687529,0.411545,-0.908793
1722012360794,-0.0666391,0.412098,-0.908699
1722012363224,-0.0676459,0.408208,-0.910379
1722012365036,-0.0722751,0.380874,-0.921798
1722012366849,-0.0724247,0.380849,-0.921796
1722012368714,-0.0723315,0.381345,-0.921599
1722012370547,-0.0714971,0.380929,-0.921836
1722012373092,-0.0740026,0.335632,-0.939082
1722012374925,-0.0729984,0.336411,-0.938882
1722012376689,-0.0712439,0.336566,-0.938961
1722012379070,-0.0690948,0.335998,-0.939325
1722012380891,-0.0693879,0.297427,-0.95222
1722012382707,-0.0711947,0.296985,-0.952224
1722012385325,-0.072096,0.297601,-0.951964
1722012387123,-0.0719258,0.297229,-0.952093
1722012388937,-0.0715309,0.253319,-0.964735
1722012390791,-0.0699862,0.239682,-0.968326
1722012392629,-0.0685797,0.24079,-0.968151
1722012395147,-0.0682187,0.240203,-0.968323
1722012397266,-0.0716065,0.185428,-0.980045
1722012399072,-0.0704306,0.17488,-0.982067
1722012400850,-0.0703598,0.175675,-0.981931
1722012402700,-0.0690271,0.176711,-0.981839
1722012404680,-0.0686505,0.177823,-0.981665
1722012407166,-0.0617219,0.108181,-0.992213
1722012409059,-0.0596795,0.110405,-0.992093
1722012411431,-0.0623478,0.106756,-0.992328
1722012413021,-0.0656048,0.106959,-0.992097
1722012414849,-0.0641131,0.0564907,-0.996342
1722012417328,-0.0619288,0.0340815,-0.997499
1722012419356,-0.0629168,0.0359177,-0.997372
1722012421164,-0.0610518,0.0362452,-0.997476
1722012422989,-0.0568311,-0.0480567,-0.997227
1722012425259,-0.0540723,-0.0459942,-0.997477
1722012427082,-0.0525252,-0.0458282,-0.997567
1722012428898,-0.0577978,-0.0504591,-0.997052
1722012430965,-0.0553758,-0.111238,-0.99225
1722012432773,-0.0553915,-0.127943,-0.990234
1722012435251,-0.0558254,-0.126968,-0.990335
1722012437405,-0.0545408,-0.127061,-0.990394
1722012439105,-0.0545607,-0.125701,-0.990567
1722012440869,-0.0538715,-0.159517,-0.985724
1722012442715,-0.0530852,-0.204812,-0.977361
1722012444522,-0.0524228,-0.203073,-0.977759
1722012446961,-0.052166,-0.203972,-0.977586
1722012449102,-0.0549886,-0.205858,-0.977036
1722012451321,-0.0648182,-0.25879,-0.963756
1722012453108,-0.0648679,-0.262115,-0.962854
1722012454916,-0.0656487,-0.261894,-0.962861
1722012456706,-0.0672681,-0.264436,-0.962054
1722012458624,-0.0776265,-0.317302,-0.945142
1722012460452,-0.0776155,-0.316885,-0.945283
1722012463104,-0.0768256,-0.316998,-0.945309
1722012464886,-0.0774626,-0.316274,-0.9455
1722012466644,-0.0801245,-0.354334,-0.93168
1722012468614,-0.0795345,-0.355367,-0.931337
1722012471395,-0.0801314,-0.354947,-0.931446
1722012473056,-0.0798891,-0.355048,-0.931428
1722012474861,-0.0809353,-0.393362,-0.915814
1722012476592,-0.0821614,-0.409225,-0.908727
1722012479061,-0.0816506,-0.409262,-0.908756
1722012480939,-0.0815828,-0.409104,-0.908833
1722012483101,-0.0822862,-0.419924,-0.903821
1722012485264,-0.081165,-0.427339,-0.900441
1722012487098,-0.0803284,-0.427288,-0.90054
1722012488914,-0.0799611,-0.426958,-0.900729
1722012490671,0,0,0
1722012492586,-0.0780024,-0.482808,-0.872245
1722012494996,0,0,0
1722012496674,0,0,0
1722012499120,-0.0772085,-0.482564,-0.872451
1722012500786,-0.078438,-0.50532,-0.85936
1722012503010,-0.0784495,-0.504887,-0.859613
1722012504844,-0.0785748,-0.504693,-0.859716
1722012507408,0,0,0
1722012509113,-0.0830791,-0.474872,-0.876125
1722012510893,-0.083474,-0.475684,-0.875647
1722012513069,0,0,0
1722012515286,-0.0856932,-0.404057,-0.910711
1722012517117,-0.085621,-0.395107,-0.914636
1722012518925,-0.0861967,-0.397031,-0.913749
1722012520785,-0.0871605,-0.396157,-0.914037
1722012522591,-0.0881296,-0.368523,-0.925432
1722012525021,0,0,0
1722012526863,0,0,0
1722012529459,0,0,0
1722012531185,0,0,0
1722012533039,0,0,0
1722012534859,0,0,0
1722012536670,0,0,0
1722012539067,0,0,0
1722012541610,0,0,0
1722012543420,0,0,0
1722012545227,0,0,0
1722012547012,0,0,0
1722012548823,0,0,0
1722012550686,0,0,0
1722012552480,0,0,0
1722012555046,0,0,0
1722012556880,0,0,0
1722012559078,0,0,0
1722012561435,0,0,0
1722012563235,0,0,0
1722012565038,0,0,0
1722012566851,0,0,0
