"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1722012256699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012257688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012259151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012260228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012261175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012261995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012262901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012265037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012265927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012267225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012268035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012269439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012271237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012272158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012273099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012273963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012274899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012276239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012277370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012278450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012279529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012280088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012281035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012283148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012284961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012285882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012286774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012287756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012288841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012289821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012291116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012291977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012297192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012297965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012298872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012299759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012300896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012301670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012303048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012304308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012305245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012306126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722012307054,0,0,0,0,0,0,0,0,0,0,0,0,-0.033047,0.225477,-0.973688,0,0,0
1722012308001,0,0,0,0,0,0,0,0,0,0,0,0,-0.037111,0.280411,-0.959162,0,0,0
1722012309035,0,0,0,0,0,0,0,0,0,0,0,0,-0.038343,0.281284,-0.958858,0,0,0
1722012309854,0,0,0,0,0,0,0,0,0,0,0,0,-0.037172,0.282282,-0.958611,0,0,0
1722012310930,0,0,0,0,0,0,0,0,0,0,0,0,-0.035954,0.280751,-0.959107,0,0,0
1722012311963,0,0,0,0,0,0,0,0,0,0,0,0,-0.037065,0.281929,-0.958719,0,0,0
1722012312998,0,0,0,0,0,0,0,0,0,0,0,0,-0.038478,0.280566,-0.959063,0,0,0
1722012316957,0,0,0,0,0,0,0,0,0,0,0,0,-0.050207,0.439913,-0.896636,0,0,0
1722012318211,0,0,0,0,0,0,0,0,0,0,0,0,-0.050836,0.440569,-0.896278,0,0,0
1722012319200,0,0,0,0,0,0,0,0,0,0,0,0,-0.049679,0.440346,-0.896453,0,0,0
1722012320235,0,0,0,0,0,0,0,0,0,0,0,0,-0.050091,0.440246,-0.896479,0,0,0
1722012321182,0,0,0,0,0,0,0,0,0,0,0,0,-0.05102,0.439965,-0.896565,0,0,0
1722012322361,0,0,0,0,0,0,0,0,0,0,0,0,-0.050104,0.440739,-0.896236,0,0,0
1722012323258,0,0,0,0,0,0,0,0,0,0,0,0,-0.050283,0.440499,-0.896344,0,0,0
1722012324170,0,0,0,0,0,0,0,0,0,0,0,0,-0.058237,0.456498,-0.887816,0,0,0
1722012325064,0,0,0,0,0,0,0,0,0,0,0,0,-0.069963,0.462602,-0.883801,0,0,0
1722012325989,0,0,0,0,0,0,0,0,0,0,0,0,-0.068885,0.462334,-0.884026,0,0,0
1722012326920,0,0,0,0,0,0,0,0,0,0,0,0,-0.069163,0.463171,-0.883566,0,0,0
1722012327709,0,0,0,0,0,0,0,0,0,0,0,0,-0.069515,0.463622,-0.883302,0,0,0
1722012328853,0,0,0,0,0,0,0,0,0,0,0,0,-0.068887,0.463238,-0.883553,0,0,0
1722012329754,0,0,0,0,0,0,0,0,0,0,0,0,-0.068787,0.463774,-0.883279,0,0,0
1722012331046,0,0,0,0,0,0,0,0,0,0,0,0,-0.068446,0.463368,-0.883519,0,0,0
1722012331910,0,0,0,0,0,0,0,0,0,0,0,0,-0.069177,0.463554,-0.883364,0,0,0
1722012335184,0,0,0,0,0,0,0,0,0,0,0,0,-0.065033,0.475365,-0.877382,0,0,0
1722012336054,0,0,0,0,0,0,0,0,0,0,0,0,-0.065261,0.475188,-0.877461,0,0,0
1722012337206,0,0,0,0,0,0,0,0,0,0,0,0,-0.065417,0.475288,-0.877395,0,0,0
1722012338113,0,0,0,0,0,0,0,0,0,0,0,0,-0.065022,0.475915,-0.877085,0,0,0
1722012339335,0,0,0,0,0,0,0,0,0,0,0,0,-0.064707,0.476229,-0.876937,0,0,0
1722012340227,0,0,0,0,0,0,0,0,0,0,0,0,-0.064628,0.475416,-0.877384,0,0,0
1722012341182,0,0,0,0,0,0,0,0,0,0,0,0,-0.062579,0.475706,-0.877375,0,0,0
1722012342051,0,0,0,0,0,0,0,0,0,0,0,0,-0.058119,0.485048,-0.872554,0,0,0
1722012342950,0,0,0,0,0,0,0,0,0,0,0,0,-0.056957,0.484987,-0.872664,0,0,0
1722012344188,0,0,0,0,0,0,0,0,0,0,0,0,-0.05667,0.4851,-0.872621,0,0,0
1722012345185,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567,0.486147,-0.872036,0,0,0
1722012346213,0,0,0,0,0,0,0,0,0,0,0,0,-0.057343,0.4843,-0.873021,0,0,0
1722012348311,0,0,0,0,0,0,0,0,0,0,0,0,-0.058879,0.48711,-0.871354,0,0,0
1722012349312,0,0,0,0,0,0,0,0,0,0,0,0,-0.054735,0.493704,-0.867906,0,0,0
1722012350129,0,0,0,0,0,0,0,0,0,0,0,0,-0.055128,0.49375,-0.867855,0,0,0
1722012351081,0,0,0,0,0,0,0,0,0,0,0,0,-0.055228,0.493318,-0.868094,0,0,0
1722012351942,0,0,0,0,0,0,0,0,0,0,0,0,-0.05548,0.493573,-0.867933,0,0,0
1722012353058,0,0,0,0,0,0,0,0,0,0,0,0,-0.054713,0.494187,-0.867632,0,0,0
1722012353877,0,0,0,0,0,0,0,0,0,0,0,0,-0.054778,0.494914,-0.867213,0,0,0
1722012354694,0,0,0,0,0,0,0,0,0,0,0,0,-0.055625,0.494787,-0.867232,0,0,0
1722012355774,0,0,0,0,0,0,0,0,0,0,0,0,-0.05587,0.476203,-0.877558,0,0,0
1722012356764,0,0,0,0,0,0,0,0,0,0,0,0,-0.054979,0.474002,-0.878806,0,0,0
1722012357840,0,0,0,0,0,0,0,0,0,0,0,0,-0.054467,0.474488,-0.878575,0,0,0
1722012359007,0,0,0,0,0,0,0,0,0,0,0,0,-0.054532,0.47446,-0.878587,0,0,0
1722012359919,0,0,0,0,0,0,0,0,0,0,0,0,-0.054336,0.474993,-0.87831,0,0,0
1722012361204,0,0,0,0,0,0,0,0,0,0,0,0,-0.053009,0.475151,-0.878306,0,0,0
1722012361955,0,0,0,0,0,0,0,0,0,0,0,0,-0.052875,0.476353,-0.877663,0,0,0
1722012363275,0,0,0,0,0,0,0,0,0,0,0,0,-0.053805,0.469971,-0.881041,0,0,0
1722012364248,0,0,0,0,0,0,0,0,0,0,0,0,-0.056773,0.439601,-0.896397,0,0,0
1722012365164,0,0,0,0,0,0,0,0,0,0,0,0,-0.057748,0.430993,-0.900506,0,0,0
1722012366028,0,0,0,0,0,0,0,0,0,0,0,0,-0.057575,0.431179,-0.900428,0,0,0
1722012367016,0,0,0,0,0,0,0,0,0,0,0,0,-0.057859,0.43096,-0.900514,0,0,0
1722012367877,0,0,0,0,0,0,0,0,0,0,0,0,-0.05762,0.431792,-0.900131,0,0,0
1722012368997,0,0,0,0,0,0,0,0,0,0,0,0,-0.05778,0.431674,-0.900177,0,0,0
1722012369729,0,0,0,0,0,0,0,0,0,0,0,0,-0.057703,0.431637,-0.9002,0,0,0
1722012371030,0,0,0,0,0,0,0,0,0,0,0,0,-0.057174,0.431055,-0.900512,0,0,0
1722012371969,0,0,0,0,0,0,0,0,0,0,0,0,-0.059733,0.383263,-0.921706,0,0,0
1722012374053,0,0,0,0,0,0,0,0,0,0,0,0,-0.059016,0.367687,-0.928075,0,0,0
1722012374982,0,0,0,0,0,0,0,0,0,0,0,0,-0.059017,0.36927,-0.927446,0,0,0
1722012375786,0,0,0,0,0,0,0,0,0,0,0,0,-0.059057,0.36938,-0.9274,0,0,0
1722012377183,0,0,0,0,0,0,0,0,0,0,0,0,-0.057718,0.369466,-0.92745,0,0,0
1722012377792,0,0,0,0,0,0,0,0,0,0,0,0,-0.057219,0.369627,-0.927417,0,0,0
1722012379123,0,0,0,0,0,0,0,0,0,0,0,0,-0.056155,0.368572,-0.927902,0,0,0
1722012379998,0,0,0,0,0,0,0,0,0,0,0,0,-0.054406,0.31635,-0.947081,0,0,0
1722012380955,0,0,0,0,0,0,0,0,0,0,0,0,-0.057045,0.305211,-0.950575,0,0,0
